form,n_dimlex,n_aligned,n_rejected_nosense,n_coverage_gap,n_outside_inventory,n_in_inventory_not_enumerated,n_category_changed,dimlex_category,n_discopy_accepted,n_discopy_only,n_discopy_candidates,pct_dimlex_retained
and,5601,1035,4565,1,0,1,0,Expansion,1035,0,5600,18.47884306373862
for,1623,0,1623,0,0,0,0,Contingency,0,0,1632,0.0
as,1273,152,1121,0,0,0,124,Temporal,152,0,1273,11.940298507462687
while,891,890,1,0,0,0,98,Comparison,890,0,891,99.88776655443323
with,834,0,0,834,834,0,0,Contingency,0,0,0,0.0
since,676,676,0,0,0,0,9,Contingency,676,0,676,100.0
or,595,24,571,0,0,0,0,Expansion,27,3,675,4.033613445378151
given,477,0,0,477,477,0,0,Contingency,0,0,0,0.0
if,446,389,57,0,0,0,0,Contingency,426,23,486,87.21973094170404
but,367,226,141,0,0,0,0,Comparison,226,0,367,61.58038147138964
however,291,291,0,0,0,0,0,Comparison,291,0,291,100.0
later,290,285,5,0,0,0,0,Temporal,285,0,290,98.27586206896552
also,245,237,8,0,0,0,0,Expansion,237,0,245,96.73469387755102
although,242,242,0,0,0,0,0,Comparison,242,0,242,100.0
then,223,182,40,1,0,1,0,Temporal,187,5,247,81.61434977578476
therefore,179,176,3,0,0,0,0,Contingency,176,0,179,98.32402234636872
furthermore,156,156,0,0,0,0,0,Expansion,156,0,156,100.0
despite,113,0,0,113,113,0,0,Comparison,0,0,0,0.0
specifically,105,35,70,0,0,0,17,Expansion,35,0,105,33.333333333333336
because,103,103,0,0,0,0,0,Contingency,103,0,106,100.0
either or,80,3,77,0,0,0,0,Expansion,3,0,79,3.75
particularly,74,0,0,74,74,0,0,Expansion,0,0,0,0.0
after,62,28,34,0,0,0,0,Temporal,28,0,62,45.16129032258065
eventually,57,0,0,57,57,0,0,Temporal,0,0,0,0.0
when,56,44,12,0,0,0,1,Temporal,44,0,56,78.57142857142857
ultimately,55,49,6,0,0,0,0,Temporal,49,0,55,89.0909090909091
given that,54,0,0,54,54,0,0,Contingency,0,0,0,0.0
rather than,50,0,50,0,0,0,0,Expansion,0,0,0,0.0
further,42,13,29,0,0,0,9,Expansion,13,0,42,30.952380952380953
finally,41,31,10,0,0,0,31,Expansion,31,0,41,75.60975609756098
without,36,0,0,36,36,0,0,Contingency,0,0,0,0.0
simultaneously,36,32,4,0,0,0,2,Temporal,32,0,36,88.88888888888889
before,32,19,13,0,0,0,0,Temporal,19,0,32,59.375
indeed,31,0,31,0,0,0,0,Expansion,0,0,31,0.0
so,28,12,16,0,0,0,1,Contingency,12,0,28,42.857142857142854
if then,25,21,4,0,0,0,5,Contingency,26,5,31,84.0
still,22,0,22,0,0,0,0,Comparison,0,0,22,0.0
regardless,19,1,18,0,0,0,1,Comparison,1,0,19,5.2631578947368425
whereas,18,18,0,0,0,0,0,Comparison,18,0,18,100.0
even if,15,14,1,0,0,0,1,Comparison,0,0,0,93.33333333333333
previously,13,4,9,0,0,0,0,Temporal,4,0,13,30.76923076923077
yet,13,6,7,0,0,0,0,Comparison,6,0,13,46.15384615384615
nor,12,11,1,0,0,0,0,Expansion,11,0,12,91.66666666666667
upon,12,0,0,12,12,0,0,Temporal,0,0,0,0.0
earlier,12,0,12,0,0,0,0,Temporal,0,0,12,0.0
additionally,11,11,0,0,0,0,0,Expansion,11,0,11,100.0
though,11,6,5,0,0,0,0,Comparison,9,0,14,54.54545454545455
for one,9,0,9,0,0,0,0,Expansion,0,0,0,0.0
else,8,0,8,0,0,0,0,Expansion,0,0,8,0.0
overall,7,0,7,0,0,0,0,Expansion,0,0,7,0.0
thus,6,6,0,0,0,0,0,Contingency,6,0,6,100.0
thereby,6,6,0,0,0,0,0,Contingency,6,0,6,100.0
conversely,5,5,0,0,0,0,1,Comparison,5,0,5,100.0
so that,5,4,1,0,0,0,0,Contingency,4,0,5,80.0
in contrast,4,4,0,0,0,0,0,Comparison,4,0,4,100.0
instead,4,4,0,0,0,0,0,Expansion,4,0,7,100.0
consequently,4,4,0,0,0,0,0,Contingency,4,0,4,100.0
because of,3,0,3,0,0,0,0,Contingency,0,0,0,0.0
unless,3,3,0,0,0,0,0,Expansion,3,0,3,100.0
otherwise,3,0,3,0,0,0,0,Expansion,0,0,3,0.0
even though,3,3,0,0,0,0,0,Comparison,0,0,0,100.0
instead of,3,0,3,0,0,0,0,Comparison,0,0,0,0.0
as long as,2,1,1,0,0,0,1,Contingency,1,0,2,50.0
in response to,2,0,0,2,2,0,0,Contingency,0,0,0,0.0
once,2,0,2,0,0,0,0,Temporal,0,0,2,0.0
until,2,1,1,0,0,0,0,Temporal,1,0,2,50.0
in turn,2,2,0,0,0,0,0,Temporal,2,0,2,100.0
meanwhile,2,2,0,0,0,0,0,Temporal,2,0,2,100.0
in particular,1,0,1,0,0,0,0,Expansion,0,0,1,0.0
in fact,1,0,1,0,0,0,0,Expansion,0,0,1,0.0
similarly,1,1,0,0,0,0,0,Expansion,1,0,1,100.0
rather,0,0,0,0,0,0,0,0,0,0,50,
