model,decoding_group,run_label,n_just,total_words,total_conn,n_with,per_just,per_100w,pct_with
Gemma 4 2B,Greedy,greedy_t0,191,12338,441,186,2.3089005235602094,3.5743232290484683,97.38219895287958
Gemma 4 2B,Stochastic,run_1,191,12409,419,188,2.193717277486911,3.3765815134176806,98.42931937172774
Gemma 4 2B,Stochastic,run_2,191,12474,421,183,2.2041884816753927,3.3750200416867084,95.81151832460733
Gemma 4 2B,Stochastic,run_3,191,12377,396,186,2.073298429319372,3.19948291185263,97.38219895287958
Gemma 4 31B,Greedy,greedy_t0,191,14342,522,181,2.7329842931937174,3.6396597406219495,94.76439790575917
Gemma 4 31B,Stochastic,run_1,191,14445,537,183,2.81151832460733,3.7175493250259604,95.81151832460733
Gemma 4 31B,Stochastic,run_2,191,14342,489,183,2.56020942408377,3.4095663087435506,95.81151832460733
Gemma 4 31B,Stochastic,run_3,191,14522,508,183,2.6596858638743455,3.4981407519625396,95.81151832460733
Gemma 4 4B,Greedy,greedy_t0,191,15547,456,188,2.387434554973822,2.933041744387985,98.42931937172774
Gemma 4 4B,Stochastic,run_1,191,15655,437,183,2.287958115183246,2.791440434366017,95.81151832460733
Gemma 4 4B,Stochastic,run_2,191,15601,456,185,2.387434554973822,2.9228895583616437,96.8586387434555
Gemma 4 4B,Stochastic,run_3,191,15696,422,181,2.2094240837696337,2.688583078491335,94.76439790575917
