form,n_candidates,n_accepted,n_rejected_nosense,pct_accepted
and,5600,1035,4565,18.48
while,891,890,1,99.89
since,676,676,0,100.0
if,486,426,60,87.65
however,291,291,0,100.0
later,290,285,5,98.28
although,242,242,0,100.0
also,245,237,8,96.73
but,367,226,141,61.58
then,247,187,60,75.71
therefore,179,176,3,98.32
furthermore,156,156,0,100.0
as,1273,152,1121,11.94
because,106,103,3,97.17
ultimately,55,49,6,89.09
when,56,44,12,78.57
specifically,105,35,70,33.33
simultaneously,36,32,4,88.89
finally,41,31,10,75.61
after,62,28,34,45.16
or,675,27,648,4.0
if then,31,26,5,83.87
before,32,19,13,59.38
whereas,18,18,0,100.0
further,42,13,29,30.95
so,28,12,16,42.86
nor,12,11,1,91.67
additionally,11,11,0,100.0
though,14,9,5,64.29
yet,13,6,7,46.15
thereby,6,6,0,100.0
thus,6,6,0,100.0
conversely,5,5,0,100.0
consequently,4,4,0,100.0
so that,5,4,1,80.0
previously,13,4,9,30.77
instead,7,4,3,57.14
in contrast,4,4,0,100.0
unless,3,3,0,100.0
either or,79,3,76,3.8
meanwhile,2,2,0,100.0
in turn,2,2,0,100.0
regardless,19,1,18,5.26
until,2,1,1,50.0
similarly,1,1,0,100.0
as long as,2,1,1,50.0
earlier,12,0,12,0.0
else,8,0,8,0.0
for,1632,0,1632,0.0
in particular,1,0,1,0.0
in fact,1,0,1,0.0
overall,7,0,7,0.0
once,2,0,2,0.0
indeed,31,0,31,0.0
otherwise,3,0,3,0.0
rather,50,0,50,0.0
still,22,0,22,0.0
