model,decoding_group,variant,total_occurrences,per_100_words,sd_per_100_words,pct_justifications
Gemma 4 2B,Stochastic,original,141.33333333333334,1.1380472350659734,0.09450388799406029,59.860383944153575
Gemma 4 2B,Stochastic,upper_bound,184.0,1.4815943346865683,0.11502296527988397,76.09075043630018
Gemma 4 2B,Stochastic,plausible,182.33333333333334,1.4681913251347882,0.10783503748206061,75.5671902268761
Gemma 4 2B,Greedy,original,167.0,1.3535419030637057,,67.53926701570681
Gemma 4 2B,Greedy,upper_bound,206.0,1.6696385151564272,,79.58115183246073
Gemma 4 2B,Greedy,plausible,206.0,1.6696385151564272,,79.58115183246073
Gemma 4 4B,Stochastic,original,79.66666666666667,0.5091709372414551,0.06931033330514712,33.682373472949386
Gemma 4 4B,Stochastic,upper_bound,143.66666666666666,0.9180148255697409,0.040435737390121414,59.16230366492147
Gemma 4 4B,Stochastic,plausible,141.66666666666666,0.9052468619558836,0.03764939645943535,58.638743455497384
Gemma 4 4B,Greedy,original,99.0,0.6367787997684441,,37.696335078534034
Gemma 4 4B,Greedy,upper_bound,174.0,1.1191869814112048,,69.10994764397905
Gemma 4 4B,Greedy,plausible,172.0,1.1063227632340644,,68.58638743455498
Gemma 4 31B,Stochastic,original,154.0,1.066553824148931,0.054213634884942234,58.289703315881326
Gemma 4 31B,Stochastic,upper_bound,178.33333333333334,1.2351208683277346,0.0658037421192675,66.8411867364747
Gemma 4 31B,Stochastic,plausible,177.33333333333334,1.228181485140736,0.06362411121680511,66.66666666666667
Gemma 4 31B,Greedy,original,143.0,0.9970715381397295,,52.35602094240838
Gemma 4 31B,Greedy,upper_bound,167.0,1.1644122158694743,,61.78010471204188
Gemma 4 31B,Greedy,plausible,166.0,1.157439687630735,,61.78010471204188
