model,decoding_group,variant,n_occurrences,pct_Comparison,pct_Contingency,pct_Expansion,pct_Temporal
Gemma 4 2B,Stochastic,original,1236,28.32,34.3,29.13,8.25
Gemma 4 2B,Stochastic,plausible,1359,25.75,40.25,26.49,7.51
Gemma 4 2B,Stochastic,upper_bound,1364,25.66,40.47,26.39,7.48
Gemma 4 2B,Greedy,original,441,28.34,37.87,28.12,5.67
Gemma 4 2B,Greedy,plausible,480,26.04,42.92,25.83,5.21
Gemma 4 2B,Greedy,upper_bound,480,26.04,42.92,25.83,5.21
Gemma 4 4B,Stochastic,original,1315,42.89,18.17,23.27,15.67
Gemma 4 4B,Stochastic,plausible,1501,37.57,28.31,20.39,13.72
Gemma 4 4B,Stochastic,upper_bound,1507,37.43,28.6,20.31,13.67
Gemma 4 4B,Greedy,original,456,38.38,21.71,24.34,15.57
Gemma 4 4B,Greedy,plausible,529,33.08,32.51,20.98,13.42
Gemma 4 4B,Greedy,upper_bound,531,32.96,32.77,20.9,13.37
Gemma 4 31B,Stochastic,original,1534,19.43,30.12,28.88,21.58
Gemma 4 31B,Stochastic,plausible,1604,18.58,33.17,27.62,20.64
Gemma 4 31B,Stochastic,upper_bound,1607,18.54,33.29,27.57,20.6
Gemma 4 31B,Greedy,original,522,18.39,27.39,32.38,21.84
Gemma 4 31B,Greedy,plausible,545,17.61,30.46,31.01,20.92
Gemma 4 31B,Greedy,upper_bound,546,17.58,30.59,30.95,20.88
