,model,decoding_group,total_relations,per_100_words,sd_per_100_words,pct_justifications,variant
0,Gemma 4 2B,Stochastic,429.3333333333333,3.4565358379342825,0.1071187912484421,97.73123909249563,hybrid
1,Gemma 4 2B,Stochastic,412.0,3.3170281556523395,0.10180016111697238,97.20767888307155,standard
2,Gemma 4 2B,Greedy,462.0,3.744529097098395,,98.95287958115183,hybrid
3,Gemma 4 2B,Greedy,441.0,3.5743232290484683,,97.38219895287958,standard
4,Gemma 4 4B,Stochastic,460.3333333333333,2.941577834507644,0.13836450623799448,96.50959860383944,hybrid
5,Gemma 4 4B,Stochastic,438.3333333333333,2.8009710237396654,0.11744362787167575,95.81151832460733,standard
6,Gemma 4 4B,Greedy,479.0,3.080980253425098,,98.42931937172774,hybrid
7,Gemma 4 4B,Greedy,456.0,2.933041744387985,,98.42931937172774,standard
8,Gemma 4 31B,Stochastic,534.3333333333334,3.701114004906472,0.13318078493261537,96.16055846422337,hybrid
9,Gemma 4 31B,Stochastic,511.3333333333333,3.5417521285773503,0.15855550670753113,95.81151832460733,standard
10,Gemma 4 31B,Greedy,544.0,3.7930553618742158,,94.76439790575917,hybrid
11,Gemma 4 31B,Greedy,522.0,3.6396597406219495,,94.76439790575917,standard
