,model,decoding_group,variant,n_relations,pct_Comparison,pct_Contingency,pct_Expansion,pct_Temporal
0,Gemma 4 2B,Stochastic,hybrid,1288,27.41,35.09,27.95,9.55
1,Gemma 4 2B,Stochastic,standard,1236,28.32,34.3,29.13,8.25
2,Gemma 4 2B,Greedy,hybrid,462,27.49,38.96,26.84,6.71
3,Gemma 4 2B,Greedy,standard,441,28.34,37.87,28.12,5.67
4,Gemma 4 4B,Stochastic,hybrid,1381,42.8,18.9,22.38,15.93
5,Gemma 4 4B,Stochastic,standard,1315,42.89,18.17,23.27,15.67
6,Gemma 4 4B,Greedy,hybrid,479,38.0,22.13,23.38,16.49
7,Gemma 4 4B,Greedy,standard,456,38.38,21.71,24.34,15.57
8,Gemma 4 31B,Stochastic,hybrid,1603,18.96,29.94,27.7,23.39
9,Gemma 4 31B,Stochastic,standard,1534,19.43,30.12,28.88,21.58
10,Gemma 4 31B,Greedy,hybrid,544,18.01,26.84,31.07,24.08
11,Gemma 4 31B,Greedy,standard,522,18.39,27.39,32.38,21.84
