model,decoding_group,run_label,n_justifications,total_words,total_relations,n_justifications_with_relation,n_Comparison,n_Contingency,n_Expansion,n_Temporal,relations_per_100_words,relations_per_justification,pct_justifications_with_relation,Comparison_per_100_words,Comparison_pct_of_relations,Contingency_per_100_words,Contingency_pct_of_relations,Expansion_per_100_words,Expansion_pct_of_relations,Temporal_per_100_words,Temporal_pct_of_relations
Gemma 4 2B,Stochastic,run_1,191,12409,419,188,116,130,131,42,3.3765815134176806,2.193717277486911,98.42931937172774,0.9348053831896205,27.684964200477328,1.047626722540092,31.026252983293556,1.0556853896365541,31.26491646778043,0.3384640180514143,10.023866348448687
Gemma 4 2B,Stochastic,run_2,191,12474,421,183,121,141,127,32,3.3750200416867084,2.2041884816753927,95.81151832460733,0.9700176366843033,28.741092636579573,1.1303511303511304,33.4916864608076,1.0181176847843514,30.16627078384798,0.2565335898669232,7.600950118764845
Gemma 4 2B,Stochastic,run_3,191,12377,396,186,113,153,102,28,3.19948291185263,2.073298429319372,97.38219895287958,0.9129837602003716,28.535353535353536,1.236163852306698,38.63636363636363,0.824109234871132,25.757575757575758,0.22622606447442836,7.070707070707071
Gemma 4 2B,Greedy,greedy_t0,191,12338,441,186,125,167,124,25,3.5743232290484683,2.3089005235602094,97.38219895287958,1.0131301669638515,28.34467120181406,1.3535419030637057,37.868480725623584,1.0050251256281406,28.117913832199548,0.2026260333927703,5.668934240362812
Gemma 4 4B,Stochastic,run_1,191,15655,437,183,185,78,93,81,2.791440434366017,2.287958115183246,95.81151832460733,1.1817310763334399,42.33409610983982,0.4982433727243692,17.848970251716246,0.594059405940594,21.28146453089245,0.5174065793676141,18.53546910755149
Gemma 4 4B,Stochastic,run_2,191,15601,456,185,188,91,103,74,2.9228895583616437,2.387434554973822,96.8586387434555,1.2050509582719056,41.228070175438596,0.5832959425677842,19.95614035087719,0.660214088840459,22.587719298245613,0.47432856868149476,16.228070175438596
Gemma 4 4B,Stochastic,run_3,191,15696,422,181,191,70,110,51,2.688583078491335,2.2094240837696337,94.76439790575917,1.2168705402650357,45.26066350710901,0.445973496432212,16.587677725118482,0.700815494393476,26.066350710900473,0.32492354740061163,12.085308056872037
Gemma 4 4B,Greedy,greedy_t0,191,15547,456,188,175,99,111,71,2.933041744387985,2.387434554973822,98.42931937172774,1.125619090499775,38.37719298245614,0.6367787997684441,21.710526315789473,0.7139641088312858,24.342105263157894,0.4566797452884801,15.570175438596491
Gemma 4 31B,Stochastic,run_1,191,14445,537,183,105,159,148,125,3.7175493250259604,2.81151832460733,95.81151832460733,0.726895119418484,19.553072625698324,1.1007268951194185,29.608938547486034,1.0245759778470058,27.560521415270017,0.8653513326410522,23.277467411545622
Gemma 4 31B,Stochastic,run_2,191,14342,489,183,102,144,144,99,3.4095663087435506,2.56020942408377,95.81151832460733,0.7111978803514154,20.858895705521473,1.0040440663784689,29.447852760736197,1.0040440663784689,29.447852760736197,0.6902802956351973,20.245398773006134
Gemma 4 31B,Stochastic,run_3,191,14522,508,183,91,159,151,107,3.4981407519625396,2.6596858638743455,95.81151832460733,0.6266354496625809,17.913385826771652,1.094890510948905,31.299212598425196,1.0398016802093375,29.724409448818896,0.736813111141716,21.062992125984252
Gemma 4 31B,Greedy,greedy_t0,191,14342,522,181,96,143,169,114,3.6396597406219495,2.7329842931937174,94.76439790575917,0.6693627109189793,18.39080459770115,0.9970715381397295,27.39463601532567,1.178357272346953,32.37547892720306,0.7948682192162878,21.839080459770116
