model,decoding_group,top_level,raw_sense,n_runs,total_count,mean_count_per_run,mean_per_100_words,sd_per_100_words,mean_pct_of_relations,sd_pct_of_relations
Gemma 4 2B,Stochastic,Comparison,Comparison.Concession,3,8,2.6666666666666665,0.021489564256746602,0.00937780243192745,0.65416245383252,0.30825391703280003
Gemma 4 2B,Stochastic,Comparison,Comparison.Contrast,3,342,114.0,0.9177793624346853,0.03666771366974915,27.666307670304292,0.5431141230452443
Gemma 4 2B,Stochastic,Contingency,Contingency.Cause,3,357,119.0,0.9581836043495552,0.0905709167026223,28.951281017477537,3.5240866359382426
Gemma 4 2B,Stochastic,Contingency,Contingency.Condition,3,67,22.333333333333332,0.17986363071641812,0.01744656349685715,5.433486676010727,0.6567846105053151
Gemma 4 2B,Stochastic,Expansion,Expansion.Alternative,3,13,4.333333333333333,0.034850796062558545,0.016651531202407734,1.0411820249177604,0.4785578375458097
Gemma 4 2B,Stochastic,Expansion,Expansion.Conjunction,3,347,115.66666666666667,0.9311199737014539,0.10905410910958294,28.021738978150296,2.488768836108483
Gemma 4 2B,Stochastic,Expansion,Expansion.Restatement,3,0,0.0,0.0,0.0,0.0,0.0
Gemma 4 2B,Stochastic,Temporal,Temporal.Asynchronous,3,69,23.0,0.1851593576906122,0.03204377890413796,5.568358925662539,0.8279923995683816
Gemma 4 2B,Stochastic,Temporal,Temporal.Synchrony,3,33,11.0,0.08858186644030974,0.02797243855901785,2.6634822536443292,0.7965497588656423
Gemma 4 2B,Greedy,Comparison,Comparison.Concession,1,2,2.0,0.016210082671421624,,0.45351473922902497,
Gemma 4 2B,Greedy,Comparison,Comparison.Contrast,1,123,123.0,0.9969200842924298,,27.891156462585034,
Gemma 4 2B,Greedy,Contingency,Contingency.Cause,1,129,129.0,1.0455503323066948,,29.25170068027211,
Gemma 4 2B,Greedy,Contingency,Contingency.Condition,1,38,38.0,0.30799157075701084,,8.616780045351474,
Gemma 4 2B,Greedy,Expansion,Expansion.Alternative,1,5,5.0,0.04052520667855406,,1.1337868480725624,
Gemma 4 2B,Greedy,Expansion,Expansion.Conjunction,1,119,119.0,0.9644999189495866,,26.984126984126984,
Gemma 4 2B,Greedy,Expansion,Expansion.Restatement,1,0,0.0,0.0,,0.0,
Gemma 4 2B,Greedy,Temporal,Temporal.Asynchronous,1,21,21.0,0.17020586804992704,,4.761904761904762,
