decoding_group,metric,model_a,model_b,rate_a,rate_b,difference,ci_low,ci_high,ci_excludes_zero,n_runs_averaged,n_games,n_replicates,seed
Stochastic,All relations,Gemma 4 2B,Gemma 4 31B,3.3170281556523395,3.5417521285773503,-0.22472397292501078,-0.45346210147276145,-0.002136298408322451,True,3,191,10000,20260826
Stochastic,All relations,Gemma 4 2B,Gemma 4 4B,3.3170281556523395,2.8009710237396654,0.5160571319126741,0.32815201662406307,0.7081898753626079,True,3,191,10000,20260826
Stochastic,All relations,Gemma 4 4B,Gemma 4 31B,2.8009710237396654,3.5417521285773503,-0.7407811048376849,-0.9583092687924124,-0.523023352313158,True,3,191,10000,20260826
Stochastic,Contingency,Gemma 4 2B,Gemma 4 31B,1.1380472350659734,1.066553824148931,0.07149341091704242,-0.06230947335816173,0.20284787547242214,False,3,191,10000,20260826
Stochastic,Contingency,Gemma 4 2B,Gemma 4 4B,1.1380472350659734,0.5091709372414551,0.6288762978245183,0.5128134663789734,0.7410264193585492,True,3,191,10000,20260826
Stochastic,Contingency,Gemma 4 4B,Gemma 4 31B,0.5091709372414551,1.066553824148931,-0.5573828869074758,-0.6780281333183713,-0.4387593551294875,True,3,191,10000,20260826
Stochastic,Comparison,Gemma 4 2B,Gemma 4 31B,0.9392689266914318,0.6882428164774934,0.2510261102139384,0.14107640824037315,0.3599573497442038,True,3,191,10000,20260826
Stochastic,Comparison,Gemma 4 2B,Gemma 4 4B,0.9392689266914318,1.2012175249567936,-0.26194859826536177,-0.3551983806204483,-0.1660818455250032,True,3,191,10000,20260826
Stochastic,Comparison,Gemma 4 4B,Gemma 4 31B,1.2012175249567936,0.6882428164774934,0.5129747084793002,0.40682248560102485,0.617625417106707,True,3,191,10000,20260826
Stochastic,Expansion,Gemma 4 2B,Gemma 4 31B,0.9659707697640125,1.0228072414782707,-0.05683647171425821,-0.2107274503123161,0.09472761906169201,False,3,191,10000,20260826
Stochastic,Expansion,Gemma 4 2B,Gemma 4 4B,0.9659707697640125,0.6516963297248429,0.3142744400391696,0.18847873917681637,0.43500283278101004,True,3,191,10000,20260826
Stochastic,Expansion,Gemma 4 4B,Gemma 4 31B,0.6516963297248429,1.0228072414782707,-0.3711109117534278,-0.5007517026064437,-0.24141260584254148,True,3,191,10000,20260826
Stochastic,Temporal,Gemma 4 2B,Gemma 4 31B,0.27374122413092195,0.7641482464726552,-0.4904070223417333,-0.6096218185315544,-0.3706182043939629,True,3,191,10000,20260826
Stochastic,Temporal,Gemma 4 2B,Gemma 4 4B,0.27374122413092195,0.43888623181657355,-0.1651450076856516,-0.252843379669734,-0.07814664067711584,True,3,191,10000,20260826
Stochastic,Temporal,Gemma 4 4B,Gemma 4 31B,0.43888623181657355,0.7641482464726552,-0.3252620146560817,-0.45620090328095514,-0.19173041275388542,True,3,191,10000,20260826
Greedy,All relations,Gemma 4 2B,Gemma 4 31B,3.5743232290484683,3.6396597406219495,-0.06533651157348119,-0.4416768518607931,0.32958174412918034,False,1,191,10000,20260826
Greedy,All relations,Gemma 4 2B,Gemma 4 4B,3.5743232290484683,2.933041744387985,0.6412814846604835,0.3309597302560457,0.9546077198971415,True,1,191,10000,20260826
Greedy,All relations,Gemma 4 4B,Gemma 4 31B,2.933041744387985,3.6396597406219495,-0.7066179962339647,-1.0296456225706239,-0.37809912683066,True,1,191,10000,20260826
Greedy,Contingency,Gemma 4 2B,Gemma 4 31B,1.3535419030637057,0.9970715381397295,0.3564703649239762,0.1405007146815743,0.5758198170089323,True,1,191,10000,20260826
Greedy,Contingency,Gemma 4 2B,Gemma 4 4B,1.3535419030637057,0.6367787997684441,0.7167631032952616,0.512327810930585,0.9162087736727433,True,1,191,10000,20260826
Greedy,Contingency,Gemma 4 4B,Gemma 4 31B,0.6367787997684441,0.9970715381397295,-0.3602927383712854,-0.5500741587441819,-0.1689133592503551,True,1,191,10000,20260826
Greedy,Comparison,Gemma 4 2B,Gemma 4 31B,1.0131301669638515,0.6693627109189793,0.34376745604487224,0.18734602323326838,0.5033117353798593,True,1,191,10000,20260826
Greedy,Comparison,Gemma 4 2B,Gemma 4 4B,1.0131301669638515,1.125619090499775,-0.11248892353592344,-0.27554924275781245,0.051914558002909346,False,1,191,10000,20260826
Greedy,Comparison,Gemma 4 4B,Gemma 4 31B,1.125619090499775,0.6693627109189793,0.4562563795807957,0.28961884451501163,0.61815396020698,True,1,191,10000,20260826
Greedy,Expansion,Gemma 4 2B,Gemma 4 31B,1.0050251256281406,1.178357272346953,-0.17333214671881247,-0.4013979842143925,0.050989941544196817,False,1,191,10000,20260826
Greedy,Expansion,Gemma 4 2B,Gemma 4 4B,1.0050251256281406,0.7139641088312858,0.2910610167968548,0.09626435362600519,0.48559767477178645,True,1,191,10000,20260826
Greedy,Expansion,Gemma 4 4B,Gemma 4 31B,0.7139641088312858,1.178357272346953,-0.4643931635156673,-0.6609994851816812,-0.26797343901227505,True,1,191,10000,20260826
Greedy,Temporal,Gemma 4 2B,Gemma 4 31B,0.2026260333927703,0.7948682192162878,-0.5922421858235175,-0.7568418519711118,-0.43328604225919337,True,1,191,10000,20260826
Greedy,Temporal,Gemma 4 2B,Gemma 4 4B,0.2026260333927703,0.4566797452884801,-0.2540537118957098,-0.40483543487846796,-0.10965217345689789,True,1,191,10000,20260826
Greedy,Temporal,Gemma 4 4B,Gemma 4 31B,0.4566797452884801,0.7948682192162878,-0.3381884739278077,-0.5272883127717741,-0.14638684229415425,True,1,191,10000,20260826
