model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 2B,Stochastic,Mechanical,Comparison,3,0.1619047619047619,0.14661718398419668,0.0,0.2857142857142857,6.0,18,3,True
Gemma 4 2B,Stochastic,Mechanical,Contingency,3,0.273015873015873,0.06756760842473891,0.2,0.3333333333333333,6.0,18,5,True
Gemma 4 2B,Stochastic,Mechanical,Expansion,3,0.3984126984126984,0.2182352084289672,0.16666666666666666,0.6,6.0,18,7,True
Gemma 4 2B,Stochastic,Mechanical,Temporal,3,0.05555555555555555,0.09622504486493763,0.0,0.16666666666666666,6.0,18,1,True
Gemma 4 2B,Stochastic,Mechanical,Any explicit,3,0.6047619047619047,0.10722219284950193,0.5,0.7142857142857143,6.0,18,11,True
Gemma 4 2B,Stochastic,Testimony,Comparison,3,0.28867413632119515,0.00875798577944114,0.2785714285714286,0.29411764705882354,142.0,426,123,False
Gemma 4 2B,Stochastic,Testimony,Contingency,3,0.08777310924369748,0.045454786673387856,0.05714285714285714,0.14,142.0,426,38,False
Gemma 4 2B,Stochastic,Testimony,Expansion,3,0.2778478057889822,0.05756644699619575,0.23333333333333334,0.34285714285714286,142.0,426,118,False
Gemma 4 2B,Stochastic,Testimony,Temporal,3,0.1322642390289449,0.02405879700425299,0.10666666666666667,0.15441176470588236,142.0,426,56,False
Gemma 4 2B,Stochastic,Testimony,Any explicit,3,0.6313678804855276,0.023775557966413285,0.6102941176470589,0.6571428571428571,142.0,426,269,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison,3,0.29878976246334926,0.03278454855975189,0.2660098522167488,0.33157894736842103,185.66666666666666,557,166,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency,3,0.12740102990866567,0.024513397774258216,0.10344827586206896,0.1524390243902439,185.66666666666666,557,70,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion,3,0.25084378313319045,0.015804591111023697,0.23780487804878048,0.26842105263157895,185.66666666666666,557,140,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal,3,0.09526570842581643,0.025489413113905852,0.07317073170731707,0.12315270935960591,185.66666666666666,557,54,False
Gemma 4 2B,Stochastic,SocialJudgment,Any explicit,3,0.6486594956693669,0.029197949301117753,0.6206896551724138,0.6789473684210526,185.66666666666666,557,361,False
Gemma 4 2B,Stochastic,Behavioral,Comparison,3,0.27522716403634623,0.06165263993799509,0.21951219512195122,0.34146341463414637,38.666666666666664,116,32,False
Gemma 4 2B,Stochastic,Behavioral,Contingency,3,0.15471066475370635,0.01387926529022617,0.14634146341463414,0.17073170731707318,38.666666666666664,116,18,False
Gemma 4 2B,Stochastic,Behavioral,Expansion,3,0.20205643232902917,0.07296061390713376,0.12195121951219512,0.2647058823529412,38.666666666666664,116,23,False
Gemma 4 2B,Stochastic,Behavioral,Temporal,3,0.0944524151123864,0.024977458692146518,0.07317073170731707,0.12195121951219512,38.666666666666664,116,11,False
Gemma 4 2B,Stochastic,Behavioral,Any explicit,3,0.5798660927785749,0.04080974202427615,0.5365853658536586,0.6176470588235294,38.666666666666664,116,67,False
Gemma 4 2B,Stochastic,ClaimComparison,Comparison,3,0.3313222724987431,0.022691370731818518,0.3076923076923077,0.35294117647058826,17.0,51,17,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency,3,0.05135387488328665,0.04805643037332501,0.0,0.09523809523809523,17.0,51,3,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion,3,0.3336206277382748,0.08517294957319074,0.23529411764705882,0.38461538461538464,17.0,51,17,True
