model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_semantic_sentences,total_n_semantic_sentences,total_n_joint_sentences,support_is_thin
Gemma 4 2B,Stochastic,Mechanical,Comparison.Contrast,3,0.1619047619047619,0.14661718398419668,0.0,0.2857142857142857,6.0,18,3,True
Gemma 4 2B,Stochastic,Mechanical,Comparison.Concession,3,0.0,0.0,0.0,0.0,6.0,18,0,True
Gemma 4 2B,Stochastic,Mechanical,Contingency.Cause,3,0.21746031746031746,0.06141441943540667,0.16666666666666666,0.2857142857142857,6.0,18,4,True
Gemma 4 2B,Stochastic,Mechanical,Contingency.Condition,3,0.1111111111111111,0.19245008972987526,0.0,0.3333333333333333,6.0,18,2,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Conjunction,3,0.3984126984126984,0.2182352084289672,0.16666666666666666,0.6,6.0,18,7,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Alternative,3,0.0,0.0,0.0,0.0,6.0,18,0,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Restatement,3,0.0,0.0,0.0,0.0,6.0,18,0,True
Gemma 4 2B,Stochastic,Mechanical,Temporal.Asynchronous,3,0.05555555555555555,0.09622504486493763,0.0,0.16666666666666666,6.0,18,1,True
Gemma 4 2B,Stochastic,Mechanical,Temporal.Synchrony,3,0.0,0.0,0.0,0.0,6.0,18,0,True
Gemma 4 2B,Stochastic,Testimony,Comparison.Contrast,3,0.27733426704014935,0.010105974548239941,0.26666666666666666,0.2867647058823529,142.0,426,118,False
Gemma 4 2B,Stochastic,Testimony,Comparison.Concession,3,0.011339869281045752,0.013773143234609386,0.0,0.02666666666666667,142.0,426,5,False
Gemma 4 2B,Stochastic,Testimony,Contingency.Cause,3,0.08087768440709618,0.03966332483660839,0.05714285714285714,0.12666666666666668,142.0,426,35,False
Gemma 4 2B,Stochastic,Testimony,Contingency.Condition,3,0.006895424836601307,0.006678430604968505,0.0,0.013333333333333334,142.0,426,3,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Conjunction,3,0.27539682539682536,0.05901368712705175,0.23333333333333334,0.34285714285714286,142.0,426,117,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Alternative,3,0.0024509803921568627,0.004245222567570778,0.0,0.007352941176470588,142.0,426,1,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Restatement,3,0.0,0.0,0.0,0.0,142.0,426,0,False
Gemma 4 2B,Stochastic,Testimony,Temporal.Asynchronous,3,0.09452380952380952,0.026402818855898985,0.07857142857142857,0.125,142.0,426,40,False
