model,decoding_group,semantic_category,discourse_relation,n_runs,mean_joint_prevalence,sd_joint_prevalence,mean_lift,sd_lift,mean_support,total_support,support_is_thin
Gemma 4 2B,Stochastic,Mechanical,Comparison.Contrast,3,0.0016483764620873413,0.0016529110704859768,0.8440756833706935,0.7543990659744896,1.0,3,True
Gemma 4 2B,Stochastic,Mechanical,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,Mechanical,Contingency.Cause,3,0.0022104900090238223,0.0009488444058495905,1.1136312537086486,0.3290227375527245,1.3333333333333333,4,True
Gemma 4 2B,Stochastic,Mechanical,Contingency.Condition,3,0.0011242270938729624,0.0019472184458334762,2.864734299516908,4.961865356948523,0.6666666666666666,2,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Conjunction,3,0.0038543503712150343,0.0018776614831499839,2.2751816839834214,1.1333249535269103,2.3333333333333335,7,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Alternative,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Restatement,3,0.0,0.0,,,0.0,0,True
Gemma 4 2B,Stochastic,Mechanical,Temporal.Asynchronous,3,0.0005621135469364812,0.0009736092229167381,1.733918128654971,3.003234294995159,0.3333333333333333,1,True
Gemma 4 2B,Stochastic,Mechanical,Temporal.Synchrony,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,Testimony,Comparison.Contrast,3,0.06528362059308043,0.0018977588712287756,1.470826199119675,0.02877318636776569,39.333333333333336,118,False
Gemma 4 2B,Stochastic,Testimony,Comparison.Concession,3,0.0027994183750737482,0.0035158029107792946,2.059199346405229,1.9818289635550275,1.6666666666666667,5,False
Gemma 4 2B,Stochastic,Testimony,Contingency.Cause,3,0.019459455589869282,0.010895614743852323,0.40223608465972055,0.16063827445951148,11.666666666666666,35,False
Gemma 4 2B,Stochastic,Testimony,Contingency.Condition,3,0.001675191281200786,0.00168645120934602,0.1887315288434214,0.17434345760301093,1.0,3,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Conjunction,3,0.06463626470864416,0.012251230559887282,1.5974282562624778,0.23383285508730536,39.0,117,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Alternative,3,0.0005509641873278236,0.0009542979656026872,0.2965686274509804,0.5136719306760641,0.3333333333333333,1,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 2B,Stochastic,Testimony,Temporal.Asynchronous,3,0.022122682709559412,0.005291735605307991,2.647146391620076,0.8884788002629226,13.333333333333334,40,False
Gemma 4 2B,Stochastic,Testimony,Temporal.Synchrony,3,0.0104879375581029,0.002393097248983172,2.5867763772175536,0.33627895093395466,6.333333333333333,19,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison.Contrast,3,0.09011864396066073,0.0107842438135314,1.5557579317791845,0.15072283021158983,54.333333333333336,163,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison.Concession,3,0.0016438603621912115,0.0016393629237586845,1.5323437905107598,1.5033541846175906,1.0,3,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency.Cause,3,0.03654541509621768,0.004833252898227181,0.6056069095895339,0.07219438932804745,22.0,66,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency.Condition,3,0.003314535543495868,0.0016333465239239061,0.29446507824060064,0.12646265287638975,2.0,6,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Conjunction,3,0.07734400625582648,0.010093212557850504,1.4675119603962612,0.11848796876553142,46.666666666666664,140,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Alternative,3,0.000546448087431694,0.000946475851130534,0.20032840722495893,0.346978979512977,0.3333333333333333,1,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Restatement,3,0.0,0.0,,,0.0,0,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal.Asynchronous,3,0.022635400937901798,0.004764400378265514,2.009775427873343,0.07248252610215665,13.666666666666666,41,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal.Synchrony,3,0.008239483370356975,0.005896066432746327,1.3924719942202015,0.8550077370592775,5.0,15,False
Gemma 4 2B,Stochastic,Behavioral,Comparison.Contrast,3,0.017746300129946397,0.005077412993322453,1.4628124077809836,0.3512945958048517,10.666666666666666,32,False
Gemma 4 2B,Stochastic,Behavioral,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,False
