model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,mean_n_with_category,total_n_with_category,total_n_with_both,low_support_diagnostic
Gemma 4 2B,Stochastic,Mechanical,Comparison,3,0.5436507936507936,0.2554211911389539,0.25,0.7142857142857143,5.666666666666667,17,10,True
Gemma 4 2B,Stochastic,Mechanical,Contingency,3,0.8412698412698413,0.16723259925163078,0.6666666666666666,1.0,5.666666666666667,17,14,True
Gemma 4 2B,Stochastic,Mechanical,Expansion,3,0.5992063492063492,0.2309441988404994,0.3333333333333333,0.75,5.666666666666667,17,10,True
Gemma 4 2B,Stochastic,Mechanical,Temporal,3,0.19444444444444442,0.1734721666221777,0.0,0.3333333333333333,5.666666666666667,17,3,True
Gemma 4 2B,Stochastic,Mechanical,Any explicit,3,0.9523809523809524,0.08247860988423228,0.8571428571428571,1.0,5.666666666666667,17,16,True
Gemma 4 2B,Stochastic,Testimony,Comparison,3,0.5685621462320491,0.00735215632940316,0.5631067961165048,0.5769230769230769,102.0,306,174,False
Gemma 4 2B,Stochastic,Testimony,Contingency,3,0.5201863041668867,0.1095468736309528,0.40384615384615385,0.6213592233009708,102.0,306,159,False
Gemma 4 2B,Stochastic,Testimony,Expansion,3,0.4766022812139317,0.0633926198020136,0.42718446601941745,0.5480769230769231,102.0,306,146,False
Gemma 4 2B,Stochastic,Testimony,Temporal,3,0.21543572393086954,0.06181985111408693,0.1553398058252427,0.27884615384615385,102.0,306,66,False
Gemma 4 2B,Stochastic,Testimony,Any explicit,3,0.9670148711410848,0.02106315533005147,0.9494949494949495,0.9903846153846154,102.0,306,296,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison,3,0.5760686077375471,0.031970878357180536,0.5420560747663551,0.6055045871559633,113.33333333333333,340,196,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency,3,0.5217782731715682,0.03382632909273217,0.5,0.5607476635514018,113.33333333333333,340,177,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion,3,0.4775961846073282,0.033372655425160345,0.45794392523364486,0.5161290322580645,113.33333333333333,340,163,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal,3,0.1851081768555832,0.057566013200456324,0.14018691588785046,0.25,113.33333333333333,340,64,False
Gemma 4 2B,Stochastic,SocialJudgment,Any explicit,3,0.9700445024657519,0.02176664479286549,0.944954128440367,0.9838709677419355,113.33333333333333,340,330,False
Gemma 4 2B,Stochastic,Behavioral,Comparison,3,0.5009487666034156,0.041616152181140974,0.47058823529411764,0.5483870967741935,32.0,96,48,False
Gemma 4 2B,Stochastic,Behavioral,Contingency,3,0.5341555977229602,0.1258931415883811,0.4411764705882353,0.6774193548387096,32.0,96,51,False
Gemma 4 2B,Stochastic,Behavioral,Expansion,3,0.456989247311828,0.0405905077165094,0.41935483870967744,0.5,32.0,96,44,False
Gemma 4 2B,Stochastic,Behavioral,Temporal,3,0.17710309930423782,0.08064702159553938,0.0967741935483871,0.25806451612903225,32.0,96,17,False
Gemma 4 2B,Stochastic,Behavioral,Any explicit,3,0.9471853257432005,0.020267514193563742,0.9354838709677419,0.9705882352941176,32.0,96,91,False
Gemma 4 2B,Stochastic,ClaimComparison,Comparison,3,0.5404725992961287,0.2018318978692262,0.3076923076923077,0.6666666666666666,15.0,45,25,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency,3,0.5296128707893414,0.215164877989414,0.35294117647058826,0.7692307692307693,15.0,45,23,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion,3,0.559376571141277,0.048544005192173466,0.5294117647058824,0.6153846153846154,15.0,45,25,True
Gemma 4 2B,Stochastic,ClaimComparison,Temporal,3,0.4840623428858723,0.19594387617410378,0.26666666666666666,0.6470588235294118,15.0,45,22,True
Gemma 4 2B,Stochastic,ClaimComparison,Any explicit,3,1.0,0.0,1.0,1.0,15.0,45,45,True
Gemma 4 2B,Stochastic,Payoff,Comparison,3,0.5985447097696627,0.022181925375799764,0.5813953488372093,0.6235955056179775,173.66666666666666,521,312,False
Gemma 4 2B,Stochastic,Payoff,Contingency,3,0.604716615450597,0.04109010249474771,0.5730994152046783,0.6511627906976745,173.66666666666666,521,315,False
Gemma 4 2B,Stochastic,Payoff,Expansion,3,0.47801414592428576,0.04221276111436956,0.436046511627907,0.52046783625731,173.66666666666666,521,249,False
