model,decoding_group,semantic_category,discourse_relation,n_runs,mean_lift,sd_lift,min_lift,max_lift,mean_joint_prevalence,mean_support,total_support,low_support_diagnostic
Gemma 4 2B,Stochastic,Mechanical,Comparison,3,0.9286802636440319,0.42161050616243484,0.44212962962962965,1.1863354037267082,0.017452006980802792,3.3333333333333335,10,True
Gemma 4 2B,Stochastic,Mechanical,Contingency,3,1.4230683746398052,0.379085754927913,1.0437158469945356,1.8018867924528301,0.02443280977312391,4.666666666666667,14,True
Gemma 4 2B,Stochastic,Mechanical,Expansion,3,1.2214796208338408,0.4099382553708041,0.7490196078431373,1.4829192546583851,0.017452006980802792,3.3333333333333335,10,True
Gemma 4 2B,Stochastic,Mechanical,Temporal,3,1.2468055555555557,1.2741620567099226,0.0,2.5466666666666673,0.005235602094240839,1.0,3,True
Gemma 4 2B,Stochastic,Mechanical,Any explicit,3,0.9791509167922637,0.07341495436589972,0.8946135831381734,1.0268817204301075,0.027923211169284468,5.333333333333333,16,True
Gemma 4 2B,Stochastic,Testimony,Comparison,3,0.9791796945764863,0.04042743408594846,0.9394817742643827,1.020299145299145,0.3036649214659686,58.0,174,False
Gemma 4 2B,Stochastic,Testimony,Contingency,3,0.8632070487838791,0.12459216627091857,0.7276850507982583,0.9727837020531594,0.2774869109947644,53.0,159,False
Gemma 4 2B,Stochastic,Testimony,Expansion,3,0.9834704786828729,0.05546534684406328,0.9436758893280631,1.046826923076923,0.2547993019197208,48.666666666666664,146,False
Gemma 4 2B,Stochastic,Testimony,Temporal,3,1.3396158894493577,0.15704026437638094,1.1867961165048544,1.5005611672278336,0.11518324607329844,22.0,66,False
Gemma 4 2B,Stochastic,Testimony,Any explicit,3,0.9947314564331897,0.010121771125728369,0.9870028186658317,1.0061886252045824,0.5165794066317627,98.66666666666667,296,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison,3,0.9912507726437586,0.044619183818403636,0.9412064570943075,1.0268817204301075,0.34205933682373474,65.33333333333333,196,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency,3,0.8722962268287011,0.03181618200655757,0.8380534503390508,0.9009433962264151,0.3089005235602094,59.0,177,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion,3,0.989055618595078,0.03844983693650533,0.9523334662943759,1.0290269378779549,0.2844677137870855,54.333333333333336,163,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal,3,1.1443245853458706,0.06474985159216669,1.0710280373831775,1.19375,0.11169284467713787,21.333333333333332,64,False
Gemma 4 2B,Stochastic,SocialJudgment,Any explicit,3,0.9978407681643943,0.010816333764118325,0.9862635985361208,1.0076876695809467,0.5759162303664921,110.0,330,False
Gemma 4 2B,Stochastic,Behavioral,Comparison,3,0.8612155018268375,0.04708342456286273,0.8171122994652407,0.9107994389901822,0.0837696335078534,16.0,48,False
Gemma 4 2B,Stochastic,Behavioral,Contingency,3,0.8958934019591552,0.21819867113688518,0.6906943105110896,1.1251051893408133,0.08900523560209424,17.0,51,False
Gemma 4 2B,Stochastic,Behavioral,Expansion,3,0.9540282704947337,0.16190808509917592,0.8009677419354838,1.1235294117647059,0.07678883071553229,14.666666666666666,44,False
Gemma 4 2B,Stochastic,Behavioral,Temporal,3,1.0883603907512827,0.35445295876730337,0.6845878136200716,1.3482352941176472,0.029668411867364745,5.666666666666667,17,False
Gemma 4 2B,Stochastic,Behavioral,Any explicit,3,0.9744901542345995,0.02319153792834404,0.9504118050789292,0.9966793168880456,0.15881326352530542,30.333333333333332,91,False
Gemma 4 2B,Stochastic,ClaimComparison,Comparison,3,0.9376493529519957,0.3695166242899448,0.5110367892976588,1.1575757575757575,0.04363001745200698,8.333333333333334,25,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency,3,0.8813843701784795,0.34637346977016903,0.6359600443951164,1.2775919732441472,0.04013961605584642,7.666666666666667,23,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion,3,1.1623999387938007,0.1368137536130527,1.0111764705882353,1.2775919732441472,0.04363001745200698,8.333333333333334,25,True
Gemma 4 2B,Stochastic,ClaimComparison,Temporal,3,2.978718674934361,0.8910907874188657,2.037333333333333,3.809116809116808,0.038394415357766144,7.333333333333333,22,True
Gemma 4 2B,Stochastic,ClaimComparison,Any explicit,3,1.0288516714110514,0.013983659226839308,1.0159574468085106,1.0437158469945356,0.07853403141361257,15.0,45,True
Gemma 4 2B,Stochastic,Payoff,Comparison,3,1.0299293692588338,0.01822611514011753,1.0095137420718814,1.0445635694173705,0.5445026178010471,104.0,312,False
Gemma 4 2B,Stochastic,Payoff,Contingency,3,1.010610027125548,0.02755029887805897,0.9797264289203711,1.0326602670197504,0.5497382198952879,105.0,315,False
Gemma 4 2B,Stochastic,Payoff,Expansion,3,0.9884351891542139,0.007580614877973683,0.9798221614227086,0.994093567251462,0.43455497382198954,83.0,249,False
Gemma 4 2B,Stochastic,Payoff,Temporal,3,0.9172843496153403,0.030648570965418606,0.8883720930232558,0.9494152046783626,0.1343804537521815,25.666666666666668,77,False
Gemma 4 2B,Stochastic,Payoff,Any explicit,3,0.9993042269331379,0.004133034658838901,0.9968072696015228,1.0040749035709842,0.8830715532286213,168.66666666666666,506,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison,3,1.24229606429581,0.043438772441196316,1.194525666016894,1.2794258373205742,0.4310645724258289,82.33333333333333,247,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency,3,1.0511092661026729,0.043027983774083435,1.0052631578947369,1.0906156901688184,0.37521815008726,71.66666666666667,215,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion,3,1.0390147470124587,0.029232002777757164,1.0052631578947369,1.0562547673531655,0.30017452006980805,57.333333333333336,172,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal,3,0.6983062594758501,0.09501517172229651,0.6205328135152696,0.8042105263157895,0.0663176265270506,12.666666666666666,38,False
Gemma 4 2B,Stochastic,Uncertainty,Any explicit,3,1.0016462399214314,0.006253472105748082,0.9979388361614419,1.008866251650632,0.581151832460733,111.0,333,False
Gemma 4 2B,Greedy,Mechanical,Comparison,1,0.6420168067226891,,0.6420168067226891,0.6420168067226891,0.010471204188481676,2.0,2,True
Gemma 4 2B,Greedy,Mechanical,Contingency,1,1.1844961240310077,,1.1844961240310077,1.1844961240310077,0.020942408376963352,4.0,4,True
Gemma 4 2B,Greedy,Mechanical,Expansion,1,0.7876288659793814,,0.7876288659793814,0.7876288659793814,0.010471204188481676,2.0,2,True
Gemma 4 2B,Greedy,Mechanical,Temporal,1,1.528,,1.528,1.528,0.005235602094240838,1.0,1,True
Gemma 4 2B,Greedy,Mechanical,Any explicit,1,1.0268817204301075,,1.0268817204301075,1.0268817204301075,0.02617801047120419,5.0,5,True
Gemma 4 2B,Greedy,Testimony,Comparison,1,1.0648836457659987,,1.0648836457659987,1.0648836457659987,0.3612565445026178,69.0,69,False
Gemma 4 2B,Greedy,Testimony,Contingency,1,0.9396243291592128,,0.9396243291592128,0.9396243291592128,0.34554973821989526,66.0,66,False
Gemma 4 2B,Greedy,Testimony,Expansion,1,1.0224028548770816,,1.0224028548770816,1.0224028548770816,0.28272251308900526,54.0,54,False
Gemma 4 2B,Greedy,Testimony,Temporal,1,1.4692307692307691,,1.4692307692307691,1.4692307692307691,0.10471204188481675,20.0,20,False
Gemma 4 2B,Greedy,Testimony,Any explicit,1,0.9972601323407773,,0.9972601323407773,0.9972601323407773,0.5287958115183246,101.0,101,False
Gemma 4 2B,Greedy,SocialJudgment,Comparison,1,1.0259031447630598,,1.0259031447630598,1.0259031447630598,0.32460732984293195,62.0,62,False
Gemma 4 2B,Greedy,SocialJudgment,Contingency,1,0.8853192679613202,,0.8853192679613202,0.8853192679613202,0.3036649214659686,58.0,58,False
Gemma 4 2B,Greedy,SocialJudgment,Expansion,1,1.0149856520352853,,1.0149856520352853,1.0149856520352853,0.2617801047120419,50.0,50,False
Gemma 4 2B,Greedy,SocialJudgment,Temporal,1,1.181443298969072,,1.181443298969072,1.181443298969072,0.07853403141361257,15.0,15,False
Gemma 4 2B,Greedy,SocialJudgment,Any explicit,1,0.9951224919631969,,0.9951224919631969,0.9951224919631969,0.49214659685863876,94.0,94,False
Gemma 4 2B,Greedy,Behavioral,Comparison,1,0.8969352446861096,,0.8969352446861096,0.8969352446861096,0.09947643979057591,19.0,19,False
Gemma 4 2B,Greedy,Behavioral,Contingency,1,0.9580483356133151,,0.9580483356133151,0.9580483356133151,0.11518324607329843,22.0,22,False
Gemma 4 2B,Greedy,Behavioral,Expansion,1,0.7528805336567617,,0.7528805336567617,0.7528805336567617,0.06806282722513089,13.0,13,False
Gemma 4 2B,Greedy,Behavioral,Temporal,1,0.6741176470588236,,0.6741176470588236,0.6741176470588236,0.015706806282722512,3.0,3,False
Gemma 4 2B,Greedy,Behavioral,Any explicit,1,0.9966793168880456,,0.9966793168880456,0.9966793168880456,0.17277486910994763,33.0,33,False
Gemma 4 2B,Greedy,ClaimComparison,Comparison,1,1.0700280112044818,,1.0700280112044818,1.0700280112044818,0.05235602094240838,10.0,10,True
Gemma 4 2B,Greedy,ClaimComparison,Contingency,1,0.8883720930232558,,0.8883720930232558,0.8883720930232558,0.04712041884816754,9.0,9,True
Gemma 4 2B,Greedy,ClaimComparison,Expansion,1,1.3127147766323022,,1.3127147766323022,1.3127147766323022,0.05235602094240838,10.0,10,True
Gemma 4 2B,Greedy,ClaimComparison,Temporal,1,2.5466666666666664,,2.5466666666666664,2.5466666666666664,0.02617801047120419,5.0,5,True
Gemma 4 2B,Greedy,ClaimComparison,Any explicit,1,1.0268817204301075,,1.0268817204301075,1.0268817204301075,0.07853403141361257,15.0,15,True
Gemma 4 2B,Greedy,Payoff,Comparison,1,0.9984854406879031,,0.9984854406879031,0.9984854406879031,0.5602094240837696,107.0,107,False
Gemma 4 2B,Greedy,Payoff,Contingency,1,1.0071660356949703,,1.0071660356949703,1.0071660356949703,0.612565445026178,117.0,117,False
Gemma 4 2B,Greedy,Payoff,Expansion,1,1.0303284584032606,,1.0303284584032606,1.0303284584032606,0.4712041884816754,90.0,90,False
Gemma 4 2B,Greedy,Payoff,Temporal,1,1.066046511627907,,1.066046511627907,1.066046511627907,0.1256544502617801,24.0,24,False
Gemma 4 2B,Greedy,Payoff,Any explicit,1,1.0030007501875469,,1.0030007501875469,1.0030007501875469,0.8795811518324608,168.0,168,False
Gemma 4 2B,Greedy,Uncertainty,Comparison,1,1.1972034715525552,,1.1972034715525552,1.1972034715525552,0.47643979057591623,91.0,91,False
Gemma 4 2B,Greedy,Uncertainty,Contingency,1,1.0922607701105604,,1.0922607701105604,1.0922607701105604,0.4712041884816754,90.0,90,False
Gemma 4 2B,Greedy,Uncertainty,Expansion,1,1.0006760182524927,,1.0006760182524927,1.0006760182524927,0.32460732984293195,62.0,62,False
Gemma 4 2B,Greedy,Uncertainty,Temporal,1,0.6888524590163934,,0.6888524590163934,0.6888524590163934,0.05759162303664921,11.0,11,False
Gemma 4 2B,Greedy,Uncertainty,Any explicit,1,1.0100475938656794,,1.0100475938656794,1.0100475938656794,0.6282722513089005,120.0,120,False
Gemma 4 4B,Stochastic,Mechanical,Comparison,3,0.9449369655538943,0.11206690809796745,0.8215053763440859,1.0403050108932461,0.05235602094240838,10.0,30,True
Gemma 4 4B,Stochastic,Mechanical,Contingency,3,1.4545650943000579,0.41393720108155807,1.1169590643274854,1.9163879598662206,0.034904013961605584,6.666666666666667,20,True
Gemma 4 4B,Stochastic,Mechanical,Expansion,3,0.8887526979193646,0.2232011748528778,0.6678321678321678,1.1141666666666667,0.027923211169284468,5.333333333333333,16,True
Gemma 4 4B,Stochastic,Mechanical,Temporal,3,0.9098040251071541,0.2985479188210859,0.5650887573964497,1.0852272727272727,0.017452006980802792,3.3333333333333335,10,True
Gemma 4 4B,Stochastic,Mechanical,Any explicit,3,1.0173263395978729,0.0559933534130963,0.953014553014553,1.0552486187845305,0.06806282722513089,13.0,39,True
Gemma 4 4B,Stochastic,Testimony,Comparison,3,1.0227807633825063,0.0128521356470129,1.0093172020581282,1.0349187236604456,0.6178010471204188,118.0,354,False
Gemma 4 4B,Stochastic,Testimony,Contingency,3,1.0120143782143198,0.053246089194539555,0.9506034590021154,1.0453025235633933,0.25828970331588136,49.333333333333336,148,False
Gemma 4 4B,Stochastic,Testimony,Expansion,3,1.02432284263361,0.01376299353635489,1.0084318360914106,1.0324324324324325,0.3472949389179756,66.33333333333333,199,False
Gemma 4 4B,Stochastic,Testimony,Temporal,3,1.147101917789038,0.02820882300065006,1.1155519926706368,1.1698903932946485,0.2338568935427574,44.666666666666664,134,False
Gemma 4 4B,Stochastic,Testimony,Any explicit,3,1.0124402892654496,0.011413914978331679,1.0035532035532035,1.0253124877551822,0.731239092495637,139.66666666666666,419,False
Gemma 4 4B,Stochastic,SocialJudgment,Comparison,3,0.9728142993193405,0.021593199365724555,0.948278029160382,0.9889223359422034,0.43804537521815007,83.66666666666667,251,False
Gemma 4 4B,Stochastic,SocialJudgment,Contingency,3,0.6864117137492821,0.05985144399785412,0.6443994601889339,0.7549407114624505,0.13089005235602094,25.0,75,False
Gemma 4 4B,Stochastic,SocialJudgment,Expansion,3,1.0532785116118448,0.07029331879931235,0.9726851851851851,1.1019230769230768,0.2670157068062828,51.0,153,False
Gemma 4 4B,Stochastic,SocialJudgment,Temporal,3,1.047009287793186,0.07620426278966584,0.9600087412587412,1.1019230769230768,0.16055846422338568,30.666666666666668,92,False
Gemma 4 4B,Stochastic,SocialJudgment,Any explicit,3,0.9819311841997488,0.00511827531299062,0.9760675976522971,0.9855036855036854,0.5287958115183246,101.0,303,False
Gemma 4 4B,Stochastic,Behavioral,Comparison,3,0.9902028053675241,0.033141118413567254,0.9709513435003632,1.0284706319242434,0.46073298429319376,88.0,264,False
Gemma 4 4B,Stochastic,Behavioral,Contingency,3,0.7530827327249344,0.06810651523120853,0.6764482671388818,0.8066926575698505,0.14659685863874347,28.0,84,False
Gemma 4 4B,Stochastic,Behavioral,Expansion,3,0.9356570842599452,0.0201631211388018,0.9128079864061173,0.9509533898305085,0.2443280977312391,46.666666666666664,140,False
Gemma 4 4B,Stochastic,Behavioral,Temporal,3,1.170177810117109,0.07435431223664941,1.097385808675668,1.2460016835016836,0.18324607329842932,35.0,105,False
Gemma 4 4B,Stochastic,Behavioral,Any explicit,3,0.9874967341983455,0.006043939940195482,0.9818005001389276,0.9938368274816873,0.5497382198952879,105.0,315,False
Gemma 4 4B,Stochastic,ClaimComparison,Comparison,3,0.8502817014849054,0.07244755419182405,0.7752616962187566,0.9198486412108703,0.1256544502617801,24.0,72,False
Gemma 4 4B,Stochastic,ClaimComparison,Contingency,3,0.6863179442812881,0.3265178128475979,0.44647031323048153,1.0581717451523547,0.0418848167539267,8.0,24,False
Gemma 4 4B,Stochastic,ClaimComparison,Expansion,3,1.0902634151360806,0.157461503459551,0.9494152046783626,1.2602639296187683,0.08900523560209424,17.0,51,False
