model,decoding_group,semantic_category,discourse_relation,n_runs,mean_conditional_prevalence,sd_conditional_prevalence,min_conditional_prevalence,max_conditional_prevalence,total_n_with_category,total_n_with_both,low_support_diagnostic
Gemma 4 2B,Stochastic,Mechanical,Comparison.Contrast,3,0.5436507936507936,0.2554211911389539,0.25,0.7142857142857143,17,10,True
Gemma 4 2B,Stochastic,Mechanical,Comparison.Concession,3,0.0,0.0,0.0,0.0,17,0,True
Gemma 4 2B,Stochastic,Mechanical,Contingency.Cause,3,0.7857142857142857,0.25753937681885636,0.5,1.0,17,13,True
Gemma 4 2B,Stochastic,Mechanical,Contingency.Condition,3,0.24206349206349206,0.09548578901203146,0.14285714285714285,0.3333333333333333,17,4,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Conjunction,3,0.5992063492063492,0.2309441988404994,0.3333333333333333,0.75,17,10,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Alternative,3,0.047619047619047616,0.08247860988423225,0.0,0.14285714285714285,17,1,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Restatement,3,0.0,0.0,0.0,0.0,17,0,True
Gemma 4 2B,Stochastic,Mechanical,Temporal.Asynchronous,3,0.19444444444444442,0.1734721666221777,0.0,0.3333333333333333,17,3,True
Gemma 4 2B,Stochastic,Mechanical,Temporal.Synchrony,3,0.0,0.0,0.0,0.0,17,0,True
Gemma 4 2B,Stochastic,Testimony,Comparison.Contrast,3,0.5554864050009681,0.021471330714402645,0.5339805825242718,0.5769230769230769,306,170,False
Gemma 4 2B,Stochastic,Testimony,Comparison.Concession,3,0.016311987185773594,0.02014871065140632,0.0,0.038834951456310676,306,5,False
Gemma 4 2B,Stochastic,Testimony,Contingency.Cause,3,0.49412817495341765,0.11013187890703059,0.375,0.5922330097087378,306,151,False
Gemma 4 2B,Stochastic,Testimony,Contingency.Condition,3,0.06855900302502245,0.016363268708875035,0.057692307692307696,0.08737864077669903,306,21,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Conjunction,3,0.4699990318922358,0.06894886317740462,0.4174757281553398,0.5480769230769231,306,144,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Alternative,3,0.013175380893827497,0.0060854271569742375,0.009615384615384616,0.020202020202020204,306,4,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Restatement,3,0.0,0.0,0.0,0.0,306,0,False
Gemma 4 2B,Stochastic,Testimony,Temporal.Asynchronous,3,0.15680956943092866,0.03812932016465604,0.11650485436893204,0.19230769230769232,306,48,False
Gemma 4 2B,Stochastic,Testimony,Temporal.Synchrony,3,0.07503778134846097,0.01931827323980356,0.05825242718446602,0.09615384615384616,306,23,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison.Contrast,3,0.5676341596759903,0.027271116502556144,0.5420560747663551,0.5963302752293578,340,193,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison.Concession,3,0.008434448061556674,0.008089930117097747,0.0,0.016129032258064516,340,3,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency.Cause,3,0.5013098586744774,0.02890661720336561,0.47580645161290325,0.5327102803738317,340,170,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency.Condition,3,0.07343920992680648,0.04277101271068781,0.027522935779816515,0.11214953271028037,340,25,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Conjunction,3,0.4775961846073282,0.033372655425160345,0.45794392523364486,0.5161290322580645,340,163,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Alternative,3,0.011122620104567426,0.012213880401286611,0.0,0.024193548387096774,340,4,False
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Restatement,3,0.0,0.0,0.0,0.0,340,0,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal.Asynchronous,3,0.14019060368281644,0.01831227754118228,0.12844036697247707,0.16129032258064516,340,48,False
Gemma 4 2B,Stochastic,SocialJudgment,Temporal.Synchrony,3,0.05372195316684783,0.04372923295316675,0.009345794392523364,0.0967741935483871,340,19,False
Gemma 4 2B,Stochastic,Behavioral,Comparison.Contrast,3,0.5009487666034156,0.041616152181140974,0.47058823529411764,0.5483870967741935,96,48,False
Gemma 4 2B,Stochastic,Behavioral,Comparison.Concession,3,0.0,0.0,0.0,0.0,96,0,False
Gemma 4 2B,Stochastic,Behavioral,Contingency.Cause,3,0.5145477545857052,0.149906124144971,0.38235294117647056,0.6774193548387096,96,49,False
Gemma 4 2B,Stochastic,Behavioral,Contingency.Condition,3,0.08317520556609741,0.016713738471503876,0.06451612903225806,0.0967741935483871,96,8,False
Gemma 4 2B,Stochastic,Behavioral,Expansion.Conjunction,3,0.446236559139785,0.04656050557980852,0.41935483870967744,0.5,96,43,False
Gemma 4 2B,Stochastic,Behavioral,Expansion.Alternative,3,0.04301075268817204,0.04927500747264344,0.0,0.0967741935483871,96,4,False
Gemma 4 2B,Stochastic,Behavioral,Expansion.Restatement,3,0.0,0.0,0.0,0.0,96,0,False
Gemma 4 2B,Stochastic,Behavioral,Temporal.Asynchronous,3,0.10373181530676785,0.06563197701505763,0.03225806451612903,0.16129032258064516,96,10,False
Gemma 4 2B,Stochastic,Behavioral,Temporal.Synchrony,3,0.09392789373814042,0.004929935884920899,0.08823529411764706,0.0967741935483871,96,9,False
Gemma 4 2B,Stochastic,ClaimComparison,Comparison.Contrast,3,0.5404725992961287,0.2018318978692262,0.3076923076923077,0.6666666666666666,45,25,True
Gemma 4 2B,Stochastic,ClaimComparison,Comparison.Concession,3,0.0,0.0,0.0,0.0,45,0,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency.Cause,3,0.5100050276520866,0.24050318057079925,0.29411764705882354,0.7692307692307693,45,22,True
Gemma 4 2B,Stochastic,ClaimComparison,Contingency.Condition,3,0.04524886877828055,0.040218074286495875,0.0,0.07692307692307693,45,2,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Conjunction,3,0.559376571141277,0.048544005192173466,0.5294117647058824,0.6153846153846154,45,25,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Alternative,3,0.0,0.0,0.0,0.0,45,0,True
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Restatement,3,0.0,0.0,0.0,0.0,45,0,True
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Asynchronous,3,0.38340874811463044,0.1710032119877621,0.2,0.5384615384615384,45,17,True
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Synchrony,3,0.10065359477124182,0.12127309640359712,0.0,0.23529411764705882,45,5,True
Gemma 4 2B,Stochastic,Payoff,Comparison.Contrast,3,0.5850868024516478,0.024780157421622935,0.563953488372093,0.6123595505617978,521,305,False
Gemma 4 2B,Stochastic,Payoff,Comparison.Concession,3,0.015395891814138895,0.006810776082406389,0.011235955056179775,0.023255813953488372,521,8,False
Gemma 4 2B,Stochastic,Payoff,Contingency.Cause,3,0.5796621267479298,0.039535644167292494,0.543859649122807,0.622093023255814,521,302,False
Gemma 4 2B,Stochastic,Payoff,Contingency.Condition,3,0.12110117351270927,0.012441401376027303,0.10674157303370786,0.1286549707602339,521,63,False
Gemma 4 2B,Stochastic,Payoff,Expansion.Conjunction,3,0.4742035022521318,0.045161333927903426,0.43023255813953487,0.52046783625731,521,247,False
Gemma 4 2B,Stochastic,Payoff,Expansion.Alternative,3,0.015276574416618149,0.008557296095485546,0.005813953488372093,0.02247191011235955,521,8,False
Gemma 4 2B,Stochastic,Payoff,Expansion.Restatement,3,0.0,0.0,0.0,0.0,521,0,False
Gemma 4 2B,Stochastic,Payoff,Temporal.Asynchronous,3,0.1076772659226966,0.023264833504601547,0.09302325581395349,0.13450292397660818,521,56,False
Gemma 4 2B,Stochastic,Payoff,Temporal.Synchrony,3,0.05000099325048096,0.018181242620296845,0.03488372093023256,0.07017543859649122,521,26,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison.Contrast,3,0.7046783625730993,0.03545133231866123,0.6666666666666666,0.7368421052631579,342,241,False
Gemma 4 2B,Stochastic,Uncertainty,Comparison.Concession,3,0.017543859649122806,0.008771929824561403,0.008771929824561403,0.02631578947368421,342,6,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency.Cause,3,0.5994152046783626,0.04327090230101972,0.5701754385964912,0.6491228070175439,342,205,False
Gemma 4 2B,Stochastic,Uncertainty,Contingency.Condition,3,0.15789473684210525,0.008771929824561403,0.14912280701754385,0.16666666666666666,342,54,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Conjunction,3,0.49415204678362573,0.05707374647936593,0.43859649122807015,0.5526315789473685,342,169,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Alternative,3,0.03216374269005848,0.013399344137297778,0.017543859649122806,0.043859649122807015,342,11,False
Gemma 4 2B,Stochastic,Uncertainty,Expansion.Restatement,3,0.0,0.0,0.0,0.0,342,0,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal.Asynchronous,3,0.07309941520467836,0.010128952091046065,0.06140350877192982,0.07894736842105263,342,25,False
Gemma 4 2B,Stochastic,Uncertainty,Temporal.Synchrony,3,0.04093567251461988,0.01826022806549239,0.02631578947368421,0.06140350877192982,342,14,False
Gemma 4 2B,Greedy,Mechanical,Comparison.Contrast,1,0.4,,0.4,0.4,5,2,True
Gemma 4 2B,Greedy,Mechanical,Comparison.Concession,1,0.0,,0.0,0.0,5,0,True
Gemma 4 2B,Greedy,Mechanical,Contingency.Cause,1,0.4,,0.4,0.4,5,2,True
Gemma 4 2B,Greedy,Mechanical,Contingency.Condition,1,0.4,,0.4,0.4,5,2,True
Gemma 4 2B,Greedy,Mechanical,Expansion.Conjunction,1,0.4,,0.4,0.4,5,2,True
Gemma 4 2B,Greedy,Mechanical,Expansion.Alternative,1,0.0,,0.0,0.0,5,0,True
Gemma 4 2B,Greedy,Mechanical,Expansion.Restatement,1,0.0,,0.0,0.0,5,0,True
