model,decoding_group,semantic_category,discourse_relation,n_runs,mean_lift,sd_lift,min_lift,max_lift,mean_joint_prevalence,total_support,low_support_diagnostic
Gemma 4 2B,Stochastic,Mechanical,Comparison.Contrast,3,0.9492784470931713,0.43206592517114395,0.45047169811320753,1.2073324905183311,0.017452006980802792,10,True
Gemma 4 2B,Stochastic,Mechanical,Comparison.Concession,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,Mechanical,Contingency.Cause,3,1.3896877063425863,0.5410347451977364,0.8162393162393162,1.8910891089108914,0.022687609075043632,13,True
Gemma 4 2B,Stochastic,Mechanical,Contingency.Condition,3,2.124886904349147,0.6671809610353157,1.43609022556391,2.768115942028986,0.006980802792321117,4,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Conjunction,3,1.235436507936508,0.41562296910053054,0.757936507936508,1.515873015873016,0.017452006980802792,10,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Alternative,3,1.8190476190476195,3.150682897577673,0.0,5.457142857142858,0.0017452006980802793,1,True
Gemma 4 2B,Stochastic,Mechanical,Expansion.Restatement,3,,,,,0.0,0,True
Gemma 4 2B,Stochastic,Mechanical,Temporal.Asynchronous,3,1.7291385515069726,1.6780183390292776,0.0,3.3508771929824563,0.005235602094240839,3,True
Gemma 4 2B,Stochastic,Mechanical,Temporal.Synchrony,3,0.0,0.0,0.0,0.0,0.0,0,True
Gemma 4 2B,Stochastic,Testimony,Comparison.Contrast,3,0.9772555820842309,0.05441015723849731,0.9390363815142576,1.0395500725689404,0.29668411867364747,170,False
Gemma 4 2B,Stochastic,Testimony,Comparison.Concession,3,0.9396717988950999,0.927436701060917,0.0,1.854368932038835,0.008726003490401396,5,False
Gemma 4 2B,Stochastic,Testimony,Contingency.Cause,3,0.8514944885523082,0.1309330655869917,0.7091584158415841,0.966807733798025,0.26352530541012215,151,False
Gemma 4 2B,Stochastic,Testimony,Contingency.Condition,3,0.6119157167262075,0.11239795358500157,0.5008741258741258,0.7256226255804138,0.03664921465968587,21,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Conjunction,3,0.9797656954196867,0.058155464547653114,0.9432098765432098,1.046826923076923,0.2513089005235602,144,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Alternative,3,0.6887364433480938,0.2890153134281289,0.36730769230769234,0.9271844660194175,0.006980802792321117,4,False
Gemma 4 2B,Stochastic,Testimony,Expansion.Restatement,3,,,,,0.0,0,False
Gemma 4 2B,Stochastic,Testimony,Temporal.Asynchronous,3,1.375778871685086,0.1888566753291021,1.1711803781297905,1.5434343434343434,0.0837696335078534,48,False
Gemma 4 2B,Stochastic,Testimony,Temporal.Synchrony,3,1.371898946871978,0.13906541619422008,1.2243589743589745,1.5005611672278336,0.04013961605584642,23,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison.Contrast,3,0.997582021040229,0.02637670741700725,0.9675954231810638,1.0171941570298235,0.33682373472949384,193,False
Gemma 4 2B,Stochastic,SocialJudgment,Comparison.Concession,3,0.8054897898786623,0.7725883261828349,0.0,1.5403225806451613,0.005235602094240839,3,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency.Cause,3,0.8714287936159444,0.027512022536823146,0.8448558322411535,0.8997923985946982,0.29668411867364747,170,False
Gemma 4 2B,Stochastic,SocialJudgment,Contingency.Condition,3,0.636051096363597,0.33199863496874904,0.2766779333655239,0.9313287281592848,0.04363001745200698,25,False
