model,decoding_group,semantic_category,discourse_relation,n_runs,mean_localization_rate,sd_localization_rate,min_localization_rate,max_localization_rate,total_n_with_both,total_n_same_sentence
Gemma 4 2B,Stochastic,Mechanical,Comparison.Contrast,3,0.4666666666666666,0.5033222956847166,0.0,1.0,10,3
Gemma 4 2B,Stochastic,Mechanical,Comparison.Concession,3,,,,,0,0
Gemma 4 2B,Stochastic,Mechanical,Contingency.Cause,3,0.3055555555555555,0.0481125224324688,0.25,0.3333333333333333,13,4
Gemma 4 2B,Stochastic,Mechanical,Contingency.Condition,3,0.3333333333333333,0.5773502691896258,0.0,1.0,4,2
Gemma 4 2B,Stochastic,Mechanical,Expansion.Conjunction,3,0.7000000000000001,0.2645751311064591,0.5,1.0,10,7
Gemma 4 2B,Stochastic,Mechanical,Expansion.Alternative,3,0.0,,0.0,0.0,1,0
Gemma 4 2B,Stochastic,Mechanical,Expansion.Restatement,3,,,,,0,0
Gemma 4 2B,Stochastic,Mechanical,Temporal.Asynchronous,3,0.25,0.3535533905932738,0.0,0.5,3,1
Gemma 4 2B,Stochastic,Mechanical,Temporal.Synchrony,3,,,,,0,0
Gemma 4 2B,Stochastic,Testimony,Comparison.Contrast,3,0.6722222222222222,0.048963858537843886,0.6166666666666667,0.7090909090909091,170,114
Gemma 4 2B,Stochastic,Testimony,Comparison.Concession,3,1.0,0.0,1.0,1.0,5,5
Gemma 4 2B,Stochastic,Testimony,Contingency.Cause,3,0.22448878668743663,0.07910368583752642,0.1568627450980392,0.3114754098360656,151,35
Gemma 4 2B,Stochastic,Testimony,Contingency.Condition,3,0.12962962962962962,0.11564811108145182,0.0,0.2222222222222222,21,3
Gemma 4 2B,Stochastic,Testimony,Expansion.Conjunction,3,0.7920514817699641,0.020733644018632834,0.7727272727272727,0.813953488372093,144,114
Gemma 4 2B,Stochastic,Testimony,Expansion.Alternative,3,0.16666666666666666,0.2886751345948129,0.0,0.5,4,1
Gemma 4 2B,Stochastic,Testimony,Expansion.Restatement,3,,,,,0,0
Gemma 4 2B,Stochastic,Testimony,Temporal.Asynchronous,3,0.85,0.25980762113533157,0.55,1.0,48,39
Gemma 4 2B,Stochastic,Testimony,Temporal.Synchrony,3,0.8301587301587302,0.028703398920674757,0.8,0.8571428571428571,23,19
Gemma 4 2B,Stochastic,SocialJudgment,Comparison.Contrast,3,0.8317923455854491,0.08318711447756355,0.7428571428571429,0.9076923076923077,193,160
Gemma 4 2B,Stochastic,SocialJudgment,Comparison.Concession,3,1.0,0.0,1.0,1.0,3,3
Gemma 4 2B,Stochastic,SocialJudgment,Contingency.Cause,3,0.3834979790971465,0.05366491364367147,0.3220338983050847,0.42105263157894735,170,65
Gemma 4 2B,Stochastic,SocialJudgment,Contingency.Condition,3,0.26666666666666666,0.08819171036881969,0.16666666666666666,0.3333333333333333,25,6
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Conjunction,3,0.8002423469387755,0.06927225695667283,0.7551020408163265,0.88,163,130
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Alternative,3,0.16666666666666666,0.23570226039551584,0.0,0.3333333333333333,4,1
Gemma 4 2B,Stochastic,SocialJudgment,Expansion.Restatement,3,,,,,0,0
Gemma 4 2B,Stochastic,SocialJudgment,Temporal.Asynchronous,3,0.8547619047619047,0.07154752000627011,0.7857142857142857,0.9285714285714286,48,41
Gemma 4 2B,Stochastic,SocialJudgment,Temporal.Synchrony,3,0.8888888888888888,0.1924500897298753,0.6666666666666666,1.0,19,15
Gemma 4 2B,Stochastic,Behavioral,Comparison.Contrast,3,0.6681372549019607,0.18259195278710036,0.5294117647058824,0.875,48,32
Gemma 4 2B,Stochastic,Behavioral,Comparison.Concession,3,,,,,0,0
Gemma 4 2B,Stochastic,Behavioral,Contingency.Cause,3,0.33748473748473745,0.11716192275862736,0.23809523809523808,0.4666666666666667,49,16
Gemma 4 2B,Stochastic,Behavioral,Contingency.Condition,3,0.38888888888888884,0.3469443332443554,0.0,0.6666666666666666,8,3
Gemma 4 2B,Stochastic,Behavioral,Expansion.Conjunction,3,0.48416289592760187,0.15875841441492156,0.3076923076923077,0.6153846153846154,43,21
Gemma 4 2B,Stochastic,Behavioral,Expansion.Alternative,3,0.8333333333333333,0.23570226039551587,0.6666666666666666,1.0,4,3
Gemma 4 2B,Stochastic,Behavioral,Expansion.Restatement,3,,,,,0,0
Gemma 4 2B,Stochastic,Behavioral,Temporal.Asynchronous,3,0.7000000000000001,0.2645751311064591,0.5,1.0,10,6
Gemma 4 2B,Stochastic,Behavioral,Temporal.Synchrony,3,0.6666666666666666,0.33333333333333337,0.3333333333333333,1.0,9,6
Gemma 4 2B,Stochastic,ClaimComparison,Comparison.Contrast,3,0.7454545454545455,0.2211913647381171,0.6,1.0,25,17
Gemma 4 2B,Stochastic,ClaimComparison,Comparison.Concession,3,,,,,0,0
Gemma 4 2B,Stochastic,ClaimComparison,Contingency.Cause,3,0.18095238095238098,0.2027028252742168,0.0,0.4,22,3
Gemma 4 2B,Stochastic,ClaimComparison,Contingency.Condition,3,0.0,0.0,0.0,0.0,2,0
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Conjunction,3,0.6712962962962963,0.1985350152073293,0.5,0.8888888888888888,25,17
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Alternative,3,,,,,0,0
Gemma 4 2B,Stochastic,ClaimComparison,Expansion.Restatement,3,,,,,0,0
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Asynchronous,3,0.6984126984126983,0.14547859349066158,0.5714285714285714,0.8571428571428571,17,12
Gemma 4 2B,Stochastic,ClaimComparison,Temporal.Synchrony,3,1.0,0.0,1.0,1.0,5,5
Gemma 4 2B,Stochastic,Payoff,Comparison.Contrast,3,0.1468574582165805,0.01625697189749706,0.13402061855670103,0.1651376146788991,305,45
Gemma 4 2B,Stochastic,Payoff,Comparison.Concession,3,0.0,0.0,0.0,0.0,8,0
Gemma 4 2B,Stochastic,Payoff,Contingency.Cause,3,0.9334956975454235,0.008276034358937472,0.9247311827956989,0.9411764705882353,302,282
Gemma 4 2B,Stochastic,Payoff,Contingency.Condition,3,0.9218500797448166,0.050542111251964346,0.8636363636363636,0.9545454545454546,63,58
Gemma 4 2B,Stochastic,Payoff,Expansion.Conjunction,3,0.40935196834073234,0.08364510574210414,0.3146067415730337,0.47297297297297297,247,100
Gemma 4 2B,Stochastic,Payoff,Expansion.Alternative,3,0.5,0.5,0.0,1.0,8,3
Gemma 4 2B,Stochastic,Payoff,Expansion.Restatement,3,,,,,0,0
