model,category,n_mixed_games,n_games_category_in_correct_only,n_games_category_in_incorrect_only,mean_share_correct_runs,mean_share_incorrect_runs,delta_within,ci_low,ci_high,ci_excludes_zero,n_replicates,seed
Gemma 4 2B,Mechanical,65,1,2,0.015384615384615385,0.038461538461538464,-0.023076923076923078,-0.06923076923076923,0.007884615384612586,False,10000,20260826
Gemma 4 2B,Testimony,65,16,14,0.5307692307692308,0.45384615384615384,0.07692307692307693,-0.06153846153846154,0.2153846153846154,False,10000,20260826
Gemma 4 2B,SocialJudgment,65,13,10,0.6384615384615384,0.5615384615384615,0.07692307692307693,-0.06153846153846154,0.2153846153846154,False,10000,20260826
Gemma 4 2B,Behavioral,65,11,16,0.16923076923076924,0.23846153846153847,-0.06923076923076923,-0.18461538461538463,0.05384615384615385,False,10000,20260826
Gemma 4 2B,ClaimComparison,65,9,8,0.08461538461538462,0.1,-0.015384615384615385,-0.1076923076923077,0.07692307692307693,False,10000,20260826
Gemma 4 2B,Payoff,65,6,5,0.8923076923076924,0.8384615384615385,0.05384615384615385,-0.046153846153846156,0.15384615384615385,False,10000,20260826
Gemma 4 2B,Uncertainty,65,8,16,0.5846153846153846,0.7153846153846154,-0.13076923076923078,-0.27692307692307694,0.023076923076923078,False,10000,20260826
Gemma 4 4B,Mechanical,52,5,2,0.08653846153846154,0.057692307692307696,0.028846153846153848,-0.038461538461538464,0.10576923076923077,False,10000,20260826
Gemma 4 4B,Testimony,52,9,9,0.7692307692307693,0.7403846153846154,0.028846153846153848,-0.125,0.19230769230769232,False,10000,20260826
Gemma 4 4B,SocialJudgment,52,13,8,0.5288461538461539,0.375,0.15384615384615385,0.0,0.3076923076923077,False,10000,20260826
Gemma 4 4B,Behavioral,52,11,15,0.5769230769230769,0.6538461538461539,-0.07692307692307693,-0.25,0.09615384615384616,False,10000,20260826
Gemma 4 4B,ClaimComparison,52,8,13,0.20192307692307693,0.23076923076923078,-0.028846153846153848,-0.16346153846153846,0.10576923076923077,False,10000,20260826
Gemma 4 4B,Payoff,52,6,7,0.7211538461538461,0.7307692307692307,-0.009615384615384616,-0.15384615384615385,0.12524038461538112,False,10000,20260826
Gemma 4 4B,Uncertainty,52,11,11,0.5096153846153846,0.4519230769230769,0.057692307692307696,-0.09615384615384616,0.22115384615384615,False,10000,20260826
Gemma 4 31B,Mechanical,49,7,14,0.5204081632653061,0.6020408163265306,-0.08163265306122448,-0.25510204081632654,0.09183673469387756,False,10000,20260826
Gemma 4 31B,Testimony,49,0,0,1.0,0.9897959183673469,0.01020408163265306,0.0,0.030612244897959183,False,10000,20260826
Gemma 4 31B,SocialJudgment,49,14,8,0.32653061224489793,0.21428571428571427,0.11224489795918367,-0.04081632653061224,0.2553571428571392,False,10000,20260826
Gemma 4 31B,Behavioral,49,6,12,0.6122448979591837,0.7244897959183674,-0.11224489795918367,-0.2653061224489796,0.04081632653061224,False,10000,20260826
Gemma 4 31B,ClaimComparison,49,8,9,0.5714285714285714,0.5816326530612245,-0.01020408163265306,-0.15306122448979592,0.14285714285714285,False,10000,20260826
Gemma 4 31B,Payoff,49,4,10,0.25510204081632654,0.32653061224489793,-0.07142857142857142,-0.20408163265306123,0.061224489795918366,False,10000,20260826
Gemma 4 31B,Uncertainty,49,8,8,0.16326530612244897,0.14285714285714285,0.02040816326530612,-0.10204081632653061,0.14285714285714285,False,10000,20260826
