model,decoding_group,category,is_substantive,n_runs,prevalence_mean,prevalence_sd,prevalence_min,prevalence_max,n_present_mean
Gemma 4 2B,Stochastic,Mechanical,True,3,0.029668411867364745,0.00799751430184265,0.020942408376963352,0.03664921465968586,5.666666666666667
Gemma 4 2B,Stochastic,Testimony,True,3,0.5340314136125655,0.013852101105050184,0.518324607329843,0.5445026178010471,102.0
Gemma 4 2B,Stochastic,SocialJudgment,True,3,0.5933682373472949,0.04864698033077263,0.5602094240837696,0.6492146596858639,113.33333333333333
Gemma 4 2B,Stochastic,Behavioral,True,3,0.1675392670157068,0.009068328835439142,0.16230366492146597,0.17801047120418848,32.0
Gemma 4 2B,Stochastic,ClaimComparison,True,3,0.07853403141361257,0.010471204188481673,0.06806282722513089,0.08900523560209424,15.0
Gemma 4 2B,Stochastic,Payoff,True,3,0.9092495636998255,0.019821669618849125,0.8952879581151832,0.9319371727748691,173.66666666666666
Gemma 4 2B,Stochastic,Uncertainty,True,3,0.5968586387434555,0.0,0.5968586387434555,0.5968586387434555,114.0
Gemma 4 2B,Stochastic,Other,False,3,0.005235602094240837,0.009068328835439149,0.0,0.015706806282722512,1.0
Gemma 4 2B,Greedy,Mechanical,True,1,0.02617801047120419,,0.02617801047120419,0.02617801047120419,5.0
Gemma 4 2B,Greedy,Testimony,True,1,0.5445026178010471,,0.5445026178010471,0.5445026178010471,104.0
Gemma 4 2B,Greedy,SocialJudgment,True,1,0.5078534031413613,,0.5078534031413613,0.5078534031413613,97.0
Gemma 4 2B,Greedy,Behavioral,True,1,0.17801047120418848,,0.17801047120418848,0.17801047120418848,34.0
Gemma 4 2B,Greedy,ClaimComparison,True,1,0.07853403141361257,,0.07853403141361257,0.07853403141361257,15.0
Gemma 4 2B,Greedy,Payoff,True,1,0.900523560209424,,0.900523560209424,0.900523560209424,172.0
Gemma 4 2B,Greedy,Uncertainty,True,1,0.6387434554973822,,0.6387434554973822,0.6387434554973822,122.0
Gemma 4 2B,Greedy,Other,False,1,0.010471204188481676,,0.010471204188481676,0.010471204188481676,2.0
Gemma 4 4B,Stochastic,Mechanical,True,3,0.06980802792321117,0.007997514301842654,0.06282722513089005,0.07853403141361257,13.333333333333334
Gemma 4 4B,Stochastic,Testimony,True,3,0.7539267015706805,0.018877231808712036,0.7382198952879581,0.774869109947644,144.0
Gemma 4 4B,Stochastic,SocialJudgment,True,3,0.56195462478185,0.015995028603685322,0.5445026178010471,0.5759162303664922,107.33333333333333
