model,decoding_group,category,n_runs,density_mean,density_sd
Gemma 4 2B,Stochastic,Mechanical,3,0.9961671030072123,0.16921908317113965
Gemma 4 2B,Stochastic,Testimony,3,24.51010559220349,1.428615798676021
Gemma 4 2B,Stochastic,SocialJudgment,3,31.441246644625355,3.152369816511475
Gemma 4 2B,Stochastic,Behavioral,3,6.418380937824119,0.6982398939688955
Gemma 4 2B,Stochastic,ClaimComparison,3,2.819387456924746,0.6482318991951335
Gemma 4 2B,Stochastic,Payoff,3,33.020344001914886,1.0748969555254446
Gemma 4 2B,Stochastic,Uncertainty,3,32.538998578837436,1.7716181314689277
Gemma 4 2B,Greedy,Mechanical,1,0.8347245409015025,
Gemma 4 2B,Greedy,Testimony,1,26.21035058430718,
Gemma 4 2B,Greedy,SocialJudgment,1,27.04507512520868,
Gemma 4 2B,Greedy,Behavioral,1,7.345575959933222,
Gemma 4 2B,Greedy,ClaimComparison,1,2.671118530884808,
Gemma 4 2B,Greedy,Payoff,1,31.552587646076795,
Gemma 4 2B,Greedy,Uncertainty,1,34.0567612687813,
Gemma 4 4B,Stochastic,Mechanical,3,2.058298911143621,0.39371394021838557
Gemma 4 4B,Stochastic,Testimony,3,32.741270614925334,0.657779717729373
Gemma 4 4B,Stochastic,SocialJudgment,3,31.275807671777315,1.842306583201066
Gemma 4 4B,Stochastic,Behavioral,3,29.549039460432365,0.25458835039122474
Gemma 4 4B,Stochastic,ClaimComparison,3,7.308336694838037,0.3369126142248513
Gemma 4 4B,Stochastic,Payoff,3,21.475724391376062,0.37975609832408486
Gemma 4 4B,Stochastic,Uncertainty,3,15.130799774768022,1.8421226325299722
Gemma 4 4B,Greedy,Mechanical,1,1.8469656992084433,
Gemma 4 4B,Greedy,Testimony,1,30.07915567282322,
Gemma 4 4B,Greedy,SocialJudgment,1,30.606860158311346,
Gemma 4 4B,Greedy,Behavioral,1,23.350923482849606,
Gemma 4 4B,Greedy,ClaimComparison,1,8.839050131926122,
Gemma 4 4B,Greedy,Payoff,1,19.92084432717678,
Gemma 4 4B,Greedy,Uncertainty,1,15.435356200527705,
Gemma 4 31B,Stochastic,Mechanical,3,18.60692433559002,0.7923647603472745
Gemma 4 31B,Stochastic,Testimony,3,67.19901317078923,1.0302912830149074
Gemma 4 31B,Stochastic,SocialJudgment,3,11.078925841549355,1.1498064823808727
Gemma 4 31B,Stochastic,Behavioral,3,26.33218902192724,0.8913061416566304
Gemma 4 31B,Stochastic,ClaimComparison,3,24.477577443418784,1.7341363039704474
Gemma 4 31B,Stochastic,Payoff,3,8.632283078996993,1.6947094471074897
Gemma 4 31B,Stochastic,Uncertainty,3,3.3088003282955394,0.6473341777386685
Gemma 4 31B,Greedy,Mechanical,1,19.389312977099237,
Gemma 4 31B,Greedy,Testimony,1,66.7175572519084,
Gemma 4 31B,Greedy,SocialJudgment,1,10.687022900763358,
Gemma 4 31B,Greedy,Behavioral,1,25.801526717557252,
Gemma 4 31B,Greedy,ClaimComparison,1,25.954198473282442,
Gemma 4 31B,Greedy,Payoff,1,9.465648854961833,
Gemma 4 31B,Greedy,Uncertainty,1,2.4427480916030535,
