model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,joint_prevalence_sd,prevalence_a_mean,prevalence_b_mean
Gemma 4 2B,Stochastic,Behavioral,Behavioral,True,3,32.0,96,0.1675392670157068,0.009068328835439142,0.1675392670157068,0.1675392670157068
Gemma 4 2B,Stochastic,Behavioral,ClaimComparison,False,3,3.3333333333333335,10,0.017452006980802792,0.006045552556959433,0.1675392670157068,0.07853403141361257
Gemma 4 2B,Stochastic,Behavioral,Mechanical,False,3,1.0,3,0.005235602094240839,1.0622968402425924e-18,0.1675392670157068,0.029668411867364745
Gemma 4 2B,Stochastic,Behavioral,Payoff,False,3,28.0,84,0.14659685863874347,0.013852101105050212,0.1675392670157068,0.9092495636998255
Gemma 4 2B,Stochastic,Behavioral,SocialJudgment,False,3,16.666666666666668,50,0.08726003490401396,0.007997514301842654,0.1675392670157068,0.5933682373472949
Gemma 4 2B,Stochastic,Behavioral,Testimony,False,3,14.666666666666666,44,0.07678883071553229,0.013175976326825043,0.1675392670157068,0.5340314136125655
Gemma 4 2B,Stochastic,Behavioral,Uncertainty,False,3,21.333333333333332,64,0.11169284467713787,0.019821669618849125,0.1675392670157068,0.5968586387434555
Gemma 4 2B,Stochastic,ClaimComparison,Behavioral,False,3,3.3333333333333335,10,0.017452006980802792,0.006045552556959433,0.07853403141361257,0.1675392670157068
Gemma 4 2B,Stochastic,ClaimComparison,ClaimComparison,True,3,15.0,45,0.07853403141361257,0.010471204188481673,0.07853403141361257,0.07853403141361257
Gemma 4 2B,Stochastic,ClaimComparison,Mechanical,False,3,0.3333333333333333,1,0.0017452006980802793,0.0030227762784797163,0.07853403141361257,0.029668411867364745
Gemma 4 2B,Stochastic,ClaimComparison,Payoff,False,3,12.333333333333334,37,0.06457242582897033,0.00799751430184265,0.07853403141361257,0.9092495636998255
Gemma 4 2B,Stochastic,ClaimComparison,SocialJudgment,False,3,6.666666666666667,20,0.034904013961605584,0.021159433949358014,0.07853403141361257,0.5933682373472949
Gemma 4 2B,Stochastic,ClaimComparison,Testimony,False,3,14.666666666666666,44,0.07678883071553229,0.007997514301842654,0.07853403141361257,0.5340314136125655
Gemma 4 2B,Stochastic,ClaimComparison,Uncertainty,False,3,7.666666666666667,23,0.04013961605584642,0.010898774866314832,0.07853403141361257,0.5968586387434555
Gemma 4 2B,Stochastic,Mechanical,Behavioral,False,3,1.0,3,0.005235602094240839,1.0622968402425924e-18,0.029668411867364745,0.1675392670157068
Gemma 4 2B,Stochastic,Mechanical,ClaimComparison,False,3,0.3333333333333333,1,0.0017452006980802793,0.0030227762784797163,0.029668411867364745,0.07853403141361257
Gemma 4 2B,Stochastic,Mechanical,Mechanical,True,3,5.666666666666667,17,0.029668411867364745,0.00799751430184265,0.029668411867364745,0.029668411867364745
Gemma 4 2B,Stochastic,Mechanical,Payoff,False,3,5.0,15,0.02617801047120419,0.010471204188481674,0.029668411867364745,0.9092495636998255
Gemma 4 2B,Stochastic,Mechanical,SocialJudgment,False,3,2.0,6,0.010471204188481674,0.005235602094240837,0.029668411867364745,0.5933682373472949
Gemma 4 2B,Stochastic,Mechanical,Testimony,False,3,4.333333333333333,13,0.022687609075043632,0.0030227762784797154,0.029668411867364745,0.5340314136125655
Gemma 4 2B,Stochastic,Mechanical,Uncertainty,False,3,2.3333333333333335,7,0.012216404886561954,0.003022776278479715,0.029668411867364745,0.5968586387434555
Gemma 4 2B,Stochastic,Payoff,Behavioral,False,3,28.0,84,0.14659685863874347,0.013852101105050212,0.9092495636998255,0.1675392670157068
Gemma 4 2B,Stochastic,Payoff,ClaimComparison,False,3,12.333333333333334,37,0.06457242582897033,0.00799751430184265,0.9092495636998255,0.07853403141361257
Gemma 4 2B,Stochastic,Payoff,Mechanical,False,3,5.0,15,0.02617801047120419,0.010471204188481674,0.9092495636998255,0.029668411867364745
Gemma 4 2B,Stochastic,Payoff,Payoff,True,3,173.66666666666666,521,0.9092495636998255,0.019821669618849125,0.9092495636998255,0.9092495636998255
Gemma 4 2B,Stochastic,Payoff,SocialJudgment,False,3,106.33333333333333,319,0.5567190226876091,0.03929609162023626,0.9092495636998255,0.5933682373472949
Gemma 4 2B,Stochastic,Payoff,Testimony,False,3,93.33333333333333,280,0.4886561954624782,0.006045552556959439,0.9092495636998255,0.5340314136125655
Gemma 4 2B,Stochastic,Payoff,Uncertainty,False,3,101.33333333333333,304,0.5305410122164048,0.010898774866314789,0.9092495636998255,0.5968586387434555
Gemma 4 2B,Stochastic,SocialJudgment,Behavioral,False,3,16.666666666666668,50,0.08726003490401396,0.007997514301842654,0.5933682373472949,0.1675392670157068
Gemma 4 2B,Stochastic,SocialJudgment,ClaimComparison,False,3,6.666666666666667,20,0.034904013961605584,0.021159433949358014,0.5933682373472949,0.07853403141361257
Gemma 4 2B,Stochastic,SocialJudgment,Mechanical,False,3,2.0,6,0.010471204188481674,0.005235602094240837,0.5933682373472949,0.029668411867364745
Gemma 4 2B,Stochastic,SocialJudgment,Payoff,False,3,106.33333333333333,319,0.5567190226876091,0.03929609162023626,0.5933682373472949,0.9092495636998255
Gemma 4 2B,Stochastic,SocialJudgment,SocialJudgment,True,3,113.33333333333333,340,0.5933682373472949,0.04864698033077263,0.5933682373472949,0.5933682373472949
Gemma 4 2B,Stochastic,SocialJudgment,Testimony,False,3,56.333333333333336,169,0.2949389179755672,0.04390836169427267,0.5933682373472949,0.5340314136125655
Gemma 4 2B,Stochastic,SocialJudgment,Uncertainty,False,3,57.666666666666664,173,0.3019197207678883,0.021159433949358007,0.5933682373472949,0.5968586387434555
Gemma 4 2B,Stochastic,Testimony,Behavioral,False,3,14.666666666666666,44,0.07678883071553229,0.013175976326825043,0.5340314136125655,0.1675392670157068
Gemma 4 2B,Stochastic,Testimony,ClaimComparison,False,3,14.666666666666666,44,0.07678883071553229,0.007997514301842654,0.5340314136125655,0.07853403141361257
Gemma 4 2B,Stochastic,Testimony,Mechanical,False,3,4.333333333333333,13,0.022687609075043632,0.0030227762784797154,0.5340314136125655,0.029668411867364745
Gemma 4 2B,Stochastic,Testimony,Payoff,False,3,93.33333333333333,280,0.4886561954624782,0.006045552556959439,0.5340314136125655,0.9092495636998255
Gemma 4 2B,Stochastic,Testimony,SocialJudgment,False,3,56.333333333333336,169,0.2949389179755672,0.04390836169427267,0.5340314136125655,0.5933682373472949
Gemma 4 2B,Stochastic,Testimony,Testimony,True,3,102.0,306,0.5340314136125655,0.013852101105050184,0.5340314136125655,0.5340314136125655
Gemma 4 2B,Stochastic,Testimony,Uncertainty,False,3,47.333333333333336,142,0.24781849912739964,0.03155871085519219,0.5340314136125655,0.5968586387434555
Gemma 4 2B,Stochastic,Uncertainty,Behavioral,False,3,21.333333333333332,64,0.11169284467713787,0.019821669618849125,0.5968586387434555,0.1675392670157068
Gemma 4 2B,Stochastic,Uncertainty,ClaimComparison,False,3,7.666666666666667,23,0.04013961605584642,0.010898774866314832,0.5968586387434555,0.07853403141361257
Gemma 4 2B,Stochastic,Uncertainty,Mechanical,False,3,2.3333333333333335,7,0.012216404886561954,0.003022776278479715,0.5968586387434555,0.029668411867364745
Gemma 4 2B,Stochastic,Uncertainty,Payoff,False,3,101.33333333333333,304,0.5305410122164048,0.010898774866314789,0.5968586387434555,0.9092495636998255
Gemma 4 2B,Stochastic,Uncertainty,SocialJudgment,False,3,57.666666666666664,173,0.3019197207678883,0.021159433949358007,0.5968586387434555,0.5933682373472949
Gemma 4 2B,Stochastic,Uncertainty,Testimony,False,3,47.333333333333336,142,0.24781849912739964,0.03155871085519219,0.5968586387434555,0.5340314136125655
Gemma 4 2B,Stochastic,Uncertainty,Uncertainty,True,3,114.0,342,0.5968586387434555,0.0,0.5968586387434555,0.5968586387434555
Gemma 4 2B,Greedy,Behavioral,Behavioral,True,1,34.0,34,0.17801047120418848,,0.17801047120418848,0.17801047120418848
Gemma 4 2B,Greedy,Behavioral,ClaimComparison,False,1,2.0,2,0.010471204188481676,,0.17801047120418848,0.07853403141361257
Gemma 4 2B,Greedy,Behavioral,Mechanical,False,1,2.0,2,0.010471204188481676,,0.17801047120418848,0.02617801047120419
Gemma 4 2B,Greedy,Behavioral,Payoff,False,1,31.0,31,0.16230366492146597,,0.17801047120418848,0.900523560209424
Gemma 4 2B,Greedy,Behavioral,SocialJudgment,False,1,14.0,14,0.07329842931937172,,0.17801047120418848,0.5078534031413613
Gemma 4 2B,Greedy,Behavioral,Testimony,False,1,20.0,20,0.10471204188481675,,0.17801047120418848,0.5445026178010471
Gemma 4 2B,Greedy,Behavioral,Uncertainty,False,1,21.0,21,0.1099476439790576,,0.17801047120418848,0.6387434554973822
Gemma 4 2B,Greedy,ClaimComparison,Behavioral,False,1,2.0,2,0.010471204188481676,,0.07853403141361257,0.17801047120418848
Gemma 4 2B,Greedy,ClaimComparison,ClaimComparison,True,1,15.0,15,0.07853403141361257,,0.07853403141361257,0.07853403141361257
Gemma 4 2B,Greedy,ClaimComparison,Mechanical,False,1,0.0,0,0.0,,0.07853403141361257,0.02617801047120419
Gemma 4 2B,Greedy,ClaimComparison,Payoff,False,1,15.0,15,0.07853403141361257,,0.07853403141361257,0.900523560209424
Gemma 4 2B,Greedy,ClaimComparison,SocialJudgment,False,1,7.0,7,0.03664921465968586,,0.07853403141361257,0.5078534031413613
Gemma 4 2B,Greedy,ClaimComparison,Testimony,False,1,15.0,15,0.07853403141361257,,0.07853403141361257,0.5445026178010471
Gemma 4 2B,Greedy,ClaimComparison,Uncertainty,False,1,7.0,7,0.03664921465968586,,0.07853403141361257,0.6387434554973822
Gemma 4 2B,Greedy,Mechanical,Behavioral,False,1,2.0,2,0.010471204188481676,,0.02617801047120419,0.17801047120418848
Gemma 4 2B,Greedy,Mechanical,ClaimComparison,False,1,0.0,0,0.0,,0.02617801047120419,0.07853403141361257
Gemma 4 2B,Greedy,Mechanical,Mechanical,True,1,5.0,5,0.02617801047120419,,0.02617801047120419,0.02617801047120419
Gemma 4 2B,Greedy,Mechanical,Payoff,False,1,5.0,5,0.02617801047120419,,0.02617801047120419,0.900523560209424
Gemma 4 2B,Greedy,Mechanical,SocialJudgment,False,1,2.0,2,0.010471204188481676,,0.02617801047120419,0.5078534031413613
Gemma 4 2B,Greedy,Mechanical,Testimony,False,1,5.0,5,0.02617801047120419,,0.02617801047120419,0.5445026178010471
Gemma 4 2B,Greedy,Mechanical,Uncertainty,False,1,1.0,1,0.005235602094240838,,0.02617801047120419,0.6387434554973822
Gemma 4 2B,Greedy,Payoff,Behavioral,False,1,31.0,31,0.16230366492146597,,0.900523560209424,0.17801047120418848
Gemma 4 2B,Greedy,Payoff,ClaimComparison,False,1,15.0,15,0.07853403141361257,,0.900523560209424,0.07853403141361257
Gemma 4 2B,Greedy,Payoff,Mechanical,False,1,5.0,5,0.02617801047120419,,0.900523560209424,0.02617801047120419
