model,decoding_group,run_label,category_a,category_b,is_diagonal,n_justifications,support,joint_prevalence,prevalence_a,prevalence_b,lift
Gemma 4 2B,Stochastic,run_1,Mechanical,Mechanical,True,191,4,0.020942408376963352,0.020942408376963352,0.020942408376963352,
Gemma 4 2B,Stochastic,run_1,Mechanical,Testimony,False,191,4,0.020942408376963352,0.020942408376963352,0.5445026178010471,1.8365384615384615
Gemma 4 2B,Stochastic,run_1,Mechanical,SocialJudgment,False,191,1,0.005235602094240838,0.020942408376963352,0.6492146596858639,0.3850806451612903
Gemma 4 2B,Stochastic,run_1,Mechanical,Behavioral,False,191,1,0.005235602094240838,0.020942408376963352,0.16230366492146597,1.5403225806451613
Gemma 4 2B,Stochastic,run_1,Mechanical,ClaimComparison,False,191,0,0.0,0.020942408376963352,0.08900523560209424,0.0
Gemma 4 2B,Stochastic,run_1,Mechanical,Payoff,False,191,3,0.015706806282722512,0.020942408376963352,0.8952879581151832,0.837719298245614
Gemma 4 2B,Stochastic,run_1,Mechanical,Uncertainty,False,191,2,0.010471204188481676,0.020942408376963352,0.5968586387434555,0.8377192982456141
Gemma 4 2B,Stochastic,run_1,Testimony,Mechanical,False,191,4,0.020942408376963352,0.5445026178010471,0.020942408376963352,1.8365384615384615
Gemma 4 2B,Stochastic,run_1,Testimony,Testimony,True,191,104,0.5445026178010471,0.5445026178010471,0.5445026178010471,
Gemma 4 2B,Stochastic,run_1,Testimony,SocialJudgment,False,191,66,0.34554973821989526,0.5445026178010471,0.6492146596858639,0.9775124069478908
Gemma 4 2B,Stochastic,run_1,Testimony,Behavioral,False,191,17,0.08900523560209424,0.5445026178010471,0.16230366492146597,1.007133995037221
Gemma 4 2B,Stochastic,run_1,Testimony,ClaimComparison,False,191,16,0.08376963350785341,0.5445026178010471,0.08900523560209424,1.7285067873303168
Gemma 4 2B,Stochastic,run_1,Testimony,Payoff,False,191,92,0.4816753926701571,0.5445026178010471,0.8952879581151832,0.9880791722896985
Gemma 4 2B,Stochastic,run_1,Testimony,Uncertainty,False,191,53,0.2774869109947644,0.5445026178010471,0.5968586387434555,0.8538292847503375
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Mechanical,False,191,1,0.005235602094240838,0.6492146596858639,0.020942408376963352,0.3850806451612903
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Testimony,False,191,66,0.34554973821989526,0.6492146596858639,0.5445026178010471,0.9775124069478908
Gemma 4 2B,Stochastic,run_1,SocialJudgment,SocialJudgment,True,191,124,0.6492146596858639,0.6492146596858639,0.6492146596858639,
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Behavioral,False,191,17,0.08900523560209424,0.6492146596858639,0.16230366492146597,0.8446930280957335
Gemma 4 2B,Stochastic,run_1,SocialJudgment,ClaimComparison,False,191,11,0.05759162303664921,0.6492146596858639,0.08900523560209424,0.9966793168880455
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Payoff,False,191,114,0.5968586387434555,0.6492146596858639,0.8952879581151832,1.0268817204301073
Gemma 4 2B,Stochastic,run_1,SocialJudgment,Uncertainty,False,191,62,0.32460732984293195,0.6492146596858639,0.5968586387434555,0.8377192982456141
Gemma 4 2B,Stochastic,run_1,Behavioral,Mechanical,False,191,1,0.005235602094240838,0.16230366492146597,0.020942408376963352,1.5403225806451613
Gemma 4 2B,Stochastic,run_1,Behavioral,Testimony,False,191,17,0.08900523560209424,0.16230366492146597,0.5445026178010471,1.007133995037221
Gemma 4 2B,Stochastic,run_1,Behavioral,SocialJudgment,False,191,17,0.08900523560209424,0.16230366492146597,0.6492146596858639,0.8446930280957335
Gemma 4 2B,Stochastic,run_1,Behavioral,Behavioral,True,191,31,0.16230366492146597,0.16230366492146597,0.16230366492146597,
Gemma 4 2B,Stochastic,run_1,Behavioral,ClaimComparison,False,191,4,0.020942408376963352,0.16230366492146597,0.08900523560209424,1.4497153700189753
Gemma 4 2B,Stochastic,run_1,Behavioral,Payoff,False,191,25,0.13089005235602094,0.16230366492146597,0.8952879581151832,0.9007734389737785
Gemma 4 2B,Stochastic,run_1,Behavioral,Uncertainty,False,191,23,0.12041884816753927,0.16230366492146597,0.5968586387434555,1.2430673457838144
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Mechanical,False,191,0,0.0,0.08900523560209424,0.020942408376963352,0.0
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Testimony,False,191,16,0.08376963350785341,0.08900523560209424,0.5445026178010471,1.7285067873303168
Gemma 4 2B,Stochastic,run_1,ClaimComparison,SocialJudgment,False,191,11,0.05759162303664921,0.08900523560209424,0.6492146596858639,0.9966793168880455
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Behavioral,False,191,4,0.020942408376963352,0.08900523560209424,0.16230366492146597,1.4497153700189753
Gemma 4 2B,Stochastic,run_1,ClaimComparison,ClaimComparison,True,191,17,0.08900523560209424,0.08900523560209424,0.08900523560209424,
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Payoff,False,191,14,0.07329842931937172,0.08900523560209424,0.8952879581151832,0.9198486412108703
Gemma 4 2B,Stochastic,run_1,ClaimComparison,Uncertainty,False,191,10,0.05235602094240838,0.08900523560209424,0.5968586387434555,0.9855521155830754
Gemma 4 2B,Stochastic,run_1,Payoff,Mechanical,False,191,3,0.015706806282722512,0.8952879581151832,0.020942408376963352,0.837719298245614
Gemma 4 2B,Stochastic,run_1,Payoff,Testimony,False,191,92,0.4816753926701571,0.8952879581151832,0.5445026178010471,0.9880791722896985
Gemma 4 2B,Stochastic,run_1,Payoff,SocialJudgment,False,191,114,0.5968586387434555,0.8952879581151832,0.6492146596858639,1.0268817204301073
Gemma 4 2B,Stochastic,run_1,Payoff,Behavioral,False,191,25,0.13089005235602094,0.8952879581151832,0.16230366492146597,0.9007734389737785
Gemma 4 2B,Stochastic,run_1,Payoff,ClaimComparison,False,191,14,0.07329842931937172,0.8952879581151832,0.08900523560209424,0.9198486412108703
Gemma 4 2B,Stochastic,run_1,Payoff,Payoff,True,191,171,0.8952879581151832,0.8952879581151832,0.8952879581151832,
Gemma 4 2B,Stochastic,run_1,Payoff,Uncertainty,False,191,99,0.518324607329843,0.8952879581151832,0.5968586387434555,0.9699907663896584
Gemma 4 2B,Stochastic,run_1,Uncertainty,Mechanical,False,191,2,0.010471204188481676,0.5968586387434555,0.020942408376963352,0.8377192982456141
Gemma 4 2B,Stochastic,run_1,Uncertainty,Testimony,False,191,53,0.2774869109947644,0.5968586387434555,0.5445026178010471,0.8538292847503375
Gemma 4 2B,Stochastic,run_1,Uncertainty,SocialJudgment,False,191,62,0.32460732984293195,0.5968586387434555,0.6492146596858639,0.8377192982456141
Gemma 4 2B,Stochastic,run_1,Uncertainty,Behavioral,False,191,23,0.12041884816753927,0.5968586387434555,0.16230366492146597,1.2430673457838144
Gemma 4 2B,Stochastic,run_1,Uncertainty,ClaimComparison,False,191,10,0.05235602094240838,0.5968586387434555,0.08900523560209424,0.9855521155830754
Gemma 4 2B,Stochastic,run_1,Uncertainty,Payoff,False,191,99,0.518324607329843,0.5968586387434555,0.8952879581151832,0.9699907663896584
Gemma 4 2B,Stochastic,run_1,Uncertainty,Uncertainty,True,191,114,0.5968586387434555,0.5968586387434555,0.5968586387434555,
Gemma 4 2B,Stochastic,run_2,Mechanical,Mechanical,True,191,7,0.03664921465968586,0.03664921465968586,0.03664921465968586,
Gemma 4 2B,Stochastic,run_2,Mechanical,Testimony,False,191,5,0.02617801047120419,0.03664921465968586,0.518324607329843,1.378066378066378
Gemma 4 2B,Stochastic,run_2,Mechanical,SocialJudgment,False,191,3,0.015706806282722512,0.03664921465968586,0.5706806282722513,0.7509829619921363
Gemma 4 2B,Stochastic,run_2,Mechanical,Behavioral,False,191,1,0.005235602094240838,0.03664921465968586,0.16230366492146597,0.8801843317972352
Gemma 4 2B,Stochastic,run_2,Mechanical,ClaimComparison,False,191,1,0.005235602094240838,0.03664921465968586,0.06806282722513089,2.098901098901099
Gemma 4 2B,Stochastic,run_2,Mechanical,Payoff,False,191,7,0.03664921465968586,0.03664921465968586,0.9319371727748691,1.0730337078651686
Gemma 4 2B,Stochastic,run_2,Mechanical,Uncertainty,False,191,2,0.010471204188481676,0.03664921465968586,0.5968586387434555,0.4786967418546367
Gemma 4 2B,Stochastic,run_2,Testimony,Mechanical,False,191,5,0.02617801047120419,0.518324607329843,0.03664921465968586,1.378066378066378
Gemma 4 2B,Stochastic,run_2,Testimony,Testimony,True,191,99,0.518324607329843,0.518324607329843,0.518324607329843,
Gemma 4 2B,Stochastic,run_2,Testimony,SocialJudgment,False,191,52,0.27225130890052357,0.518324607329843,0.5706806282722513,0.9203966268186452
Gemma 4 2B,Stochastic,run_2,Testimony,Behavioral,False,191,12,0.06282722513089005,0.518324607329843,0.16230366492146597,0.7468230694037145
Gemma 4 2B,Stochastic,run_2,Testimony,ClaimComparison,False,191,13,0.06806282722513089,0.518324607329843,0.06806282722513089,1.9292929292929293
Gemma 4 2B,Stochastic,run_2,Testimony,Payoff,False,191,94,0.49214659685863876,0.518324607329843,0.9319371727748691,1.0188400862558165
Gemma 4 2B,Stochastic,run_2,Testimony,Uncertainty,False,191,41,0.21465968586387435,0.518324607329843,0.5968586387434555,0.6938685096579833
Gemma 4 2B,Stochastic,run_2,SocialJudgment,Mechanical,False,191,3,0.015706806282722512,0.5706806282722513,0.03664921465968586,0.7509829619921363
