model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,lift_mean,lift_sd
Gemma 4 2B,Stochastic,Behavioral,Behavioral,True,3,32.0,96,0.1675392670157068,,
Gemma 4 2B,Stochastic,Behavioral,ClaimComparison,False,3,3.3333333333333335,10,0.017452006980802792,1.298548468187937,0.3046381276037555
Gemma 4 2B,Stochastic,Behavioral,Mechanical,False,3,1.0,3,0.005235602094240839,1.1189271407487726,0.36601518355296214
Gemma 4 2B,Stochastic,Behavioral,Payoff,False,3,28.0,84,0.14659685863874347,0.9614671090363548,0.05391283743462214
Gemma 4 2B,Stochastic,Behavioral,SocialJudgment,False,3,16.666666666666668,50,0.08726003490401396,0.8792005854364012,0.05702771203210504
Gemma 4 2B,Stochastic,Behavioral,Testimony,False,3,14.666666666666666,44,0.07678883071553229,0.857353668348768,0.13452081752275916
Gemma 4 2B,Stochastic,Behavioral,Uncertainty,False,3,21.333333333333332,64,0.11169284467713787,1.1259667987172233,0.2510880715120141
Gemma 4 2B,Stochastic,ClaimComparison,Behavioral,False,3,3.3333333333333335,10,0.017452006980802792,1.298548468187937,0.3046381276037555
Gemma 4 2B,Stochastic,ClaimComparison,ClaimComparison,True,3,15.0,45,0.07853403141361257,,
Gemma 4 2B,Stochastic,ClaimComparison,Mechanical,False,3,0.3333333333333333,1,0.0017452006980802793,0.6996336996336997,1.2118011144529508
Gemma 4 2B,Stochastic,ClaimComparison,Payoff,False,3,12.333333333333334,37,0.06457242582897033,0.9053907777323204,0.015893760583411118
Gemma 4 2B,Stochastic,ClaimComparison,SocialJudgment,False,3,6.666666666666667,20,0.034904013961605584,0.705024483183173,0.2962543538331649
Gemma 4 2B,Stochastic,ClaimComparison,Testimony,False,3,14.666666666666666,44,0.07678883071553229,1.8373895495540271,0.1014642462803112
Gemma 4 2B,Stochastic,ClaimComparison,Uncertainty,False,3,7.666666666666667,23,0.04013961605584642,0.8526289328146914,0.16341833101280867
Gemma 4 2B,Stochastic,Mechanical,Behavioral,False,3,1.0,3,0.005235602094240839,1.1189271407487726,0.36601518355296214
Gemma 4 2B,Stochastic,Mechanical,ClaimComparison,False,3,0.3333333333333333,1,0.0017452006980802793,0.6996336996336997,1.2118011144529508
Gemma 4 2B,Stochastic,Mechanical,Mechanical,True,3,5.666666666666667,17,0.029668411867364745,,
Gemma 4 2B,Stochastic,Mechanical,Payoff,False,3,5.0,15,0.02617801047120419,0.9453802010033359,0.1189243289146408
Gemma 4 2B,Stochastic,Mechanical,SocialJudgment,False,3,2.0,6,0.010471204188481674,0.5770263944924715,0.18361327392857715
Gemma 4 2B,Stochastic,Mechanical,Testimony,False,3,4.333333333333333,13,0.022687609075043632,1.4836169314324656,0.3137570125602782
Gemma 4 2B,Stochastic,Mechanical,Uncertainty,False,3,2.3333333333333335,7,0.012216404886561954,0.7180451127819549,0.20728176957747838
Gemma 4 2B,Stochastic,Payoff,Behavioral,False,3,28.0,84,0.14659685863874347,0.9614671090363548,0.05391283743462214
Gemma 4 2B,Stochastic,Payoff,ClaimComparison,False,3,12.333333333333334,37,0.06457242582897033,0.9053907777323204,0.015893760583411118
Gemma 4 2B,Stochastic,Payoff,Mechanical,False,3,5.0,15,0.02617801047120419,0.9453802010033359,0.1189243289146408
Gemma 4 2B,Stochastic,Payoff,Payoff,True,3,173.66666666666666,521,0.9092495636998255,,
Gemma 4 2B,Stochastic,Payoff,SocialJudgment,False,3,106.33333333333333,319,0.5567190226876091,1.0326073591628948,0.009438008157514671
Gemma 4 2B,Stochastic,Payoff,Testimony,False,3,93.33333333333333,280,0.4886561954624782,1.0067844807780604,0.016423226528446508
Gemma 4 2B,Stochastic,Payoff,Uncertainty,False,3,101.33333333333333,304,0.5305410122164048,0.9776867284766039,0.013761054734909796
Gemma 4 2B,Stochastic,SocialJudgment,Behavioral,False,3,16.666666666666668,50,0.08726003490401396,0.8792005854364012,0.05702771203210504
Gemma 4 2B,Stochastic,SocialJudgment,ClaimComparison,False,3,6.666666666666667,20,0.034904013961605584,0.705024483183173,0.2962543538331649
Gemma 4 2B,Stochastic,SocialJudgment,Mechanical,False,3,2.0,6,0.010471204188481674,0.5770263944924715,0.18361327392857715
Gemma 4 2B,Stochastic,SocialJudgment,Payoff,False,3,106.33333333333333,319,0.5567190226876091,1.0326073591628948,0.009438008157514671
Gemma 4 2B,Stochastic,SocialJudgment,SocialJudgment,True,3,113.33333333333333,340,0.5933682373472949,,
