model,decoding_group,pair,joint_prevalence_mean,prevalence_a_mean,prevalence_b_mean,support_mean,support_total,lift_mean,lift_sd,support_is_thin,min_support_threshold
Gemma 4 2B,Stochastic,Payoff + SocialJudgment,0.5567190226876091,0.9092495636998255,0.5933682373472949,106.33333333333333,319,1.0326073591628948,0.009438008157514671,False,10.0
Gemma 4 2B,Stochastic,Payoff + Uncertainty,0.5305410122164048,0.9092495636998255,0.5968586387434555,101.33333333333333,304,0.9776867284766039,0.013761054734909796,False,10.0
Gemma 4 2B,Stochastic,Payoff + Testimony,0.4886561954624782,0.9092495636998255,0.5340314136125655,93.33333333333333,280,1.0067844807780604,0.016423226528446508,False,10.0
Gemma 4 2B,Stochastic,SocialJudgment + Uncertainty,0.3019197207678883,0.5933682373472949,0.5968586387434555,57.666666666666664,173,0.8534254876093891,0.03407711405977059,False,10.0
Gemma 4 2B,Stochastic,SocialJudgment + Testimony,0.2949389179755672,0.5933682373472949,0.5340314136125655,56.333333333333336,169,0.9272557076230528,0.047202415773736475,False,10.0
Gemma 4 2B,Stochastic,Testimony + Uncertainty,0.24781849912739964,0.5340314136125655,0.5968586387434555,47.333333333333336,142,0.7761615710538381,0.08008063294606024,False,10.0
Gemma 4 2B,Stochastic,Behavioral + Payoff,0.14659685863874347,0.1675392670157068,0.9092495636998255,28.0,84,0.9614671090363548,0.05391283743462214,False,10.0
Gemma 4 2B,Stochastic,Behavioral + Uncertainty,0.11169284467713787,0.1675392670157068,0.5968586387434555,21.333333333333332,64,1.1259667987172233,0.2510880715120141,False,10.0
Gemma 4 2B,Stochastic,Behavioral + SocialJudgment,0.08726003490401396,0.1675392670157068,0.5933682373472949,16.666666666666668,50,0.8792005854364012,0.05702771203210504,False,10.0
Gemma 4 2B,Stochastic,Behavioral + Testimony,0.07678883071553229,0.1675392670157068,0.5340314136125655,14.666666666666666,44,0.857353668348768,0.13452081752275916,False,10.0
Gemma 4 2B,Stochastic,ClaimComparison + Testimony,0.07678883071553229,0.07853403141361257,0.5340314136125655,14.666666666666666,44,1.8373895495540271,0.1014642462803112,False,10.0
Gemma 4 2B,Stochastic,ClaimComparison + Payoff,0.06457242582897033,0.07853403141361257,0.9092495636998255,12.333333333333334,37,0.9053907777323204,0.015893760583411118,False,10.0
Gemma 4 2B,Stochastic,ClaimComparison + Uncertainty,0.04013961605584642,0.07853403141361257,0.5968586387434555,7.666666666666667,23,0.8526289328146914,0.16341833101280867,True,10.0
Gemma 4 2B,Stochastic,ClaimComparison + SocialJudgment,0.034904013961605584,0.07853403141361257,0.5933682373472949,6.666666666666667,20,0.705024483183173,0.2962543538331649,True,10.0
Gemma 4 2B,Stochastic,Mechanical + Payoff,0.02617801047120419,0.029668411867364745,0.9092495636998255,5.0,15,0.9453802010033359,0.1189243289146408,True,10.0
Gemma 4 2B,Stochastic,Mechanical + Testimony,0.022687609075043632,0.029668411867364745,0.5340314136125655,4.333333333333333,13,1.4836169314324656,0.3137570125602782,True,10.0
Gemma 4 2B,Stochastic,Behavioral + ClaimComparison,0.017452006980802792,0.1675392670157068,0.07853403141361257,3.3333333333333335,10,1.298548468187937,0.3046381276037555,True,10.0
Gemma 4 2B,Stochastic,Mechanical + Uncertainty,0.012216404886561954,0.029668411867364745,0.5968586387434555,2.3333333333333335,7,0.7180451127819549,0.20728176957747838,True,10.0
Gemma 4 2B,Stochastic,Mechanical + SocialJudgment,0.010471204188481674,0.029668411867364745,0.5933682373472949,2.0,6,0.5770263944924715,0.18361327392857715,True,10.0
Gemma 4 2B,Stochastic,Behavioral + Mechanical,0.005235602094240839,0.1675392670157068,0.029668411867364745,1.0,3,1.1189271407487726,0.36601518355296214,True,10.0
Gemma 4 2B,Stochastic,ClaimComparison + Mechanical,0.0017452006980802793,0.07853403141361257,0.029668411867364745,0.3333333333333333,1,0.6996336996336997,1.2118011144529508,True,10.0
Gemma 4 4B,Stochastic,Payoff + Testimony,0.5567190226876091,0.719022687609075,0.7539267015706805,106.33333333333333,319,1.0270285852263326,0.011525108212044595,False,10.0
Gemma 4 4B,Stochastic,Behavioral + Testimony,0.4450261780104712,0.581151832460733,0.7539267015706805,85.0,255,1.014649801721556,0.047675582501053373,False,10.0
Gemma 4 4B,Stochastic,Payoff + SocialJudgment,0.4153577661431065,0.719022687609075,0.56195462478185,79.33333333333333,238,1.0283820346320345,0.022786729630728548,False,10.0
Gemma 4 4B,Stochastic,Behavioral + Payoff,0.3961605584642234,0.581151832460733,0.719022687609075,75.66666666666667,227,0.9490189386882291,0.03551223330713211,False,10.0
Gemma 4 4B,Stochastic,SocialJudgment + Testimony,0.3909249563699826,0.56195462478185,0.7539267015706805,74.66666666666667,224,0.9235820008305501,0.03562185866147558,False,10.0
Gemma 4 4B,Stochastic,Behavioral + SocialJudgment,0.3158813263525306,0.581151832460733,0.56195462478185,60.333333333333336,181,0.9672265201919618,0.023332745152789564,False,10.0
Gemma 4 4B,Stochastic,Testimony + Uncertainty,0.29319371727748694,0.7539267015706805,0.4258289703315881,56.0,168,0.9145544073302906,0.04426883465851245,False,10.0
Gemma 4 4B,Stochastic,Payoff + Uncertainty,0.26701570680628267,0.719022687609075,0.4258289703315881,51.0,153,0.8718576395869352,0.018944310521017974,False,10.0
Gemma 4 4B,Stochastic,SocialJudgment + Uncertainty,0.21640488656195464,0.56195462478185,0.4258289703315881,41.333333333333336,124,0.9004789633029265,0.10407588045992566,False,10.0
Gemma 4 4B,Stochastic,Behavioral + Uncertainty,0.21116928446771377,0.581151832460733,0.4258289703315881,40.333333333333336,121,0.855341609614252,0.0058986724139414295,False,10.0
Gemma 4 4B,Stochastic,ClaimComparison + Testimony,0.17452006980802792,0.18324607329842932,0.7539267015706805,33.333333333333336,100,1.267391739816152,0.060856837464581134,False,10.0
Gemma 4 4B,Stochastic,ClaimComparison + Payoff,0.12914485165794065,0.18324607329842932,0.719022687609075,24.666666666666668,74,0.9775624822651189,0.08424203860732651,False,10.0
Gemma 4 4B,Stochastic,Behavioral + ClaimComparison,0.12390924956369982,0.581151832460733,0.18324607329842932,23.666666666666668,71,1.1492936552420037,0.1495805068186994,False,10.0
Gemma 4 4B,Stochastic,ClaimComparison + SocialJudgment,0.09075043630017453,0.18324607329842932,0.56195462478185,17.333333333333332,52,0.8931740622616559,0.19674316590942192,False,10.0
Gemma 4 4B,Stochastic,Mechanical + Testimony,0.06457242582897033,0.06980802792321117,0.7539267015706805,12.333333333333334,37,1.2353331075917,0.11808920917051223,False,10.0
