decoding_group,model,category,n_outputs,n_present,n_absent,n_correct_present,n_correct_absent,p_correct_present,p_correct_absent,delta,ci_low,ci_high,ci_excludes_zero,n_valid_replicates,n_games,n_replicates,seed
Stochastic,Gemma 4 2B,Mechanical,573,17,556,5,228,0.29411764705882354,0.41007194244604317,-0.11595429538721963,-0.32098869823461473,0.1283158425821013,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,Testimony,573,306,267,138,95,0.45098039215686275,0.35580524344569286,0.09517514871116989,-0.01227171557609564,0.20061100864805076,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,SocialJudgment,573,340,233,146,87,0.4294117647058823,0.37339055793991416,0.05602120676596817,-0.047132728749352565,0.16102091693782788,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,Behavioral,573,96,477,34,199,0.3541666666666667,0.4171907756813417,-0.06302410901467503,-0.17145037200346364,0.05283215905448356,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,ClaimComparison,573,45,528,18,215,0.4,0.4071969696969697,-0.007196969696969702,-0.161667709037638,0.1730609418727445,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,Payoff,573,521,52,214,19,0.4107485604606526,0.36538461538461536,0.04536394507603725,-0.11149380972538485,0.20679154244209644,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,Uncertainty,573,342,231,114,119,0.3333333333333333,0.5151515151515151,-0.18181818181818182,-0.2789698308740367,-0.08354388440322279,True,10000,191,10000,20260826
Greedy,Gemma 4 2B,Mechanical,191,5,186,3,67,0.6,0.3602150537634409,0.2397849462365591,-0.3526315789473684,0.6684491978609626,False,9943,191,10000,20260826
Greedy,Gemma 4 2B,Testimony,191,104,87,39,31,0.375,0.3563218390804598,0.01867816091954022,-0.1195989280673691,0.15736438223938223,False,10000,191,10000,20260826
Greedy,Gemma 4 2B,SocialJudgment,191,97,94,40,30,0.41237113402061853,0.3191489361702128,0.09322219785040575,-0.04413280316539676,0.2261551535087719,False,10000,191,10000,20260826
Greedy,Gemma 4 2B,Behavioral,191,34,157,10,60,0.29411764705882354,0.3821656050955414,-0.08804795803671789,-0.2586523809091019,0.08932566315116652,False,10000,191,10000,20260826
Greedy,Gemma 4 2B,ClaimComparison,191,15,176,7,63,0.4666666666666667,0.35795454545454547,0.1087121212121212,-0.16077301319597964,0.381060606060606,False,10000,191,10000,20260826
Greedy,Gemma 4 2B,Payoff,191,172,19,67,3,0.38953488372093026,0.15789473684210525,0.231640146878825,0.036605243828441866,0.4010918432883751,True,10000,191,10000,20260826
