model,k_correct_runs,category,n_games_in_group,mean_q,ci_low,ci_high,n_valid_replicates,n_replicates,seed
Gemma 4 2B,0,Mechanical,81,0.037037037037037035,0.011764705882352941,0.06837606837606837,10000,10000,20260826
Gemma 4 2B,1,Mechanical,32,0.010416666666666666,0.0,0.03508771929824561,10000,10000,20260826
Gemma 4 2B,2,Mechanical,33,0.0404040404040404,0.0,0.09523809523809523,10000,10000,20260826
Gemma 4 2B,3,Mechanical,45,0.022222222222222223,0.0,0.04878048780487805,10000,10000,20260826
Gemma 4 2B,0,Testimony,81,0.5102880658436213,0.42063186813186815,0.6029425534258647,10000,10000,20260826
Gemma 4 2B,1,Testimony,32,0.46875,0.34998983739837397,0.5925925925925926,10000,10000,20260826
Gemma 4 2B,2,Testimony,33,0.5252525252525252,0.4111111111111111,0.64,10000,10000,20260826
Gemma 4 2B,3,Testimony,45,0.6296296296296295,0.5038759689922481,0.7519429536871397,10000,10000,20260826
Gemma 4 2B,0,SocialJudgment,81,0.5679012345679012,0.47966922819913127,0.6543284248103525,10000,10000,20260826
Gemma 4 2B,1,SocialJudgment,32,0.6041666666666666,0.4907407407407407,0.711111111111111,10000,10000,20260826
Gemma 4 2B,2,SocialJudgment,33,0.6262626262626262,0.49999999999999994,0.75,10000,10000,20260826
Gemma 4 2B,3,SocialJudgment,45,0.6074074074074074,0.48717948717948717,0.7234085798304791,10000,10000,20260826
Gemma 4 2B,0,Behavioral,81,0.16049382716049382,0.10699588477366255,0.21666666666666665,10000,10000,20260826
Gemma 4 2B,1,Behavioral,32,0.22916666666666666,0.13978494623655913,0.3333333333333333,10000,10000,20260826
Gemma 4 2B,2,Behavioral,33,0.1616161616161616,0.09523809523809523,0.2345679012345679,10000,10000,20260826
Gemma 4 2B,3,Behavioral,45,0.14074074074074072,0.08148148148148147,0.20833333333333331,10000,10000,20260826
Gemma 4 2B,0,ClaimComparison,81,0.07407407407407407,0.03488372093023256,0.1204892031895698,10000,10000,20260826
Gemma 4 2B,1,ClaimComparison,32,0.07291666666666666,0.02222222222222222,0.13541666666666666,10000,10000,20260826
Gemma 4 2B,2,ClaimComparison,33,0.1111111111111111,0.057471264367816084,0.16666666666666666,10000,10000,20260826
Gemma 4 2B,3,ClaimComparison,45,0.06666666666666667,0.029629629629629627,0.1083381782945736,10000,10000,20260826
Gemma 4 2B,0,Payoff,81,0.9300411522633745,0.888888888888889,0.9647058823529412,10000,10000,20260826
Gemma 4 2B,1,Payoff,32,0.8333333333333333,0.7471149425287356,0.9111111111111111,10000,10000,20260826
Gemma 4 2B,2,Payoff,33,0.9090909090909091,0.8288288288288288,0.9696969696969697,10000,10000,20260826
Gemma 4 2B,3,Payoff,45,0.9259259259259258,0.8632478632478632,0.9767441860465116,10000,10000,20260826
Gemma 4 2B,0,Uncertainty,81,0.6502057613168724,0.572549019607843,0.7272727272727272,10000,10000,20260826
Gemma 4 2B,1,Uncertainty,32,0.6875,0.607843137254902,0.7654320987654321,10000,10000,20260826
Gemma 4 2B,2,Uncertainty,33,0.6161616161616162,0.5087719298245613,0.72,10000,10000,20260826
Gemma 4 2B,3,Uncertainty,45,0.4222222222222222,0.3194444444444444,0.5271317829457364,10000,10000,20260826
Gemma 4 4B,0,Mechanical,84,0.07539682539682539,0.03252032520325203,0.12585222978080118,10000,10000,20260826
Gemma 4 4B,1,Mechanical,33,0.0404040404040404,0.009009009009009009,0.08130081300813008,10000,10000,20260826
Gemma 4 4B,2,Mechanical,19,0.12280701754385963,0.031746031746031744,0.23529411764705882,10000,10000,20260826
Gemma 4 4B,3,Mechanical,55,0.0606060606060606,0.024390243902439025,0.1017035627810445,10000,10000,20260826
Gemma 4 4B,0,Testimony,84,0.7380952380952381,0.6666666666666666,0.8065888352120236,10000,10000,20260826
Gemma 4 4B,1,Testimony,33,0.7474747474747474,0.6458333333333333,0.84375,10000,10000,20260826
Gemma 4 4B,2,Testimony,19,0.7719298245614035,0.6231884057971014,0.9028273809523802,10000,10000,20260826
Gemma 4 4B,3,Testimony,55,0.7757575757575758,0.6842105263157895,0.8596491228070176,10000,10000,20260826
Gemma 4 4B,0,SocialJudgment,84,0.5833333333333334,0.49593495934959353,0.6666666666666667,10000,10000,20260826
Gemma 4 4B,1,SocialJudgment,33,0.4242424242424242,0.3181818181818182,0.5317502532928065,10000,10000,20260826
Gemma 4 4B,2,SocialJudgment,19,0.4385964912280701,0.3055555555555555,0.5714285714285714,10000,10000,20260826
Gemma 4 4B,3,SocialJudgment,55,0.6545454545454545,0.5533333333333332,0.7516339869281045,10000,10000,20260826
Gemma 4 4B,0,Behavioral,84,0.6309523809523809,0.5584388528138526,0.701033890271359,10000,10000,20260826
Gemma 4 4B,1,Behavioral,33,0.6161616161616161,0.5044987294987294,0.7297297297297297,10000,10000,20260826
Gemma 4 4B,2,Behavioral,19,0.6140350877192983,0.4705882352941176,0.7592592592592592,10000,10000,20260826
Gemma 4 4B,3,Behavioral,55,0.4727272727272727,0.36363636363636365,0.584795321637427,10000,10000,20260826
Gemma 4 4B,0,ClaimComparison,84,0.1706349206349206,0.11646586345381525,0.22891566265060237,10000,10000,20260826
Gemma 4 4B,1,ClaimComparison,33,0.2121212121212121,0.13580246913580243,0.29413650075414755,10000,10000,20260826
Gemma 4 4B,2,ClaimComparison,19,0.21052631578947367,0.10416666666666666,0.3333333333333333,10000,10000,20260826
Gemma 4 4B,3,ClaimComparison,55,0.17575757575757575,0.09356140350877193,0.26785714285714285,10000,10000,20260826
Gemma 4 4B,0,Payoff,84,0.6944444444444444,0.627906976744186,0.7605663897917418,10000,10000,20260826
Gemma 4 4B,1,Payoff,33,0.6767676767676767,0.5555555555555555,0.7931171319102351,10000,10000,20260826
Gemma 4 4B,2,Payoff,19,0.7894736842105263,0.6851851851851851,0.8888888888888888,10000,10000,20260826
Gemma 4 4B,3,Payoff,55,0.7575757575757576,0.6727272727272727,0.8361581920903954,10000,10000,20260826
Gemma 4 4B,0,Uncertainty,84,0.4484126984126984,0.3819368961352657,0.5131086142322097,10000,10000,20260826
Gemma 4 4B,1,Uncertainty,33,0.48484848484848486,0.380952380952381,0.5862068965517241,10000,10000,20260826
Gemma 4 4B,2,Uncertainty,19,0.42105263157894735,0.26666666666666666,0.5789473684210527,10000,10000,20260826
Gemma 4 4B,3,Uncertainty,55,0.35757575757575755,0.2731376262626263,0.4425332255747126,10000,10000,20260826
Gemma 4 31B,0,Mechanical,86,0.5077519379844961,0.42528017241379307,0.5878186541017276,10000,10000,20260826
Gemma 4 31B,1,Mechanical,27,0.5185185185185185,0.4022988505747126,0.6376811594202898,10000,10000,20260826
Gemma 4 31B,2,Mechanical,22,0.5151515151515151,0.36507936507936506,0.6666666666666666,10000,10000,20260826
Gemma 4 31B,3,Mechanical,56,0.5714285714285714,0.47058823529411764,0.6719598054275473,10000,10000,20260826
Gemma 4 31B,0,Testimony,86,0.9767441860465116,0.9573618564897632,0.992511444028298,10000,10000,20260826
Gemma 4 31B,1,Testimony,27,0.9876543209876543,0.9583333333333334,1.0,10000,10000,20260826
Gemma 4 31B,2,Testimony,22,1.0,1.0,1.0,10000,10000,20260826
Gemma 4 31B,3,Testimony,56,0.9821428571428571,0.94,1.0,10000,10000,20260826
Gemma 4 31B,0,SocialJudgment,86,0.30620155038759694,0.23076923076923078,0.3822222222222222,10000,10000,20260826
Gemma 4 31B,1,SocialJudgment,27,0.24691358024691357,0.14666666666666664,0.35186507936507916,10000,10000,20260826
Gemma 4 31B,2,SocialJudgment,22,0.28787878787878785,0.16666666666666666,0.4166666666666667,10000,10000,20260826
Gemma 4 31B,3,SocialJudgment,56,0.3154761904761904,0.21354166666666666,0.42105263157894735,10000,10000,20260826
Gemma 4 31B,0,Behavioral,86,0.6705426356589147,0.5954989299090423,0.7407407407407406,10000,10000,20260826
Gemma 4 31B,1,Behavioral,27,0.691358024691358,0.5632183908045977,0.8095238095238094,10000,10000,20260826
Gemma 4 31B,2,Behavioral,22,0.6363636363636362,0.5,0.7727272727272727,10000,10000,20260826
Gemma 4 31B,3,Behavioral,56,0.488095238095238,0.38666666666666666,0.5882457238214434,10000,10000,20260826
Gemma 4 31B,0,ClaimComparison,86,0.5930232558139535,0.5075757575757576,0.678030303030303,10000,10000,20260826
Gemma 4 31B,1,ClaimComparison,27,0.5185185185185185,0.3846153846153845,0.6543209876543209,10000,10000,20260826
Gemma 4 31B,2,ClaimComparison,22,0.6666666666666665,0.52,0.8030303030303031,10000,10000,20260826
Gemma 4 31B,3,ClaimComparison,56,0.5297619047619048,0.4166666666666667,0.6419798474945534,10000,10000,20260826
Gemma 4 31B,0,Payoff,86,0.2596899224806201,0.1910569105691057,0.33333333333333326,10000,10000,20260826
Gemma 4 31B,1,Payoff,27,0.2839506172839506,0.1746031746031746,0.39285714285714285,10000,10000,20260826
Gemma 4 31B,2,Payoff,22,0.28787878787878785,0.14285714285714285,0.45,10000,10000,20260826
Gemma 4 31B,3,Payoff,56,0.29166666666666663,0.20338320974576274,0.3846264367816091,10000,10000,20260826
Gemma 4 31B,0,Uncertainty,86,0.09689922480620156,0.054945054945054944,0.14457831325301204,10000,10000,20260826
Gemma 4 31B,1,Uncertainty,27,0.18518518518518517,0.09195402298850575,0.29292929292929293,10000,10000,20260826
Gemma 4 31B,2,Uncertainty,22,0.1212121212121212,0.04444444444444444,0.20987654320987653,10000,10000,20260826
Gemma 4 31B,3,Uncertainty,56,0.08333333333333333,0.04064424735156443,0.13450573549257755,10000,10000,20260826
