model,decoding_group,marker_category,n_games,weighted_mean_herded,weighted_mean_independent,diff,ci_low,ci_high,excludes_zero,inconclusive_at_this_n
2B,Greedy,Contingency,40,3.399,2.515,0.883,-0.374,2.13,False,True
2B,Stochastic,Contingency,46,3.006,2.976,0.03,-0.822,0.833,False,True
31B,Greedy,Contingency,42,2.43,2.148,0.282,-0.966,1.631,False,True
31B,Stochastic,Contingency,45,2.604,2.883,-0.279,-1.361,0.824,False,True
4B,Greedy,Contingency,45,2.063,3.083,-1.02,-2.208,0.174,False,True
4B,Stochastic,Contingency,47,1.977,2.677,-0.7,-1.456,0.012,False,True
2B,Greedy,Temporal,40,0.716,0.434,0.283,-0.636,1.181,False,True
2B,Stochastic,Temporal,46,0.941,0.711,0.23,-0.318,0.792,False,True
31B,Greedy,Temporal,42,1.94,2.926,-0.986,-2.648,0.534,False,True
31B,Stochastic,Temporal,45,2.179,2.63,-0.451,-1.973,0.831,False,True
4B,Greedy,Temporal,45,1.095,1.01,0.084,-0.52,0.704,False,True
4B,Stochastic,Temporal,47,1.051,1.712,-0.662,-1.258,-0.074,True,False
