model,comparison,delta_mean_ll,ci_lo,ci_hi,delta_pseudo_r2,excludes_zero
2B,B_resolved - A_techniques,0.2855,0.1909,0.379,0.1681,True
2B,C_both - B_resolved,0.0125,-0.0157,0.0403,0.0073,False
2B,C_both - A_techniques,0.2979,0.2024,0.3912,0.1754,True
2B,A_temporal - A_techniques,0.0171,-0.0049,0.0388,0.0101,False
2B,B_temporal - B_resolved,-0.0218,-0.0555,0.0089,-0.0128,False
2B,C_temporal - C_both,-0.0334,-0.0706,0.0025,-0.0197,False
31B,B_resolved - A_techniques,0.2576,0.1791,0.3373,0.1516,True
31B,C_both - B_resolved,-0.0011,-0.0233,0.0213,-0.0006,False
31B,C_both - A_techniques,0.2565,0.1813,0.336,0.1509,True
31B,A_temporal - A_techniques,0.0045,-0.0183,0.0271,0.0027,False
31B,B_temporal - B_resolved,-0.0108,-0.0369,0.0161,-0.0064,False
31B,C_temporal - C_both,-0.0236,-0.0526,0.0052,-0.0139,False
4B,B_resolved - A_techniques,0.2763,0.1837,0.3619,0.1626,True
4B,C_both - B_resolved,-0.0265,-0.0423,-0.0097,-0.0156,True
4B,C_both - A_techniques,0.2499,0.1691,0.3239,0.147,True
4B,A_temporal - A_techniques,0.0204,-0.0044,0.0459,0.012,False
4B,B_temporal - B_resolved,-0.0076,-0.0322,0.0174,-0.0045,False
4B,C_temporal - C_both,0.013,-0.0148,0.0411,0.0076,False
