model,block,learner,mean_ll,ll_std,mcfadden_r2,hit_rate,hit_std
2B,A_techniques,clogit_l2,-1.684,0.056,0.009,0.251,0.065
2B,B_resolved,clogit_l2,-1.373,0.121,0.193,0.512,0.077
2B,C_both,clogit_l2,-1.38,0.114,0.188,0.499,0.062
2B,A_temporal,clogit_l2,-1.669,0.049,0.018,0.288,0.051
2B,B_temporal,clogit_l2,-1.427,0.116,0.16,0.475,0.071
2B,C_temporal,clogit_l2,-1.426,0.127,0.161,0.459,0.056
31B,A_techniques,clogit_l2,-1.689,0.044,0.006,0.242,0.063
31B,B_resolved,clogit_l2,-1.562,0.101,0.081,0.363,0.064
31B,C_both,clogit_l2,-1.579,0.074,0.071,0.363,0.088
31B,A_temporal,clogit_l2,-1.676,0.052,0.014,0.241,0.078
31B,B_temporal,clogit_l2,-1.569,0.089,0.077,0.356,0.055
31B,C_temporal,clogit_l2,-1.572,0.079,0.075,0.349,0.068
4B,A_techniques,clogit_l2,-1.607,0.063,0.055,0.326,0.059
4B,B_resolved,clogit_l2,-1.323,0.099,0.222,0.499,0.051
4B,C_both,clogit_l2,-1.328,0.107,0.218,0.48,0.046
4B,A_temporal,clogit_l2,-1.601,0.055,0.058,0.349,0.073
4B,B_temporal,clogit_l2,-1.331,0.087,0.217,0.492,0.062
4B,C_temporal,clogit_l2,-1.357,0.091,0.201,0.469,0.048
