model,block,learner,mean_ll,ll_std,mcfadden_r2,hit_rate,hit_std
2B,A_techniques,clogit,-1.684,0.049,0.009,0.241,0.042
2B,A_techniques,clogit_l2,-1.679,0.04,0.011,0.236,0.039
2B,A_techniques,clogit_l1,-1.686,0.043,0.008,0.24,0.047
2B,A_techniques,gbm,,,,0.215,0.047
2B,B_resolved,clogit,-1.393,0.099,0.18,0.474,0.079
2B,B_resolved,clogit_l2,-1.391,0.095,0.18,0.476,0.079
2B,B_resolved,clogit_l1,-1.393,0.095,0.18,0.469,0.078
2B,B_resolved,gbm,,,,0.453,0.088
2B,C_both,clogit,-1.381,0.096,0.186,0.493,0.076
2B,C_both,clogit_l2,-1.379,0.092,0.188,0.495,0.073
2B,C_both,clogit_l1,-1.378,0.094,0.189,0.493,0.074
2B,C_both,gbm,,,,0.475,0.051
2B,A_temporal,clogit,-1.682,0.058,0.01,0.262,0.05
2B,A_temporal,clogit_l2,-1.662,0.044,0.021,0.252,0.047
2B,A_temporal,clogit_l1,-1.667,0.046,0.019,0.254,0.04
2B,A_temporal,gbm,,,,0.251,0.054
2B,B_temporal,clogit,-1.411,0.114,0.169,0.502,0.068
2B,B_temporal,clogit_l2,-1.412,0.104,0.168,0.497,0.067
2B,B_temporal,clogit_l1,-1.402,0.101,0.174,0.483,0.074
2B,B_temporal,gbm,,,,0.47,0.055
2B,C_temporal,clogit,-1.438,0.123,0.153,0.496,0.076
2B,C_temporal,clogit_l2,-1.412,0.09,0.168,0.483,0.067
2B,C_temporal,clogit_l1,-1.411,0.103,0.169,0.478,0.069
2B,C_temporal,gbm,,,,0.465,0.062
31B,A_techniques,clogit,-1.692,0.058,0.004,0.23,0.06
31B,A_techniques,clogit_l2,-1.684,0.048,0.009,0.24,0.059
31B,A_techniques,clogit_l1,-1.694,0.05,0.003,0.208,0.059
31B,A_techniques,gbm,,,,0.216,0.054
31B,B_resolved,clogit,-1.422,0.104,0.163,0.429,0.082
31B,B_resolved,clogit_l2,-1.427,0.092,0.16,0.431,0.086
31B,B_resolved,clogit_l1,-1.423,0.1,0.162,0.427,0.08
31B,B_resolved,gbm,,,,0.398,0.056
31B,C_both,clogit,-1.426,0.084,0.161,0.434,0.063
31B,C_both,clogit_l2,-1.428,0.076,0.16,0.43,0.063
31B,C_both,clogit_l1,-1.429,0.084,0.159,0.431,0.069
31B,C_both,gbm,,,,0.407,0.071
31B,A_temporal,clogit,-1.703,0.075,-0.002,0.237,0.07
31B,A_temporal,clogit_l2,-1.68,0.057,0.012,0.244,0.065
31B,A_temporal,clogit_l1,-1.7,0.056,-0.0,0.218,0.056
31B,A_temporal,gbm,,,,0.209,0.056
31B,B_temporal,clogit,-1.44,0.093,0.152,0.425,0.07
31B,B_temporal,clogit_l2,-1.438,0.079,0.154,0.411,0.073
31B,B_temporal,clogit_l1,-1.437,0.085,0.154,0.426,0.053
31B,B_temporal,gbm,,,,0.4,0.052
31B,C_temporal,clogit,-1.483,0.085,0.128,0.421,0.049
31B,C_temporal,clogit_l2,-1.452,0.072,0.146,0.417,0.059
31B,C_temporal,clogit_l1,-1.455,0.075,0.144,0.422,0.063
31B,C_temporal,gbm,,,,0.379,0.052
4B,A_techniques,clogit,-1.623,0.039,0.045,0.273,0.069
4B,A_techniques,clogit_l2,-1.617,0.029,0.049,0.265,0.068
4B,A_techniques,clogit_l1,-1.627,0.035,0.043,0.248,0.058
4B,A_techniques,gbm,,,,0.26,0.066
4B,B_resolved,clogit,-1.343,0.141,0.21,0.486,0.071
4B,B_resolved,clogit_l2,-1.341,0.134,0.211,0.484,0.072
4B,B_resolved,clogit_l1,-1.345,0.136,0.209,0.484,0.07
4B,B_resolved,gbm,,,,0.461,0.053
4B,C_both,clogit,-1.367,0.146,0.196,0.47,0.07
4B,C_both,clogit_l2,-1.367,0.121,0.196,0.472,0.07
4B,C_both,clogit_l1,-1.348,0.128,0.207,0.486,0.073
4B,C_both,gbm,,,,0.449,0.062
4B,A_temporal,clogit,-1.616,0.049,0.049,0.312,0.058
4B,A_temporal,clogit_l2,-1.596,0.035,0.061,0.304,0.052
4B,A_temporal,clogit_l1,-1.605,0.043,0.056,0.311,0.055
4B,A_temporal,gbm,,,,0.301,0.053
4B,B_temporal,clogit,-1.354,0.138,0.203,0.498,0.062
4B,B_temporal,clogit_l2,-1.348,0.126,0.207,0.501,0.063
4B,B_temporal,clogit_l1,-1.353,0.122,0.204,0.49,0.057
4B,B_temporal,gbm,,,,0.482,0.073
4B,C_temporal,clogit,-1.381,0.153,0.188,0.471,0.051
4B,C_temporal,clogit_l2,-1.354,0.101,0.203,0.485,0.061
4B,C_temporal,clogit_l1,-1.358,0.125,0.201,0.49,0.059
4B,C_temporal,gbm,,,,0.464,0.055
