feature,block,total,player_games_gt0,pct_player_games_gt0,distinct_games_gt0,mean,median,sd,max
accusation,strategy,3474.0,748,86.57,190,4.021,3.0,3.389,22.0
defense,strategy,3260.0,715,82.75,187,3.773,3.0,3.808,24.0
interrogation,strategy,4084.0,802,92.82,190,4.727,4.0,3.713,24.0
evidence,strategy,2221.0,730,84.49,189,2.571,2.0,2.169,13.0
identity_declaration,strategy,1343.0,637,73.73,189,1.554,1.0,1.504,9.0
call_for_action,strategy,1390.0,554,64.12,180,1.609,1.0,1.888,11.0
werewolf_accusations_made,enriched,1198.0,452,52.31,172,1.387,1.0,2.012,15.0
deception_accusations_made,enriched,629.0,292,33.8,145,0.728,0.0,1.413,12.0
werewolf_accusations_received,enriched,1189.0,451,52.2,172,1.376,1.0,2.042,14.0
deception_accusations_received,enriched,629.0,303,35.07,145,0.728,0.0,1.391,13.0
claims_werewolf,enriched,160.0,96,11.11,76,0.185,0.0,0.653,7.0
claims_tanner,enriched,73.0,48,5.56,40,0.084,0.0,0.392,4.0
claims_night_action_role,enriched,842.0,459,53.12,181,0.975,1.0,1.23,8.0
