model,feature,column,beta_ci_lo,beta_ci_hi,odds_ratio_ci_lo,odds_ratio_ci_hi,n_boot_used,n_failures,beta,odds_ratio
2B,accusation,accusation,-0.23521850839699332,0.177617185675163,0.790398122131565,1.1943680125239016,1000,0,-0.05583219461942998,0.9456978157582336
2B,defense,defense,0.08928362660479562,0.40231013901873314,1.0933907270517267,1.4952750038935017,1000,0,0.23879697645335596,1.2697207272087498
2B,interrogation,interrogation,-0.2905192901043877,0.049963254047284585,0.7478751025841911,1.0512324671277642,1000,0,-0.0962381044441189,0.9082477324992194
2B,evidence,evidence,-0.246317084249275,0.09996704488035875,0.7816743290078179,1.1051344976359416,1000,0,-0.0605667001454215,0.9412309866809465
2B,identity_declaration,identity_declaration,-0.5036465709732072,0.06224048544282179,0.6043229303818481,1.0642182429523168,1000,0,-0.2411464608743803,0.7857265397646698
2B,call_for_action,call_for_action,-0.2953468864350655,0.009926629196520534,0.7442733643473775,1.009976061610477,1000,0,-0.13910099390132424,0.8701401451725286
2B,werewolf_accusations_made,werewolf_accusations_made,0.09221009358684928,0.46508276198658216,1.096595185496874,1.5921459525964785,1000,0,0.30373979552443325,1.3549164548918744
2B,deception_accusations_made,deception_accusations_made,-0.21405931973340986,0.1632523230773671,0.8073004947521462,1.1773337206804944,1000,0,-0.017937727031798138,0.9822221963454496
2B,werewolf_accusations_received,werewolf_accusations_received,0.6879243659116833,1.0932201170423204,1.9895816010693157,2.983867020110371,1000,0,0.874901325253259,2.3986385972331896
2B,deception_accusations_received,deception_accusations_received,-0.1834734215343147,0.10924523564437474,0.8323739986676576,1.1154358614349802,1000,0,-0.03165553516434341,0.9688402560059937
2B,claims_werewolf,claims_werewolf,0.2811316983269184,0.8167748385982807,1.32462804374544,2.2631889048998106,1000,0,0.531375428198661,1.701270675782865
2B,claims_tanner,claims_tanner,-0.09939085999770447,0.18523959564795753,0.9053887586076096,1.2035067605682743,1000,0,0.05278565164279187,1.0542036540784026
2B,claims_night_action_role,claims_night_action_role,-0.23803034560254133,0.24138099959269632,0.7881787729710913,1.2730059576761255,1000,0,0.014997296981063793,1.0151103207495913
4B,accusation,accusation,-0.1341399136396123,0.22209127341748075,0.8744677060842391,1.2486853444418902,1000,0,0.022854767398616447,1.023117938676877
4B,defense,defense,-0.09110886065601581,0.459643014196059,0.9129183246020302,1.5835085939937315,1000,0,0.1645206509849914,1.1788279132577897
4B,interrogation,interrogation,-0.1992118923647472,0.1148740156920188,0.8193762553649285,1.121732108026103,1000,0,-0.025112899983033378,0.9751998057714266
4B,evidence,evidence,-0.2627881784424977,0.11518482648192523,0.7689047506644826,1.1220808086558138,1000,0,-0.05954198132793872,0.9421959781226003
4B,identity_declaration,identity_declaration,-0.37464764430563974,0.07288723431259135,0.6875314917520791,1.0756092382605333,1000,0,-0.14794853305537659,0.8624755027787231
4B,call_for_action,call_for_action,-0.2100944109830535,0.08949831984816821,0.8105077215271081,1.093625495853927,1000,0,-0.06011532859930153,0.9416559274625349
4B,werewolf_accusations_made,werewolf_accusations_made,0.06728629410760584,0.3385434532441623,1.0696016549955096,1.4029027083032706,1000,0,0.22678826145373449,1.2545642002152726
4B,deception_accusations_made,deception_accusations_made,-0.4129380697105534,-0.015431283511190306,0.6617032610334228,0.9846871686717686,1000,0,-0.2124380288329814,0.8086104253004998
4B,werewolf_accusations_received,werewolf_accusations_received,0.5304078898913357,0.8740936264326529,1.6996254272817382,2.396702001865324,1000,0,0.6871753375115357,1.988091905927337
4B,deception_accusations_received,deception_accusations_received,0.027036803275085623,0.3808162863957237,1.0274056139591323,1.4634787197611199,1000,0,0.18533801988947446,1.2036252206379194
4B,claims_werewolf,claims_werewolf,0.5996552368780892,1.165169253967455,1.8214907093019375,3.206465544292627,1000,0,0.8253085413964937,2.2825849286334488
4B,claims_tanner,claims_tanner,-0.1624503011752087,0.19827287664773044,0.8500583360759119,1.2192950655804913,1000,0,0.034033002471465346,1.0346187511405018
4B,claims_night_action_role,claims_night_action_role,-0.16272877070740427,0.30166399101549246,0.8498216536846728,1.3521068303301196,1000,0,0.06550930391642382,1.0677026710837036
31B,accusation,accusation,-0.25670447582366573,0.2652235629737907,0.7735967965440304,1.3037224072588751,1000,0,-0.004081689261891921,0.9959266295096612
31B,defense,defense,-0.08358792000164791,0.4497006535449841,0.9198102134006215,1.5678427870569678,1000,0,0.15519333744749014,1.1678837349394318
31B,interrogation,interrogation,-0.28692411115507616,0.022762340428853643,0.7505686864664682,1.0230233793560781,1000,0,-0.11841323853246742,0.8883288850311469
31B,evidence,evidence,-0.33160914282611753,0.09331142710066198,0.7177678127339207,1.0978035678195814,1000,0,-0.11385977797844138,0.892383078869028
31B,identity_declaration,identity_declaration,-0.5496100656170576,0.19111368320173325,0.5771748268167576,1.2105970688095873,1000,0,-0.16678643622507083,0.8463803482192674
31B,call_for_action,call_for_action,-0.12377780326932818,0.27402188188650783,0.8835761468037957,1.3152435819346364,1000,0,0.07862693977947366,1.081800669985218
31B,werewolf_accusations_made,werewolf_accusations_made,-0.07876361375019067,0.517030629146825,0.9242583805964985,1.6770404938436345,1000,0,0.2604245082259112,1.2974807610306223
31B,deception_accusations_made,deception_accusations_made,-0.28662093849795767,0.13723159291262468,0.7507962728667379,1.147093776549191,1000,0,-0.06176346976271661,0.9401052238069972
31B,werewolf_accusations_received,werewolf_accusations_received,0.5774974864175545,1.0205412890571428,1.7815744332552093,2.774696270281166,1000,0,0.8073391142092208,2.241934511148328
31B,deception_accusations_received,deception_accusations_received,0.042645447546785044,0.43344492554461217,1.0435678297166164,1.542562393454426,1000,0,0.21972299740468745,1.2457316119006423
31B,claims_werewolf,claims_werewolf,0.07626025598278122,0.6002849484043843,1.0792434171663567,1.8226380842163141,1000,0,0.29842630815316973,1.34773621636644
31B,claims_tanner,claims_tanner,-0.17114491075882335,0.1387861379631676,0.8426994484066871,1.1488783722598597,1000,0,-0.007100559383652615,0.9929245900279592
31B,claims_night_action_role,claims_night_action_role,-0.1928340016748254,0.4734119263028846,0.8246188481260639,1.6054625790494899,1000,0,0.12581622335988346,1.1340737328705603
