model,feature,column,beta_ci_lo,beta_ci_hi,odds_ratio_ci_lo,odds_ratio_ci_hi,n_boot_used,n_failures,beta,odds_ratio
2B,accusation,accusation_rate,-0.17101054590503859,0.19198413565235312,0.8428126852022091,1.2116512947550602,1000,0,0.0007632395281340923,1.000763530869539
2B,defense,defense_rate,0.13818525676318735,0.47493440811798515,1.1481882402093568,1.6079087282672633,1000,0,0.28632369905203786,1.3315233983624069
2B,interrogation,interrogation_rate,-0.10856903638766921,0.18258188540716547,0.897116958964918,1.2003124350019738,1000,0,0.04923317627397926,1.0504652657613474
2B,evidence,evidence_rate,-0.1936790666174245,0.1612526900477899,0.8239222860080725,1.1749818375210834,1000,0,0.004677571399666494,1.004688528314021
2B,identity_declaration,identity_declaration_rate,-0.40530616888604454,0.21461328162849225,0.6667726345690848,1.2393825122917772,1000,0,-0.1099138706143026,0.8959112962631537
2B,call_for_action,call_for_action_rate,-0.2153282415575461,0.10534596087581086,0.8062767432034277,1.1110949392487832,1000,0,-0.039523226552839866,0.9612476272625059
2B,werewolf_accusations_made,werewolf_accusations_made_rate,-0.0493057945317185,0.38875016017639213,0.9518900024306693,1.4751359575828333,1000,0,0.19069359580321585,1.210088619040446
2B,deception_accusations_made,deception_accusations_made_rate,-0.15511076038235155,0.11449759649836141,0.8563203258641016,1.1213099459904312,1000,0,-0.010191065566379998,0.9898606873871921
2B,werewolf_accusations_received,werewolf_accusations_received_rate,0.566259195742935,0.9930654062488125,1.7616646673326477,2.699496856630085,1000,0,0.7473694468598389,2.11143845377163
2B,deception_accusations_received,deception_accusations_received_rate,-0.1393833406732776,0.1951199904803169,0.8698944985917835,1.2154568209879348,1000,0,0.02272974731917912,1.0229900363862536
2B,claims_werewolf,claims_werewolf_rate,0.22819313070537559,0.817133004760155,1.256327937504423,2.263999647765138,1000,0,0.49142792706932126,1.6346487133904781
2B,claims_tanner,claims_tanner_rate,-0.08835408627075346,0.194598933214999,0.9154366757705252,1.2148236633506977,1000,0,0.05617252018659456,1.05778015642601
2B,claims_night_action_role,claims_night_action_role_rate,-0.3248589518291443,0.199012038123095,0.722629271991226,1.2201966546889889,1000,0,-0.06312762610398868,0.9388236476383494
4B,accusation,accusation_rate,-0.13695258683657432,0.20963808436700687,0.8720115699790569,1.2332316533663987,1000,0,0.018442146705155572,1.0186132533320136
4B,defense,defense_rate,-0.03556563907096722,0.3552512369837133,0.9650593865494205,1.4265390086213388,1000,0,0.1597291124340248,1.1731930245405913
4B,interrogation,interrogation_rate,-0.18781931238369973,0.10325911752331755,0.8287644411760892,1.1087786758408649,1000,0,-0.028052866441504707,0.9723369614473546
4B,evidence,evidence_rate,-0.26649618987134915,0.04132545086975952,0.7660589225036825,1.042191232400962,1000,0,-0.08861392487534073,0.9151988408827858
