repeat,fold,n_test_games,selected_penalty,mean_loss,mean_agreement,model,representation,block
0,0,39,100.0,1.5937135049164124,0.23931623931623933,2B,count_overall,strategy
0,1,38,1000.0,1.5697475778816126,0.19298245614035087,2B,count_overall,strategy
0,2,38,100.0,1.7836329549125076,0.15789473684210523,2B,count_overall,strategy
0,3,37,100.0,1.8471446653982284,0.2162162162162162,2B,count_overall,strategy
0,4,39,100.0,1.6591285948627366,0.2564102564102564,2B,count_overall,strategy
1,0,37,100.0,1.6446367226639296,0.1981981981981982,2B,count_overall,strategy
1,1,39,100.0,1.6527822384263766,0.2564102564102564,2B,count_overall,strategy
1,2,38,10.0,1.7446309022414817,0.18421052631578946,2B,count_overall,strategy
1,3,38,100.0,1.7445390562681091,0.20175438596491227,2B,count_overall,strategy
1,4,39,10.0,1.6465141414422904,0.26495726495726496,2B,count_overall,strategy
2,0,41,100.0,1.8086662244181753,0.19512195121951217,2B,count_overall,strategy
2,1,47,100.0,1.6629500925301852,0.20567375886524825,2B,count_overall,strategy
2,2,35,100.0,1.6177611115342407,0.2380952380952381,2B,count_overall,strategy
2,3,32,100.0,1.752120353316423,0.13541666666666666,2B,count_overall,strategy
2,4,36,10.0,1.619268015472621,0.19444444444444442,2B,count_overall,strategy
3,0,40,100.0,1.7365590088067353,0.20833333333333331,2B,count_overall,strategy
3,1,37,100.0,1.5972118009532144,0.2252252252252252,2B,count_overall,strategy
3,2,41,100.0,1.5930920064305711,0.30894308943089427,2B,count_overall,strategy
3,3,36,100.0,1.7154246342848625,0.21296296296296294,2B,count_overall,strategy
3,4,37,1000.0,1.8201160317510372,0.0900900900900901,2B,count_overall,strategy
4,0,38,100.0,1.740686667159841,0.11403508771929824,2B,count_overall,strategy
4,1,38,100.0,1.6264371290906154,0.2894736842105263,2B,count_overall,strategy
4,2,40,100.0,1.7460920325255196,0.2,2B,count_overall,strategy
4,3,33,100.0,1.6673374610684455,0.26262626262626265,2B,count_overall,strategy
4,4,42,100.0,1.6515387978451543,0.2619047619047619,2B,count_overall,strategy
0,0,39,10.0,1.3619905694333734,0.48717948717948717,2B,count_overall,enriched
0,1,38,10.0,1.3206620845031962,0.5614035087719298,2B,count_overall,enriched
0,2,38,100.0,1.530646583182666,0.42105263157894735,2B,count_overall,enriched
0,3,37,10.0,1.5658278507822716,0.36936936936936937,2B,count_overall,enriched
0,4,39,10.0,1.4033258375262292,0.4444444444444444,2B,count_overall,enriched
1,0,37,10.0,1.5698467841816397,0.47747747747747743,2B,count_overall,enriched
1,1,39,10.0,1.3363913073609073,0.4786324786324786,2B,count_overall,enriched
1,2,38,10.0,1.5663337620888211,0.42105263157894735,2B,count_overall,enriched
1,3,38,10.0,1.420042451029818,0.46491228070175433,2B,count_overall,enriched
1,4,39,10.0,1.309874182340605,0.4957264957264957,2B,count_overall,enriched
2,0,41,10.0,1.5399602531847867,0.3333333333333333,2B,count_overall,enriched
2,1,47,10.0,1.3332835872027533,0.5602836879432624,2B,count_overall,enriched
2,2,35,10.0,1.301411922036517,0.5142857142857142,2B,count_overall,enriched
2,3,32,10.0,1.5179936532701657,0.46875,2B,count_overall,enriched
2,4,36,10.0,1.5752362498431862,0.3796296296296296,2B,count_overall,enriched
3,0,40,10.0,1.3987040006856222,0.4416666666666666,2B,count_overall,enriched
3,1,37,10.0,1.5390946633122318,0.40540540540540543,2B,count_overall,enriched
3,2,41,10.0,1.308067705397107,0.5040650406504065,2B,count_overall,enriched
3,3,36,10.0,1.3969874814688537,0.5648148148148149,2B,count_overall,enriched
3,4,37,10.0,1.5594119127933954,0.3423423423423423,2B,count_overall,enriched
4,0,38,10.0,1.3130458837813754,0.42105263157894735,2B,count_overall,enriched
4,1,38,10.0,1.2801840422845479,0.48245614035087725,2B,count_overall,enriched
4,2,40,10.0,1.4619311994642377,0.5083333333333333,2B,count_overall,enriched
4,3,33,10.0,1.6163954163167136,0.35353535353535354,2B,count_overall,enriched
4,4,42,10.0,1.4578246972529723,0.4444444444444445,2B,count_overall,enriched
0,0,39,10.0,1.3713309596738998,0.5128205128205128,2B,count_overall,combined
0,1,38,10.0,1.3138927099908457,0.5350877192982456,2B,count_overall,combined
0,2,38,100.0,1.5347584471733193,0.3859649122807017,2B,count_overall,combined
0,3,37,10.0,1.532223042643348,0.3873873873873874,2B,count_overall,combined
0,4,39,10.0,1.3960586687339567,0.4358974358974359,2B,count_overall,combined
1,0,37,10.0,1.589565968010896,0.46846846846846835,2B,count_overall,combined
1,1,39,10.0,1.3033723734470828,0.4786324786324786,2B,count_overall,combined
1,2,38,10.0,1.561600094920123,0.42105263157894735,2B,count_overall,combined
1,3,38,10.0,1.3974341745204715,0.45614035087719285,2B,count_overall,combined
1,4,39,10.0,1.3081930910660973,0.46153846153846156,2B,count_overall,combined
2,0,41,10.0,1.507863414111088,0.34146341463414637,2B,count_overall,combined
2,1,47,10.0,1.3229539244234199,0.5319148936170213,2B,count_overall,combined
2,2,35,10.0,1.2962567512336995,0.5142857142857142,2B,count_overall,combined
2,3,32,10.0,1.5053552972655275,0.4375,2B,count_overall,combined
2,4,36,10.0,1.614011279051845,0.3888888888888889,2B,count_overall,combined
3,0,40,10.0,1.374209501621789,0.45,2B,count_overall,combined
3,1,37,10.0,1.5141697836629904,0.3963963963963964,2B,count_overall,combined
3,2,41,10.0,1.3369982041708386,0.4634146341463415,2B,count_overall,combined
3,3,36,10.0,1.3984385973750821,0.537037037037037,2B,count_overall,combined
3,4,37,100.0,1.5777689022339403,0.27027027027027023,2B,count_overall,combined
4,0,38,10.0,1.3039513375288105,0.4385964912280701,2B,count_overall,combined
4,1,38,10.0,1.2711954431329868,0.48245614035087725,2B,count_overall,combined
4,2,40,10.0,1.4441663416182347,0.5166666666666666,2B,count_overall,combined
4,3,33,10.0,1.6366457608532032,0.40404040404040403,2B,count_overall,combined
4,4,42,10.0,1.4429469643944604,0.43650793650793646,2B,count_overall,combined
0,0,39,100.0,1.594508544471007,0.3162393162393163,2B,rate_overall,strategy
0,1,38,10000.0,1.5798505916641385,0.19298245614035087,2B,rate_overall,strategy
0,2,38,10000.0,1.8091829769865009,0.15789473684210523,2B,rate_overall,strategy
0,3,37,1000.0,1.8436720171327619,0.18918918918918917,2B,rate_overall,strategy
0,4,39,100.0,1.7133028717340528,0.2393162393162393,2B,rate_overall,strategy
1,0,37,1000.0,1.662083410122979,0.18018018018018017,2B,rate_overall,strategy
1,1,39,100.0,1.6875120594910356,0.21367521367521364,2B,rate_overall,strategy
