model,comparison,loss_mean_diff,loss_ci_lo,loss_ci_hi,loss_excludes_zero,agreement_mean_diff,agreement_ci_lo,agreement_ci_hi
2B,"Combined vs Strategy, overall counts",-0.2584402239007998,-0.3404661942755644,-0.1689872100866588,True,0.2338568935427574,0.18304641158011944,0.29019706872648043
2B,"Combined vs Strategy, overall rates",-0.22760467242797114,-0.307635968531844,-0.12602933781113423,True,0.21675392670157065,0.1659449732651742,0.27806672991777337
2B,"Enriched vs Strategy, overall counts",-0.25293721541517183,-0.32923511804065275,-0.17159316419513546,True,0.24188481675392673,0.18931681815481494,0.30064960838975174
2B,"Counts vs Rates, Combined",0.050470057917869994,-0.0016230269249651885,0.09909361607769288,False,-0.013961605584642232,-0.041844048386601586,0.02094298245614033
2B,"Temporal counts vs overall counts, Combined",0.013338609712111352,-0.02903955800914296,0.050543868345567705,False,0.01256544502617801,-0.010778443113772454,0.03859649122807017
2B,"Temporal rates vs overall rates, Combined",0.021978798284358624,-0.02666349178768722,0.0642765860742735,False,-0.011518324607329844,-0.039216246498599436,0.015452166461281312
4B,"Combined vs Strategy, overall counts",-0.2958221471756671,-0.36498519024500525,-0.21919375698260318,True,0.2198952879581152,0.16767856924188435,0.27509747577191795
4B,"Combined vs Strategy, overall rates",-0.32883727814662317,-0.41069882608890024,-0.24252816664984034,True,0.24921465968586384,0.18723914774990041,0.3160606973347937
4B,"Enriched vs Strategy, overall counts",-0.315088637985871,-0.38301293075713866,-0.23397809585915566,True,0.24592786503781264,0.18545006393190774,0.30500818112633177
4B,"Counts vs Rates, Combined",-0.012891790174181338,-0.055894621165985314,0.031205550729209632,False,0.008726003490401396,-0.012881493506493506,0.03412521312872971
4B,"Temporal counts vs overall counts, Combined",0.022399256253826157,-0.005119403083161184,0.04584818483963385,False,0.020593368237347295,-0.004065136073895952,0.042211884505033416
4B,"Temporal rates vs overall rates, Combined",-0.005039548561314374,-0.03179859440316094,0.021080750441060545,False,0.02024432809773124,-0.008421149026412183,0.048542658553351825
31B,"Combined vs Strategy, overall counts",-0.19596701049939388,-0.2710458584594602,-0.11675889036850554,True,0.16422338568935424,0.08426720440231832,0.23831922267820807
31B,"Combined vs Strategy, overall rates",-0.13206654618785338,-0.21413398094945152,-0.051999038180010095,True,0.17574171029668414,0.11303455630835876,0.23121061963419182
31B,"Enriched vs Strategy, overall counts",-0.2203357856691746,-0.2985303130337688,-0.13083929415109508,True,0.18659685863874345,0.1143895105296379,0.25398265919428203
31B,"Counts vs Rates, Combined",0.07280105865794456,0.016762995422805713,0.1286816246587956,True,-0.0010471204188481696,-0.023605487071911756,0.023906607511579882
31B,"Temporal counts vs overall counts, Combined",0.006551343162320286,-0.017841445573801625,0.030558404810968148,False,-0.019197207678883072,-0.05493679527836505,0.017981738802827798
31B,"Temporal rates vs overall rates, Combined",0.034206097566354406,0.015719416178265756,0.05431673405506531,True,-0.033856893542757414,-0.057540977116161206,-0.01156649692796864
