model,representation,block,mean_loss,mean_agreement,null_loss,delta_loss_vs_null,delta_loss_ci_lo,delta_loss_ci_hi,improves_over_null
2B,count_overall,combined,1.4307744772453115,0.4471204188481675,1.701788380960106,0.27101390371479434,0.18213546163231617,0.35746958455739636,True
2B,count_overall,enriched,1.4362774857309395,0.45514834205933685,1.701788380960106,0.2655108952291663,0.18395486629255536,0.3466945278311251,True
2B,count_overall,strategy,1.6892147011461114,0.2132635253054101,1.701788380960106,0.012573679813994548,-0.00797923244557301,0.03607062575622435,False
2B,count_temporal,combined,1.4441130869574226,0.4596858638743455,1.701788380960106,0.257675294002683,0.18004840582389628,0.33762603279046044,True
2B,count_temporal,enriched,1.4506120225008092,0.44677137870855155,1.701788380960106,0.2511763584592966,0.16966354744784148,0.3310011695573808,True
2B,count_temporal,strategy,1.6663658667527352,0.25200698080279227,1.701788380960106,0.03542251420737097,0.00429749781269998,0.07284967349839053,True
2B,rate_overall,combined,1.481244535163182,0.4331588132635253,1.701788380960106,0.22054384579692435,0.11785946211661269,0.3060262142171066,True
2B,rate_overall,enriched,1.4780422141110063,0.4118673647469459,1.701788380960106,0.2237461668490996,0.1206640936548752,0.3102451275625774,True
2B,rate_overall,strategy,1.7088492075911528,0.2164048865619546,1.701788380960106,-0.007060826631046779,-0.03176091866327825,0.01046352554773995,False
2B,rate_temporal,combined,1.50322333344754,0.42164048865619547,1.701788380960106,0.1985650475125657,0.11579840001037467,0.28296651190315536,True
2B,rate_temporal,enriched,1.5057022959775992,0.41710296684118675,1.701788380960106,0.19608608498250693,0.10459825310213479,0.2883497221471384,True
2B,rate_temporal,strategy,1.7129954723009133,0.23350785340314137,1.701788380960106,-0.011207091340807284,-0.052052617415606454,0.02032455253922436,False
31B,count_overall,combined,1.4941206383783807,0.39685863874345556,1.6924731338755676,0.19835249549718711,0.11704375340740385,0.27621128527241345,True
31B,count_overall,enriched,1.4697518632085997,0.41923211169284463,1.6924731338755676,0.22272127066696787,0.13465208425813643,0.3006311552832173,True
31B,count_overall,strategy,1.6900876488777745,0.2326352530541012,1.6924731338755676,0.0023854849977932692,-0.015208671625710359,0.02156283159452019,False
31B,count_temporal,combined,1.5006719815407012,0.3776614310645724,1.6924731338755676,0.19180115233486686,0.11293961322473109,0.2667967745751262,True
31B,count_temporal,enriched,1.47761949502947,0.4037230948225712,1.6924731338755676,0.21485363884609762,0.137220950376275,0.28767790545448063,True
31B,count_temporal,strategy,1.6934668933376615,0.23036649214659685,1.6924731338755676,-0.0009937594620942085,-0.016798545485523578,0.014573766694306593,False
31B,rate_overall,combined,1.5669216970363251,0.3958115183246073,1.6924731338755676,0.12555143683924258,0.04602181554576753,0.21025212082440428,True
31B,rate_overall,enriched,1.5537205003778247,0.4050319953461315,1.6924731338755676,0.13875263349774297,0.05446845534080426,0.225200847549792,True
31B,rate_overall,strategy,1.6989882432241783,0.2200698080279232,1.6924731338755676,-0.006515109348610803,-0.01947043763580058,0.0024841384490590502,False
31B,rate_temporal,combined,1.6011277946026796,0.36195462478184987,1.6924731338755676,0.09134533927288815,0.016766366024397943,0.16793959625576452,True
31B,rate_temporal,enriched,1.5562286691357536,0.3803374054682955,1.6924731338755676,0.1362444647398142,0.05474285673443757,0.2215762458552247,True
31B,rate_temporal,strategy,1.6975405835613508,0.19895287958115182,1.6924731338755676,-0.005067449685783204,-0.013881792926530937,0.0010070588876584686,False
4B,count_overall,combined,1.3341197130232554,0.4966841186736474,1.6417503108881848,0.30763059786492963,0.22387688104010914,0.389106460358751,True
4B,count_overall,enriched,1.3148532222130518,0.5227166957533449,1.6417503108881848,0.3268970886751334,0.24335655052572472,0.4042991230048023,True
4B,count_overall,strategy,1.6299418601989224,0.2767888307155323,1.6417503108881848,0.011808450689262406,-0.015949983368152364,0.04581220551750463,False
4B,count_temporal,combined,1.3565189692770816,0.5172774869109948,1.6417503108881848,0.2852313416111034,0.2149057176935936,0.3584611319041374,True
4B,count_temporal,enriched,1.3518868029522089,0.49828388598022105,1.6417503108881848,0.2898635079359761,0.2060268584957197,0.3679449492424198,True
4B,count_temporal,strategy,1.6118123476072275,0.29109947643979056,1.6417503108881848,0.029937963280957616,-0.0038437314496178295,0.07045265843752065,False
4B,rate_overall,combined,1.321227922849074,0.5054101221640489,1.6417503108881848,0.32052238803911104,0.2327912809813302,0.40734371472144654,True
4B,rate_overall,enriched,1.3084135778551933,0.5154450261780105,1.6417503108881848,0.3333367330329917,0.24453006783622164,0.41783486005398063,True
4B,rate_overall,strategy,1.650065200995697,0.25619546247818503,1.6417503108881848,-0.008314890107512267,-0.03408709675390229,0.01183708639179992,False
4B,rate_temporal,combined,1.3161883742877596,0.5256544502617801,1.6417503108881848,0.3255619366004253,0.24355822748266984,0.40621274449102834,True
4B,rate_temporal,enriched,1.3216220145709485,0.5147469458987783,1.6417503108881848,0.32012829631723655,0.2288990775702313,0.4062849388130576,True
4B,rate_temporal,strategy,1.6396244945937262,0.27015706806282724,1.6417503108881848,0.002125816294458636,-0.029921815357919497,0.0293259386176681,False
