model,block,kind,temporal_loss,overall_loss,delta_temporal_minus_overall,ci_lo,ci_hi,excludes_zero
2B,strategy,counts,1.6663658667527352,1.6892147011461114,-0.022848834393376417,-0.04558736303588034,-0.0019511023508964748,True
2B,strategy,rates,1.7129954723009133,1.7088492075911528,0.004146264709760504,-0.012843277729826838,0.023505932485129614,False
2B,enriched,counts,1.4506120225008092,1.4362774857309395,0.014334536769869802,-0.022777359825655093,0.050204339112485466,False
2B,enriched,rates,1.5057022959775992,1.4780422141110063,0.027660081866592662,-0.017838840756994136,0.06848812822555371,False
2B,combined,counts,1.4441130869574226,1.4307744772453115,0.013338609712111352,-0.02903955800914296,0.050543868345567705,False
2B,combined,rates,1.50322333344754,1.481244535163182,0.021978798284358624,-0.02666349178768722,0.0642765860742735,False
4B,strategy,counts,1.6118123476072275,1.6299418601989224,-0.018129512591695214,-0.04095126538485976,0.003778748280391898,False
4B,strategy,rates,1.6396244945937262,1.650065200995697,-0.010440706401970902,-0.022738985444378038,0.0005260905053947275,False
4B,enriched,counts,1.3518868029522089,1.3148532222130518,0.03703358073915738,0.02197006169715475,0.05408597400486043,True
4B,enriched,rates,1.3216220145709485,1.3084135778551933,0.013208436715755147,-0.006507903685156503,0.03419011195644386,False
4B,combined,counts,1.3565189692770816,1.3341197130232554,0.022399256253826157,-0.005119403083161184,0.04584818483963385,False
4B,combined,rates,1.3161883742877596,1.321227922849074,-0.005039548561314374,-0.03179859440316094,0.021080750441060545,False
31B,strategy,counts,1.6934668933376615,1.6900876488777745,0.0033792444598874775,-0.008443196561082276,0.016504778310650496,False
31B,strategy,rates,1.6975405835613508,1.6989882432241783,-0.0014476596628275997,-0.006332850137768466,0.002606016768017596,False
31B,enriched,counts,1.47761949502947,1.4697518632085997,0.007867631820870243,-0.02307190524508655,0.03349994146744791,False
31B,enriched,rates,1.5562286691357536,1.5537205003778247,0.002508168757928848,-0.01608408063295139,0.022049290711264945,False
31B,combined,counts,1.5006719815407012,1.4941206383783807,0.006551343162320286,-0.017841445573801625,0.030558404810968148,False
31B,combined,rates,1.6011277946026796,1.5669216970363251,0.034206097566354406,0.015719416178265756,0.05431673405506531,True
