model,representation,block,loss_ft_minus_base,loss_ci_lo,loss_ci_hi,loss_excludes_zero,agree_ft_minus_base,agree_ci_lo,agree_ci_hi,agree_excludes_zero
2B,count_overall,strategy,-0.022115998549177656,-0.042813632578568524,-0.001306637760086924,True,0.00982456140350877,-0.02363399470899471,0.046087448289652916,False
2B,count_overall,enriched,-0.009940577159762572,-0.09409662613802891,0.07178162777678314,False,0.023508771929824566,-0.025085290505794774,0.07126528981498555,False
2B,count_overall,combined,-0.026948467016085387,-0.1060356097144627,0.04642521793301572,False,0.017894736842105262,-0.033684312810945284,0.068732797316628,False
2B,rate_overall,strategy,-0.008032182500841313,-0.02370718374342584,0.008086609136556346,False,0.02421052631578948,-0.018494685810180867,0.06793117699910149,False
2B,rate_overall,enriched,-0.03409045838554177,-0.11867675810738187,0.03847993608980608,False,0.05614035087719299,0.004369246953624968,0.112822695035461,True
2B,rate_overall,combined,-0.04320599008663814,-0.1315001298622097,0.029583252797484322,False,0.013333333333333332,-0.028991206643869075,0.05709366807824156,False
2B,-,null_model,-0.00513902202311287,-0.019526989974088818,0.00805371607465747,False,,,,False
4B,count_overall,strategy,-0.06294269138570534,-0.10631066755566773,-0.011773661359313008,True,0.04607329842931936,-0.009280131589975699,0.09470611684457633,False
4B,count_overall,enriched,-0.11776501621251798,-0.21786449218794257,-0.0282824992586555,True,0.050494473531122755,0.010534789195580683,0.09642262559589293,True
4B,count_overall,combined,-0.12687540790762722,-0.2227538227942892,-0.03744880738175677,True,0.04956369982547992,0.010579632602104509,0.09035098851188886,True
4B,rate_overall,strategy,-0.05952275531530429,-0.09427843718888897,-0.02138334410773149,True,0.04956369982547994,0.010396359570974395,0.08807884485094848,True
4B,rate_overall,enriched,-0.09843415113882636,-0.18991516724821328,-0.012355242204994532,True,0.05514834205933682,0.017720357891835313,0.09030537414663761,True
4B,rate_overall,combined,-0.10503654363210008,-0.19475759149863284,-0.022523831234539157,True,0.04293193717277487,0.0057458984183122105,0.0757261842790213,True
4B,-,null_model,-0.04721833466405564,-0.08805407433650633,0.004559278321581063,False,,,,False
31B,count_overall,strategy,-0.022897687380296926,-0.050922825712719944,0.001797242067346048,False,-0.016134751773049644,-0.05010546808870831,0.02261986977111286,False
31B,count_overall,enriched,-0.07148953719304237,-0.17186352024204798,0.01489590010239443,False,0.017807328605200946,-0.014070991591080877,0.05330870098039215,False
31B,count_overall,combined,-0.06342783594454876,-0.15245842784617247,0.01135952675956855,False,0.014184397163120564,-0.02082219681571816,0.05333333333333334,False
31B,rate_overall,strategy,-0.029024597550974394,-0.05250802784407348,-0.010055320306846733,True,0.004078014184397168,-0.029631860776439093,0.04074631860776436,False
31B,rate_overall,enriched,-0.07354962625343735,-0.12743327517255248,-0.0310640602292057,True,0.035768321513002355,-0.0011310825200511916,0.07567440329218106,False
31B,rate_overall,combined,-0.07284304321408278,-0.1265449174955927,-0.028837144095922616,True,0.025177304964539002,-0.018035821535821533,0.06535503629764063,False
31B,-,null_model,-0.030092928743699943,-0.05052536670117945,-0.013161906698163568,True,,,,False
