model,stage,representation,block,n_games,mean_loss,mean_agreement,null_loss,delta_loss_vs_null,ci_lo,ci_hi,improves_over_null,selected_penalties
2B,BASE,count_overall,strategy,190,1.687218915005943,0.21438596491228068,1.7016370315549472,0.014418116549004111,-0.0071972245957521875,0.03929483621042996,False,"{""100.0"": 18, ""10.0"": 6, ""1000.0"": 1}"
2B,BASE,count_overall,enriched,190,1.435957422813815,0.4575438596491228,1.7016370315549472,0.26567960874113206,0.18499121358702003,0.34754216928850235,True,"{""10.0"": 23, ""100.0"": 1, ""1.0"": 1}"
2B,BASE,count_overall,combined,190,1.435212393456503,0.45157894736842114,1.7016370315549472,0.2664246380984443,0.1773607216116328,0.35067629098641695,True,"{""10.0"": 20, ""100.0"": 4, ""1.0"": 1}"
2B,BASE,rate_overall,strategy,190,1.707971431181368,0.2192982456140351,1.7016370315549472,-0.006334399626421154,-0.028207149496645705,0.010002334374665536,False,"{""100.0"": 9, ""1000.0"": 8, ""10000.0"": 8}"
2B,BASE,rate_overall,enriched,190,1.4785008669994064,0.41508771929824567,1.7016370315549472,0.22313616455554047,0.11925164952455657,0.31075781248514617,True,"{""10.0"": 18, ""100.0"": 7}"
2B,BASE,rate_overall,combined,190,1.4844785878464832,0.4340350877192983,1.7016370315549472,0.2171584437084637,0.10869222742622273,0.30620962178407746,True,"{""10.0"": 16, ""100.0"": 9}"
2B,FT,count_overall,strategy,190,1.6651029164567654,0.22421052631578944,1.6964980095318347,0.031395093075068894,0.0010791240358588887,0.06184354242180772,True,"{""100.0"": 19, ""10.0"": 6}"
2B,FT,count_overall,enriched,190,1.4260168456540525,0.4810526315789474,1.6964980095318347,0.27048116387778176,0.18508230292173128,0.3566393804680252,True,"{""10.0"": 20, ""100.0"": 5}"
2B,FT,count_overall,combined,190,1.4082639264404175,0.4694736842105263,1.6964980095318347,0.2882340830914169,0.2040922640197609,0.3704652182099032,True,"{""10.0"": 20, ""100.0"": 5}"
2B,FT,rate_overall,strategy,190,1.6999392486805271,0.24350877192982456,1.6964980095318347,-0.003441239148692709,-0.037785663720964556,0.02325839900456328,False,"{""100.0"": 13, ""1000.0"": 9, ""10000.0"": 3}"
2B,FT,rate_overall,enriched,190,1.4444104086138647,0.47122807017543866,1.6964980095318347,0.2520876009179694,0.17467167593530783,0.33810802313494426,True,"{""10.0"": 20, ""100.0"": 4, ""1.0"": 1}"
2B,FT,rate_overall,combined,190,1.4412725977598455,0.44736842105263164,1.6964980095318347,0.255225411771989,0.1814714833889916,0.337284928593175,True,"{""10.0"": 17, ""100.0"": 8}"
4B,BASE,count_overall,strategy,191,1.6299418601989224,0.2767888307155323,1.6417503108881848,0.011808450689262406,-0.015949983368152364,0.04581220551750463,False,"{""100.0"": 19, ""10.0"": 4, ""1000.0"": 2}"
4B,BASE,count_overall,enriched,191,1.3148532222130518,0.5227166957533449,1.6417503108881848,0.3268970886751334,0.24335655052572472,0.4042991230048023,True,"{""10.0"": 23, ""1.0"": 1, ""100.0"": 1}"
4B,BASE,count_overall,combined,191,1.3341197130232554,0.4966841186736474,1.6417503108881848,0.30763059786492963,0.22387688104010914,0.389106460358751,True,"{""10.0"": 23, ""100.0"": 2}"
4B,BASE,rate_overall,strategy,191,1.650065200995697,0.25619546247818503,1.6417503108881848,-0.008314890107512267,-0.03408709675390229,0.01183708639179992,False,"{""100.0"": 10, ""10000.0"": 7, ""1000.0"": 7, ""10.0"": 1}"
4B,BASE,rate_overall,enriched,191,1.3084135778551933,0.5154450261780105,1.6417503108881848,0.3333367330329917,0.24453006783622164,0.41783486005398063,True,"{""10.0"": 20, ""1.0"": 5}"
4B,BASE,rate_overall,combined,191,1.321227922849074,0.5054101221640489,1.6417503108881848,0.32052238803911104,0.2327912809813302,0.40734371472144654,True,"{""10.0"": 22, ""100.0"": 2, ""1.0"": 1}"
4B,FT,count_overall,strategy,191,1.5669991688132172,0.3228621291448517,1.5945319762241297,0.027532807410912092,-0.005360436861258114,0.06354009938271643,False,"{""100.0"": 17, ""10.0"": 7, ""1000.0"": 1}"
4B,FT,count_overall,enriched,191,1.1970882060005337,0.5732111692844678,1.5945319762241297,0.3974437702235957,0.3193951133281679,0.4865372893621381,True,"{""10.0"": 21, ""1.0"": 4}"
4B,FT,count_overall,combined,191,1.207244305115628,0.5462478184991274,1.5945319762241297,0.3872876711085012,0.30806565706489325,0.4793053934202864,True,"{""10.0"": 24, ""1.0"": 1}"
4B,FT,rate_overall,strategy,191,1.590542445680393,0.3057591623036649,1.5945319762241297,0.0039895305437363665,-0.014107066854625016,0.022948153092984196,False,"{""100.0"": 12, ""1000.0"": 10, ""10.0"": 2, ""10000.0"": 1}"
4B,FT,rate_overall,enriched,191,1.209979426716367,0.5705933682373474,1.5945319762241297,0.3845525495077624,0.305264684479251,0.46900921824194614,True,"{""10.0"": 19, ""1.0"": 5, ""0.01"": 1}"
4B,FT,rate_overall,combined,191,1.2161913792169738,0.5483420593368238,1.5945319762241297,0.3783405970071554,0.295832193718789,0.4659044209247767,True,"{""10.0"": 23, ""100.0"": 1, ""1.0"": 1}"
31B,BASE,count_overall,strategy,188,1.6871988094728305,0.24131205673758865,1.6930722777918108,0.005873468318980197,-0.017232083251918533,0.031096104796376114,False,"{""100.0"": 15, ""10.0"": 6, ""1000.0"": 2, ""10000.0"": 2}"
31B,BASE,count_overall,enriched,188,1.469170588626705,0.4224468085106382,1.6930722777918108,0.2239016891651053,0.13754115998955072,0.30197893509537993,True,"{""10.0"": 21, ""100.0"": 3, ""1.0"": 1}"
31B,BASE,count_overall,combined,188,1.4902495434626257,0.4046099290780142,1.6930722777918108,0.20282273432918488,0.11904646697000504,0.282471614704622,True,"{""100.0"": 15, ""10.0"": 9, ""1.0"": 1}"
31B,BASE,rate_overall,strategy,188,1.699757721659127,0.23138297872340424,1.6930722777918108,-0.006685443867316744,-0.024863218690027063,0.005273117947026382,False,"{""10000.0"": 10, ""1000.0"": 8, ""100.0"": 7}"
31B,BASE,rate_overall,enriched,188,1.55095820085255,0.4039775413711584,1.6930722777918108,0.14211407693926054,0.06721491588943301,0.2245166914368669,True,"{""100.0"": 21, ""10.0"": 4}"
31B,BASE,rate_overall,combined,188,1.568676489767491,0.39751773049645384,1.6930722777918108,0.12439578802431954,0.03991020425836674,0.21229130949660616,True,"{""100.0"": 23, ""10.0"": 2}"
31B,FT,count_overall,strategy,188,1.6643011220925337,0.22517730496453897,1.6629793490481108,-0.0013217730444228238,-0.02587088536418693,0.023731548304553443,False,"{""100.0"": 13, ""1000.0"": 6, ""10000.0"": 3, ""10.0"": 3}"
31B,FT,count_overall,enriched,188,1.397681051433663,0.4402541371158393,1.6629793490481108,0.2652982976144477,0.1726734861720701,0.3677071911535229,True,"{""10.0"": 22, ""1.0"": 2, ""100.0"": 1}"
31B,FT,count_overall,combined,188,1.426821707518077,0.4187943262411348,1.6629793490481108,0.23615764153003369,0.14721927063154183,0.34141750088942774,True,"{""100.0"": 13, ""10.0"": 12}"
