model,representation,block,base_gain_vs_null,ft_gain_vs_null,delta_gain_ft_minus_base,ci_lo,ci_hi,excludes_zero
2B,count_overall,strategy,0.014418116549004111,0.031395093075068894,0.01697697652606479,-0.0011746837989798386,0.03607690257647609,False
2B,count_overall,enriched,0.26567960874113206,0.27048116387778176,0.004801555136649702,-0.07516295224406769,0.08829931882230246,False
2B,count_overall,combined,0.2664246380984443,0.2882340830914169,0.021809444992972517,-0.051914291185316895,0.09972821366924979,False
2B,rate_overall,strategy,-0.006334399626421154,-0.003441239148692709,0.0028931604777284446,-0.010577540937399712,0.01547622620057116,False
2B,rate_overall,enriched,0.22313616455554047,0.2520876009179694,0.028951436362428896,-0.0434218077802499,0.11619869830584435,False
2B,rate_overall,combined,0.2171584437084637,0.255225411771989,0.038066968063525275,-0.03422445526726386,0.12796693923789096,False
4B,count_overall,strategy,0.011808450689262406,0.027532807410912092,0.01572435672164969,-0.006304446041856027,0.035861453147841504,False
4B,count_overall,enriched,0.3268970886751334,0.3974437702235957,0.07054668154846232,-0.002561625297405564,0.15443777614377016,False
4B,count_overall,combined,0.30763059786492963,0.3872876711085012,0.07965707324357159,0.002050467763393785,0.16294776683274495,True
4B,rate_overall,strategy,-0.008314890107512267,0.0039895305437363665,0.012304420651248631,-0.00678042200107518,0.032874783000174025,False
4B,rate_overall,enriched,0.3333367330329917,0.3845525495077624,0.05121581647477072,-0.01596781618028145,0.13178670394624953,False
4B,rate_overall,combined,0.32052238803911104,0.3783405970071554,0.057818208968044446,-0.01002697261795123,0.13793358616983686,False
31B,count_overall,strategy,0.005873468318980197,-0.0013217730444228238,-0.00719524136340302,-0.02263970843805857,0.011452215093543988,False
31B,count_overall,enriched,0.2239016891651053,0.2652982976144477,0.04139660844934244,-0.040613726523324484,0.13402470644024223,False
31B,count_overall,combined,0.20282273432918488,0.23615764153003369,0.033334907200848814,-0.0368359474933713,0.11815135278245929,False
31B,rate_overall,strategy,-0.006685443867316744,-0.007753775060042294,-0.001068331192725551,-0.006015998025633685,0.004492997581963943,False
31B,rate_overall,enriched,0.14211407693926054,0.18557077444899792,0.04345669750973739,0.007187688389758001,0.09018021393681168,True
31B,rate_overall,combined,0.12439578802431954,0.16714590249470235,0.04275011447038282,0.005367599436207899,0.09097967689700086,True
