form,n_candidates,n_accepted,n_rejected_nosense,pct_accepted
and,2518,550,1968,21.84
since,517,517,0,100.0
while,390,390,0,100.0
therefore,198,198,0,100.0
however,178,178,0,100.0
although,137,137,0,100.0
if,160,125,35,78.12
but,139,118,21,84.89
also,114,112,2,98.25
furthermore,90,90,0,100.0
later,95,88,7,92.63
as,494,77,417,15.59
because,34,33,1,97.06
then,30,26,4,86.67
ultimately,22,20,2,90.91
nor,20,19,1,95.0
specifically,92,17,75,18.48
so,21,15,6,71.43
when,14,14,0,100.0
after,16,13,3,81.25
or,394,11,383,2.79
before,8,6,2,75.0
previously,8,3,5,37.5
yet,3,3,0,100.0
thereby,3,3,0,100.0
though,3,3,0,100.0
if then,2,2,0,100.0
simultaneously,3,2,1,66.67
unless,2,2,0,100.0
finally,3,2,1,66.67
alternatively,1,1,0,100.0
consequently,1,1,0,100.0
thus,1,1,0,100.0
thereafter,1,1,0,100.0
further,6,1,5,16.67
otherwise,1,1,0,100.0
as long as,1,0,1,0.0
else,2,0,2,0.0
either or,25,0,25,0.0
earlier,14,0,14,0.0
for,791,0,791,0.0
rather,16,0,16,0.0
regardless,6,0,6,0.0
indeed,18,0,18,0.0
in particular,2,0,2,0.0
in fact,1,0,1,0.0
overall,4,0,4,0.0
still,10,0,10,0.0
