model,category,n_mixed_games,n_games_category_in_correct_only,n_games_category_in_incorrect_only,mean_share_correct_runs,mean_share_incorrect_runs,delta_within,ci_low,ci_high,ci_excludes_zero,n_replicates,seed
Gemma 4 2B,Mechanical,61,3,3,0.03278688524590164,0.03278688524590164,0.0,-0.05737704918032787,0.05737704918032787,False,10000,20260826
Gemma 4 2B,Testimony,61,8,11,0.5573770491803278,0.5491803278688525,0.00819672131147541,-0.11475409836065574,0.12295081967213115,False,10000,20260826
Gemma 4 2B,SocialJudgment,61,12,14,0.6311475409836066,0.5737704918032787,0.05737704918032787,-0.09016393442622951,0.21311475409836064,False,10000,20260826
Gemma 4 2B,Behavioral,61,12,15,0.1557377049180328,0.1557377049180328,0.0,-0.10655737704918032,0.10655737704918032,False,10000,20260826
Gemma 4 2B,ClaimComparison,61,5,10,0.08196721311475409,0.09836065573770492,-0.01639344262295082,-0.09836065573770492,0.07377049180327869,False,10000,20260826
Gemma 4 2B,Payoff,61,8,6,0.8360655737704918,0.8032786885245902,0.03278688524590164,-0.09016393442622951,0.1557377049180328,False,10000,20260826
Gemma 4 2B,Uncertainty,61,8,16,0.5655737704918032,0.639344262295082,-0.07377049180327869,-0.22131147540983606,0.07377049180327869,False,10000,20260826
Gemma 4 4B,Mechanical,77,5,11,0.05194805194805195,0.09740259740259741,-0.045454545454545456,-0.12337662337662338,0.032467532467532464,False,10000,20260826
Gemma 4 4B,Testimony,77,23,10,0.6623376623376623,0.4805194805194805,0.18181818181818182,0.05194805194805195,0.311850649350647,True,10000,20260826
Gemma 4 4B,SocialJudgment,77,26,19,0.512987012987013,0.38961038961038963,0.12337662337662338,-0.032467532467532464,0.2792207792207792,False,10000,20260826
Gemma 4 4B,Behavioral,77,19,27,0.2792207792207792,0.34415584415584416,-0.06493506493506493,-0.2077922077922078,0.07142857142857142,False,10000,20260826
Gemma 4 4B,ClaimComparison,77,10,9,0.12987012987012986,0.12337662337662338,0.006493506493506494,-0.09090909090909091,0.1038961038961039,False,10000,20260826
Gemma 4 4B,Payoff,77,24,20,0.6103896103896104,0.551948051948052,0.05844155844155844,-0.09090909090909091,0.2077922077922078,False,10000,20260826
Gemma 4 4B,Uncertainty,77,11,26,0.5454545454545454,0.7207792207792207,-0.17532467532467533,-0.3246753246753247,-0.01948051948051948,True,10000,20260826
