model,decoding_group,run_label,category,is_substantive,n_justifications,n_present,prevalence
Gemma 4 2B,Stochastic,run_1,Mechanical,True,189,6,0.031746031746031744
Gemma 4 2B,Stochastic,run_1,Testimony,True,189,106,0.5608465608465608
Gemma 4 2B,Stochastic,run_1,SocialJudgment,True,189,122,0.6455026455026455
Gemma 4 2B,Stochastic,run_1,Behavioral,True,189,35,0.18518518518518517
Gemma 4 2B,Stochastic,run_1,ClaimComparison,True,189,16,0.08465608465608465
Gemma 4 2B,Stochastic,run_1,Payoff,True,189,157,0.8306878306878307
Gemma 4 2B,Stochastic,run_1,Uncertainty,True,189,115,0.6084656084656085
Gemma 4 2B,Stochastic,run_1,Other,False,189,2,0.010582010582010581
Gemma 4 2B,Stochastic,run_2,Mechanical,True,191,6,0.031413612565445025
Gemma 4 2B,Stochastic,run_2,Testimony,True,191,106,0.5549738219895288
Gemma 4 2B,Stochastic,run_2,SocialJudgment,True,191,117,0.612565445026178
Gemma 4 2B,Stochastic,run_2,Behavioral,True,191,28,0.14659685863874344
Gemma 4 2B,Stochastic,run_2,ClaimComparison,True,191,10,0.05235602094240838
Gemma 4 2B,Stochastic,run_2,Payoff,True,191,167,0.8743455497382199
Gemma 4 2B,Stochastic,run_2,Uncertainty,True,191,111,0.581151832460733
Gemma 4 2B,Stochastic,run_2,Other,False,191,3,0.015706806282722512
Gemma 4 2B,Stochastic,run_3,Mechanical,True,191,12,0.06282722513089005
Gemma 4 2B,Stochastic,run_3,Testimony,True,191,104,0.5445026178010471
Gemma 4 2B,Stochastic,run_3,SocialJudgment,True,191,101,0.5287958115183246
Gemma 4 2B,Stochastic,run_3,Behavioral,True,191,25,0.13089005235602094
Gemma 4 2B,Stochastic,run_3,ClaimComparison,True,191,16,0.08376963350785341
Gemma 4 2B,Stochastic,run_3,Payoff,True,191,170,0.8900523560209425
Gemma 4 2B,Stochastic,run_3,Uncertainty,True,191,108,0.5654450261780105
Gemma 4 2B,Stochastic,run_3,Other,False,191,0,0.0
Gemma 4 4B,Stochastic,run_1,Mechanical,True,191,10,0.05235602094240838
Gemma 4 4B,Stochastic,run_1,Testimony,True,191,106,0.5549738219895288
Gemma 4 4B,Stochastic,run_1,SocialJudgment,True,191,97,0.5078534031413613
Gemma 4 4B,Stochastic,run_1,Behavioral,True,191,47,0.24607329842931938
Gemma 4 4B,Stochastic,run_1,ClaimComparison,True,191,23,0.12041884816753927
Gemma 4 4B,Stochastic,run_1,Payoff,True,191,115,0.6020942408376964
Gemma 4 4B,Stochastic,run_1,Uncertainty,True,191,112,0.5863874345549738
Gemma 4 4B,Stochastic,run_1,Other,False,191,5,0.02617801047120419
Gemma 4 4B,Stochastic,run_2,Mechanical,True,191,18,0.09424083769633508
Gemma 4 4B,Stochastic,run_2,Testimony,True,191,114,0.5968586387434555
Gemma 4 4B,Stochastic,run_2,SocialJudgment,True,191,97,0.5078534031413613
Gemma 4 4B,Stochastic,run_2,Behavioral,True,191,41,0.21465968586387435
Gemma 4 4B,Stochastic,run_2,ClaimComparison,True,191,13,0.06806282722513089
Gemma 4 4B,Stochastic,run_2,Payoff,True,191,122,0.6387434554973822
Gemma 4 4B,Stochastic,run_2,Uncertainty,True,191,112,0.5863874345549738
Gemma 4 4B,Stochastic,run_2,Other,False,191,1,0.005235602094240838
Gemma 4 4B,Stochastic,run_3,Mechanical,True,191,14,0.07329842931937172
Gemma 4 4B,Stochastic,run_3,Testimony,True,191,110,0.5759162303664922
Gemma 4 4B,Stochastic,run_3,SocialJudgment,True,191,99,0.518324607329843
Gemma 4 4B,Stochastic,run_3,Behavioral,True,191,57,0.29842931937172773
Gemma 4 4B,Stochastic,run_3,ClaimComparison,True,191,21,0.1099476439790576
Gemma 4 4B,Stochastic,run_3,Payoff,True,191,126,0.6596858638743456
Gemma 4 4B,Stochastic,run_3,Uncertainty,True,191,105,0.5497382198952879
Gemma 4 4B,Stochastic,run_3,Other,False,191,1,0.005235602094240838
