model,decoding_group,category,is_substantive,n_runs,prevalence_mean,prevalence_sd,prevalence_min,prevalence_max,n_present_mean
Gemma 4 2B,Stochastic,Mechanical,True,3,0.041995623147455606,0.01804146215042112,0.031413612565445025,0.06282722513089005,8.0
Gemma 4 2B,Stochastic,Testimony,True,3,0.553441000212379,0.008279086635561162,0.5445026178010471,0.5608465608465608,105.33333333333333
Gemma 4 2B,Stochastic,SocialJudgment,True,3,0.5956213006823826,0.06017016948055315,0.5287958115183246,0.6455026455026455,113.33333333333333
Gemma 4 2B,Stochastic,Behavioral,True,3,0.15422403205998317,0.02793959006557534,0.13089005235602094,0.18518518518518517,29.333333333333332
Gemma 4 2B,Stochastic,ClaimComparison,True,3,0.07359391303544881,0.01839789374701007,0.05235602094240838,0.08465608465608465,14.0
Gemma 4 2B,Stochastic,Payoff,True,3,0.8650285788156644,0.030759407949198663,0.8306878306878307,0.8900523560209425,164.66666666666666
Gemma 4 2B,Stochastic,Uncertainty,True,3,0.5850208223681174,0.021769690794050764,0.5654450261780105,0.6084656084656085,111.33333333333333
Gemma 4 2B,Stochastic,Other,False,3,0.008762938954911032,0.008009850628390757,0.0,0.015706806282722512,1.6666666666666667
Gemma 4 4B,Stochastic,Mechanical,True,3,0.07329842931937174,0.020942408376963352,0.05235602094240838,0.09424083769633508,14.0
Gemma 4 4B,Stochastic,Testimony,True,3,0.5759162303664921,0.020942408376963317,0.5549738219895288,0.5968586387434555,110.0
Gemma 4 4B,Stochastic,SocialJudgment,True,3,0.5113438045375219,0.006045552556959439,0.5078534031413613,0.518324607329843,97.66666666666667
Gemma 4 4B,Stochastic,Behavioral,True,3,0.25305410122164046,0.042318867898716014,0.21465968586387435,0.29842931937172773,48.333333333333336
Gemma 4 4B,Stochastic,ClaimComparison,True,3,0.09947643979057592,0.027704202210100427,0.06806282722513089,0.12041884816753927,19.0
Gemma 4 4B,Stochastic,Payoff,True,3,0.6335078534031414,0.029150598758272365,0.6020942408376964,0.6596858638743456,121.0
Gemma 4 4B,Stochastic,Uncertainty,True,3,0.5741710296684118,0.021159433949358004,0.5497382198952879,0.5863874345549738,109.66666666666667
Gemma 4 4B,Stochastic,Other,False,3,0.012216404886561954,0.012091105113918863,0.005235602094240838,0.02617801047120419,2.3333333333333335
