model,decoding_group,category,n_runs,density_mean,density_sd
Gemma 4 2B,Stochastic,Mechanical,3,1.35690592140193,0.6645044202659919
Gemma 4 2B,Stochastic,Testimony,3,24.76871843535311,0.2013042117752353
Gemma 4 2B,Stochastic,SocialJudgment,3,33.76673411387744,2.022023717594861
Gemma 4 2B,Stochastic,Behavioral,3,5.800874004872754,1.0590268519101576
Gemma 4 2B,Stochastic,ClaimComparison,3,2.6050490594479006,0.724439916350638
Gemma 4 2B,Stochastic,Payoff,3,32.90189818669842,2.8058560947253093
Gemma 4 2B,Stochastic,Uncertainty,3,30.904467899060084,2.18440831464352
Gemma 4 4B,Stochastic,Mechanical,3,1.932882584299995,0.5459430079934535
Gemma 4 4B,Stochastic,Testimony,3,25.61848789927411,1.0234100399399955
Gemma 4 4B,Stochastic,SocialJudgment,3,28.820696135662505,0.6441985766329175
Gemma 4 4B,Stochastic,Behavioral,3,9.451333335492173,1.2457432884555353
Gemma 4 4B,Stochastic,ClaimComparison,3,3.6500310030975887,1.1330259905797477
Gemma 4 4B,Stochastic,Payoff,3,18.676713664540852,1.3944027853589833
Gemma 4 4B,Stochastic,Uncertainty,3,29.782613482048166,1.701541429836906
