model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,joint_prevalence_sd,prevalence_a_mean,prevalence_b_mean
Gemma 4 2B,Stochastic,Behavioral,Behavioral,True,3,29.333333333333332,88,0.15422403205998317,0.02793959006557534,0.15422403205998317,0.15422403205998317
Gemma 4 2B,Stochastic,Behavioral,ClaimComparison,False,3,3.0,9,0.01581761267625142,0.015873305939458515,0.15422403205998317,0.07359391303544881
Gemma 4 2B,Stochastic,Behavioral,Mechanical,False,3,0.0,0,0.0,0.0,0.15422403205998317,0.041995623147455606
Gemma 4 2B,Stochastic,Behavioral,Payoff,False,3,24.0,72,0.12619001449716982,0.024870919177030604,0.15422403205998317,0.8650285788156644
Gemma 4 2B,Stochastic,Behavioral,SocialJudgment,False,3,18.333333333333332,55,0.0964477317007858,0.03477651129051019,0.15422403205998317,0.5956213006823826
Gemma 4 2B,Stochastic,Behavioral,Testimony,False,3,15.0,45,0.0788849183264541,0.0194618728981883,0.15422403205998317,0.553441000212379
Gemma 4 2B,Stochastic,Behavioral,Uncertainty,False,3,17.333333333333332,52,0.0910459200162516,0.011843505144356805,0.15422403205998317,0.5850208223681174
Gemma 4 2B,Stochastic,ClaimComparison,Behavioral,False,3,3.0,9,0.01581761267625142,0.015873305939458515,0.07359391303544881,0.15422403205998317
Gemma 4 2B,Stochastic,ClaimComparison,ClaimComparison,True,3,14.0,42,0.07359391303544881,0.01839789374701007,0.07359391303544881,0.07359391303544881
Gemma 4 2B,Stochastic,ClaimComparison,Mechanical,False,3,0.6666666666666666,2,0.0034904013961605585,0.0030227762784797163,0.07359391303544881,0.041995623147455606
Gemma 4 2B,Stochastic,ClaimComparison,Payoff,False,3,11.666666666666666,35,0.061340572684377224,0.013538186146297499,0.07359391303544881,0.8650285788156644
Gemma 4 2B,Stochastic,ClaimComparison,SocialJudgment,False,3,6.0,18,0.03156135442348357,0.00932422523996653,0.07359391303544881,0.5956213006823826
Gemma 4 2B,Stochastic,ClaimComparison,Testimony,False,3,14.0,42,0.07359391303544881,0.01839789374701007,0.07359391303544881,0.553441000212379
Gemma 4 2B,Stochastic,ClaimComparison,Uncertainty,False,3,7.666666666666667,23,0.040287357913884964,0.008049797237159545,0.07359391303544881,0.5850208223681174
Gemma 4 2B,Stochastic,Mechanical,Behavioral,False,3,0.0,0,0.0,0.0,0.041995623147455606,0.15422403205998317
Gemma 4 2B,Stochastic,Mechanical,ClaimComparison,False,3,0.6666666666666666,2,0.0034904013961605585,0.0030227762784797163,0.041995623147455606,0.07359391303544881
Gemma 4 2B,Stochastic,Mechanical,Mechanical,True,3,8.0,24,0.041995623147455606,0.01804146215042112,0.041995623147455606,0.041995623147455606
Gemma 4 2B,Stochastic,Mechanical,Payoff,False,3,6.666666666666667,20,0.03499635262287967,0.019761248020359792,0.041995623147455606,0.8650285788156644
Gemma 4 2B,Stochastic,Mechanical,SocialJudgment,False,3,2.6666666666666665,8,0.014035476513661506,0.008094667436859127,0.041995623147455606,0.5956213006823826
Gemma 4 2B,Stochastic,Mechanical,Testimony,False,3,4.0,12,0.021034747038237437,0.009149344928342839,0.041995623147455606,0.553441000212379
Gemma 4 2B,Stochastic,Mechanical,Uncertainty,False,3,4.333333333333333,13,0.022743012271808083,0.01204341127116564,0.041995623147455606,0.5850208223681174
Gemma 4 2B,Stochastic,Payoff,Behavioral,False,3,24.0,72,0.12619001449716982,0.024870919177030604,0.8650285788156644,0.15422403205998317
Gemma 4 2B,Stochastic,Payoff,ClaimComparison,False,3,11.666666666666666,35,0.061340572684377224,0.013538186146297499,0.8650285788156644,0.07359391303544881
Gemma 4 2B,Stochastic,Payoff,Mechanical,False,3,6.666666666666667,20,0.03499635262287967,0.019761248020359792,0.8650285788156644,0.041995623147455606
Gemma 4 2B,Stochastic,Payoff,Payoff,True,3,164.66666666666666,494,0.8650285788156644,0.030759407949198663,0.8650285788156644,0.8650285788156644
Gemma 4 2B,Stochastic,Payoff,SocialJudgment,False,3,102.0,306,0.5360443964283406,0.048979483779057205,0.8650285788156644,0.5956213006823826
Gemma 4 2B,Stochastic,Payoff,Testimony,False,3,95.33333333333333,286,0.5008633664829127,0.010903221499957516,0.8650285788156644,0.553441000212379
Gemma 4 2B,Stochastic,Payoff,Uncertainty,False,3,89.66666666666667,269,0.4711210836865287,0.008997221580579865,0.8650285788156644,0.5850208223681174
Gemma 4 2B,Stochastic,SocialJudgment,Behavioral,False,3,18.333333333333332,55,0.0964477317007858,0.03477651129051019,0.5956213006823826,0.15422403205998317
Gemma 4 2B,Stochastic,SocialJudgment,ClaimComparison,False,3,6.0,18,0.03156135442348357,0.00932422523996653,0.5956213006823826,0.07359391303544881
Gemma 4 2B,Stochastic,SocialJudgment,Mechanical,False,3,2.6666666666666665,8,0.014035476513661506,0.008094667436859127,0.5956213006823826,0.041995623147455606
Gemma 4 2B,Stochastic,SocialJudgment,Payoff,False,3,102.0,306,0.5360443964283406,0.048979483779057205,0.5956213006823826,0.8650285788156644
Gemma 4 2B,Stochastic,SocialJudgment,SocialJudgment,True,3,113.33333333333333,340,0.5956213006823826,0.06017016948055315,0.5956213006823826,0.5956213006823826
Gemma 4 2B,Stochastic,SocialJudgment,Testimony,False,3,57.0,171,0.2995373833070168,0.028213598575941145,0.5956213006823826,0.553441000212379
Gemma 4 2B,Stochastic,SocialJudgment,Uncertainty,False,3,57.333333333333336,172,0.30135645493411634,0.04155670340981617,0.5956213006823826,0.5850208223681174
Gemma 4 2B,Stochastic,Testimony,Behavioral,False,3,15.0,45,0.0788849183264541,0.0194618728981883,0.553441000212379,0.15422403205998317
Gemma 4 2B,Stochastic,Testimony,ClaimComparison,False,3,14.0,42,0.07359391303544881,0.01839789374701007,0.553441000212379,0.07359391303544881
Gemma 4 2B,Stochastic,Testimony,Mechanical,False,3,4.0,12,0.021034747038237437,0.009149344928342839,0.553441000212379,0.041995623147455606
Gemma 4 2B,Stochastic,Testimony,Payoff,False,3,95.33333333333333,286,0.5008633664829127,0.010903221499957516,0.553441000212379,0.8650285788156644
Gemma 4 2B,Stochastic,Testimony,SocialJudgment,False,3,57.0,171,0.2995373833070168,0.028213598575941145,0.553441000212379,0.5956213006823826
Gemma 4 2B,Stochastic,Testimony,Testimony,True,3,105.33333333333333,316,0.553441000212379,0.008279086635561162,0.553441000212379,0.553441000212379
Gemma 4 2B,Stochastic,Testimony,Uncertainty,False,3,52.333333333333336,157,0.2750676380693833,0.02767294472721639,0.553441000212379,0.5850208223681174
Gemma 4 2B,Stochastic,Uncertainty,Behavioral,False,3,17.333333333333332,52,0.0910459200162516,0.011843505144356805,0.5850208223681174,0.15422403205998317
Gemma 4 2B,Stochastic,Uncertainty,ClaimComparison,False,3,7.666666666666667,23,0.040287357913884964,0.008049797237159545,0.5850208223681174,0.07359391303544881
Gemma 4 2B,Stochastic,Uncertainty,Mechanical,False,3,4.333333333333333,13,0.022743012271808083,0.01204341127116564,0.5850208223681174,0.041995623147455606
Gemma 4 2B,Stochastic,Uncertainty,Payoff,False,3,89.66666666666667,269,0.4711210836865287,0.008997221580579865,0.5850208223681174,0.8650285788156644
Gemma 4 2B,Stochastic,Uncertainty,SocialJudgment,False,3,57.333333333333336,172,0.30135645493411634,0.04155670340981617,0.5850208223681174,0.5956213006823826
Gemma 4 2B,Stochastic,Uncertainty,Testimony,False,3,52.333333333333336,157,0.2750676380693833,0.02767294472721639,0.5850208223681174,0.553441000212379
Gemma 4 2B,Stochastic,Uncertainty,Uncertainty,True,3,111.33333333333333,334,0.5850208223681174,0.021769690794050764,0.5850208223681174,0.5850208223681174
Gemma 4 4B,Stochastic,Behavioral,Behavioral,True,3,48.333333333333336,145,0.25305410122164046,0.042318867898716014,0.25305410122164046,0.25305410122164046
Gemma 4 4B,Stochastic,Behavioral,ClaimComparison,False,3,8.666666666666666,26,0.045375218150087264,0.007997514301842654,0.25305410122164046,0.09947643979057592
Gemma 4 4B,Stochastic,Behavioral,Mechanical,False,3,1.3333333333333333,4,0.006980802792321117,0.0030227762784797163,0.25305410122164046,0.07329842931937174
Gemma 4 4B,Stochastic,Behavioral,Payoff,False,3,33.666666666666664,101,0.17626527050610818,0.021159433949358007,0.25305410122164046,0.6335078534031414
Gemma 4 4B,Stochastic,Behavioral,SocialJudgment,False,3,27.666666666666668,83,0.14485165794066318,0.03366021208025464,0.25305410122164046,0.5113438045375219
Gemma 4 4B,Stochastic,Behavioral,Testimony,False,3,32.666666666666664,98,0.17102966841186737,0.007997514301842645,0.25305410122164046,0.5759162303664921
Gemma 4 4B,Stochastic,Behavioral,Uncertainty,False,3,24.666666666666668,74,0.12914485165794065,0.015113881392398573,0.25305410122164046,0.5741710296684118
Gemma 4 4B,Stochastic,ClaimComparison,Behavioral,False,3,8.666666666666666,26,0.045375218150087264,0.007997514301842654,0.09947643979057592,0.25305410122164046
Gemma 4 4B,Stochastic,ClaimComparison,ClaimComparison,True,3,19.0,57,0.09947643979057592,0.027704202210100427,0.09947643979057592,0.09947643979057592
Gemma 4 4B,Stochastic,ClaimComparison,Mechanical,False,3,1.6666666666666667,5,0.008726003490401396,0.006045552556959431,0.09947643979057592,0.07329842931937174
Gemma 4 4B,Stochastic,ClaimComparison,Payoff,False,3,15.0,45,0.07853403141361257,0.027204986506317447,0.09947643979057592,0.6335078534031414
Gemma 4 4B,Stochastic,ClaimComparison,SocialJudgment,False,3,7.666666666666667,23,0.04013961605584642,0.024742490189804234,0.09947643979057592,0.5113438045375219
Gemma 4 4B,Stochastic,ClaimComparison,Testimony,False,3,18.666666666666668,56,0.09773123909249563,0.030677828675823644,0.09947643979057592,0.5759162303664921
Gemma 4 4B,Stochastic,ClaimComparison,Uncertainty,False,3,6.666666666666667,20,0.034904013961605584,0.007997514301842654,0.09947643979057592,0.5741710296684118
Gemma 4 4B,Stochastic,Mechanical,Behavioral,False,3,1.3333333333333333,4,0.006980802792321117,0.0030227762784797163,0.07329842931937174,0.25305410122164046
Gemma 4 4B,Stochastic,Mechanical,ClaimComparison,False,3,1.6666666666666667,5,0.008726003490401396,0.006045552556959431,0.07329842931937174,0.09947643979057592
Gemma 4 4B,Stochastic,Mechanical,Mechanical,True,3,14.0,42,0.07329842931937174,0.020942408376963352,0.07329842931937174,0.07329842931937174
Gemma 4 4B,Stochastic,Mechanical,Payoff,False,3,10.666666666666666,32,0.055846422338568937,0.01209110511391886,0.07329842931937174,0.6335078534031414
Gemma 4 4B,Stochastic,Mechanical,SocialJudgment,False,3,4.333333333333333,13,0.022687609075043632,0.007997514301842652,0.07329842931937174,0.5113438045375219
Gemma 4 4B,Stochastic,Mechanical,Testimony,False,3,9.333333333333334,28,0.04886561954624782,0.01511388139239858,0.07329842931937174,0.5759162303664921
Gemma 4 4B,Stochastic,Mechanical,Uncertainty,False,3,6.333333333333333,19,0.0331588132635253,0.007997514301842654,0.07329842931937174,0.5741710296684118
Gemma 4 4B,Stochastic,Payoff,Behavioral,False,3,33.666666666666664,101,0.17626527050610818,0.021159433949358007,0.6335078534031414,0.25305410122164046
Gemma 4 4B,Stochastic,Payoff,ClaimComparison,False,3,15.0,45,0.07853403141361257,0.027204986506317447,0.6335078534031414,0.09947643979057592
Gemma 4 4B,Stochastic,Payoff,Mechanical,False,3,10.666666666666666,32,0.055846422338568937,0.01209110511391886,0.6335078534031414,0.07329842931937174
Gemma 4 4B,Stochastic,Payoff,Payoff,True,3,121.0,363,0.6335078534031414,0.029150598758272365,0.6335078534031414,0.6335078534031414
Gemma 4 4B,Stochastic,Payoff,SocialJudgment,False,3,75.0,225,0.39267015706806285,0.018877231808711974,0.6335078534031414,0.5113438045375219
Gemma 4 4B,Stochastic,Payoff,Testimony,False,3,89.33333333333333,268,0.4677137870855148,0.029770893733389148,0.6335078534031414,0.5759162303664921
Gemma 4 4B,Stochastic,Payoff,Uncertainty,False,3,49.333333333333336,148,0.2582897033158813,0.012091105113918877,0.6335078534031414,0.5741710296684118
Gemma 4 4B,Stochastic,SocialJudgment,Behavioral,False,3,27.666666666666668,83,0.14485165794066318,0.03366021208025464,0.5113438045375219,0.25305410122164046
Gemma 4 4B,Stochastic,SocialJudgment,ClaimComparison,False,3,7.666666666666667,23,0.04013961605584642,0.024742490189804234,0.5113438045375219,0.09947643979057592
Gemma 4 4B,Stochastic,SocialJudgment,Mechanical,False,3,4.333333333333333,13,0.022687609075043632,0.007997514301842652,0.5113438045375219,0.07329842931937174
