model,decoding_group,run_label,category_a,category_b,is_diagonal,n_justifications,support,joint_prevalence,prevalence_a,prevalence_b,lift
Gemma 4 4B,Stochastic,run_1,Mechanical,Mechanical,True,191,10,0.05235602094240838,0.05235602094240838,0.05235602094240838,
Gemma 4 4B,Stochastic,run_1,Mechanical,Testimony,False,191,6,0.031413612565445025,0.05235602094240838,0.5549738219895288,1.081132075471698
Gemma 4 4B,Stochastic,run_1,Mechanical,SocialJudgment,False,191,3,0.015706806282722512,0.05235602094240838,0.5078534031413613,0.590721649484536
Gemma 4 4B,Stochastic,run_1,Mechanical,Behavioral,False,191,1,0.005235602094240838,0.05235602094240838,0.24607329842931938,0.4063829787234043
Gemma 4 4B,Stochastic,run_1,Mechanical,ClaimComparison,False,191,1,0.005235602094240838,0.05235602094240838,0.12041884816753927,0.8304347826086956
Gemma 4 4B,Stochastic,run_1,Mechanical,Payoff,False,191,8,0.041884816753926704,0.05235602094240838,0.6020942408376964,1.328695652173913
Gemma 4 4B,Stochastic,run_1,Mechanical,Uncertainty,False,191,5,0.02617801047120419,0.05235602094240838,0.5863874345549738,0.8526785714285715
Gemma 4 4B,Stochastic,run_1,Testimony,Mechanical,False,191,6,0.031413612565445025,0.5549738219895288,0.05235602094240838,1.081132075471698
Gemma 4 4B,Stochastic,run_1,Testimony,Testimony,True,191,106,0.5549738219895288,0.5549738219895288,0.5549738219895288,
Gemma 4 4B,Stochastic,run_1,Testimony,SocialJudgment,False,191,60,0.31413612565445026,0.5549738219895288,0.5078534031413613,1.1145691499708226
Gemma 4 4B,Stochastic,run_1,Testimony,Behavioral,False,191,31,0.16230366492146597,0.5549738219895288,0.24607329842931938,1.1884785226816539
Gemma 4 4B,Stochastic,run_1,Testimony,ClaimComparison,False,191,23,0.12041884816753927,0.5549738219895288,0.12041884816753927,1.8018867924528301
Gemma 4 4B,Stochastic,run_1,Testimony,Payoff,False,191,83,0.43455497382198954,0.5549738219895288,0.6020942408376964,1.3004922067268252
Gemma 4 4B,Stochastic,run_1,Testimony,Uncertainty,False,191,47,0.24607329842931938,0.5549738219895288,0.5863874345549738,0.7561489218328841
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Mechanical,False,191,3,0.015706806282722512,0.5078534031413613,0.05235602094240838,0.590721649484536
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Testimony,False,191,60,0.31413612565445026,0.5078534031413613,0.5549738219895288,1.1145691499708226
Gemma 4 4B,Stochastic,run_1,SocialJudgment,SocialJudgment,True,191,97,0.5078534031413613,0.5078534031413613,0.5078534031413613,
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Behavioral,False,191,23,0.12041884816753927,0.5078534031413613,0.24607329842931938,0.9635885062513708
Gemma 4 4B,Stochastic,run_1,SocialJudgment,ClaimComparison,False,191,13,0.06806282722513089,0.5078534031413613,0.12041884816753927,1.1129538323621693
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Payoff,False,191,72,0.3769633507853403,0.5078534031413613,0.6020942408376964,1.2328103989242492
Gemma 4 4B,Stochastic,run_1,SocialJudgment,Uncertainty,False,191,40,0.2094240837696335,0.5078534031413613,0.5863874345549738,0.703240058910162
Gemma 4 4B,Stochastic,run_1,Behavioral,Mechanical,False,191,1,0.005235602094240838,0.24607329842931938,0.05235602094240838,0.4063829787234043
Gemma 4 4B,Stochastic,run_1,Behavioral,Testimony,False,191,31,0.16230366492146597,0.24607329842931938,0.5549738219895288,1.1884785226816539
Gemma 4 4B,Stochastic,run_1,Behavioral,SocialJudgment,False,191,23,0.12041884816753927,0.24607329842931938,0.5078534031413613,0.9635885062513708
Gemma 4 4B,Stochastic,run_1,Behavioral,Behavioral,True,191,47,0.24607329842931938,0.24607329842931938,0.24607329842931938,
Gemma 4 4B,Stochastic,run_1,Behavioral,ClaimComparison,False,191,10,0.05235602094240838,0.24607329842931938,0.12041884816753927,1.766882516188714
Gemma 4 4B,Stochastic,run_1,Behavioral,Payoff,False,191,33,0.17277486910994763,0.24607329842931938,0.6020942408376964,1.1661424606845512
Gemma 4 4B,Stochastic,run_1,Behavioral,Uncertainty,False,191,23,0.12041884816753927,0.24607329842931938,0.5863874345549738,0.8345364741641338
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Mechanical,False,191,1,0.005235602094240838,0.12041884816753927,0.05235602094240838,0.8304347826086956
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Testimony,False,191,23,0.12041884816753927,0.12041884816753927,0.5549738219895288,1.8018867924528301
Gemma 4 4B,Stochastic,run_1,ClaimComparison,SocialJudgment,False,191,13,0.06806282722513089,0.12041884816753927,0.5078534031413613,1.1129538323621693
Gemma 4 4B,Stochastic,run_1,ClaimComparison,Behavioral,False,191,10,0.05235602094240838,0.12041884816753927,0.24607329842931938,1.766882516188714
