model,decoding_group,category_a,category_b,is_diagonal,n_runs,support_mean,support_total,joint_prevalence_mean,lift_mean,lift_sd
Gemma 4 4B,Stochastic,Behavioral,Behavioral,True,3,48.333333333333336,145,0.25305410122164046,,
Gemma 4 4B,Stochastic,Behavioral,ClaimComparison,False,3,8.666666666666666,26,0.045375218150087264,1.903805172829361,0.5491319139580054
Gemma 4 4B,Stochastic,Behavioral,Mechanical,False,3,1.3333333333333333,4,0.006980802792321117,0.38778217526749476,0.14006282925658253
Gemma 4 4B,Stochastic,Behavioral,Payoff,False,3,33.666666666666664,101,0.17626527050610818,1.1074220848510823,0.0844961358030191
Gemma 4 4B,Stochastic,Behavioral,SocialJudgment,False,3,27.666666666666668,83,0.14485165794066318,1.1162986061469622,0.13249257566340913
Gemma 4 4B,Stochastic,Behavioral,Testimony,False,3,32.666666666666664,98,0.17102966841186737,1.1909093163026578,0.15641320214556598
Gemma 4 4B,Stochastic,Behavioral,Uncertainty,False,3,24.666666666666668,74,0.12914485165794065,0.8949224962307748,0.061074922758279575
Gemma 4 4B,Stochastic,ClaimComparison,Behavioral,False,3,8.666666666666666,26,0.045375218150087264,1.903805172829361,0.5491319139580054
Gemma 4 4B,Stochastic,ClaimComparison,ClaimComparison,True,3,19.0,57,0.09947643979057592,,
Gemma 4 4B,Stochastic,ClaimComparison,Mechanical,False,3,1.6666666666666667,5,0.008726003490401396,1.1985512302282488,0.6499287824417059
Gemma 4 4B,Stochastic,ClaimComparison,Payoff,False,3,15.0,45,0.07853403141361257,1.227663152053655,0.12453849527598186
Gemma 4 4B,Stochastic,ClaimComparison,SocialJudgment,False,3,7.666666666666667,23,0.04013961605584642,0.7566829140114661,0.3097469244736468
Gemma 4 4B,Stochastic,ClaimComparison,Testimony,False,3,18.666666666666668,56,0.09773123909249563,1.6949363777566357,0.13260946967364126
Gemma 4 4B,Stochastic,ClaimComparison,Uncertainty,False,3,6.666666666666667,20,0.034904013961605584,0.618474500539718,0.03308034457836598
Gemma 4 4B,Stochastic,Mechanical,Behavioral,False,3,1.3333333333333333,4,0.006980802792321117,0.38778217526749476,0.14006282925658253
Gemma 4 4B,Stochastic,Mechanical,ClaimComparison,False,3,1.6666666666666667,5,0.008726003490401396,1.1985512302282488,0.6499287824417059
Gemma 4 4B,Stochastic,Mechanical,Mechanical,True,3,14.0,42,0.07329842931937174,,
Gemma 4 4B,Stochastic,Mechanical,Payoff,False,3,10.666666666666666,32,0.055846422338568937,1.2239104090198685,0.15674277134685588
Gemma 4 4B,Stochastic,Mechanical,SocialJudgment,False,3,4.333333333333333,13,0.022687609075043632,0.61837768951171,0.19610222343281725
Gemma 4 4B,Stochastic,Mechanical,Testimony,False,3,9.333333333333334,28,0.04886561954624782,1.156432310685869,0.1822683533425791
Gemma 4 4B,Stochastic,Mechanical,Uncertainty,False,3,6.333333333333333,19,0.0331588132635253,0.7967356386999245,0.04964319800386383
Gemma 4 4B,Stochastic,Payoff,Behavioral,False,3,33.666666666666664,101,0.17626527050610818,1.1074220848510823,0.0844961358030191
Gemma 4 4B,Stochastic,Payoff,ClaimComparison,False,3,15.0,45,0.07853403141361257,1.227663152053655,0.12453849527598186
Gemma 4 4B,Stochastic,Payoff,Mechanical,False,3,10.666666666666666,32,0.055846422338568937,1.2239104090198685,0.15674277134685588
Gemma 4 4B,Stochastic,Payoff,Payoff,True,3,121.0,363,0.6335078534031414,,
Gemma 4 4B,Stochastic,Payoff,SocialJudgment,False,3,75.0,225,0.39267015706806285,1.2122672298284367,0.01936212860762156
Gemma 4 4B,Stochastic,Payoff,Testimony,False,3,89.33333333333333,268,0.4677137870855148,1.2818147720868234,0.024525662911635156
Gemma 4 4B,Stochastic,Payoff,Uncertainty,False,3,49.333333333333336,148,0.2582897033158813,0.7116829071059801,0.052635658167703055
Gemma 4 4B,Stochastic,SocialJudgment,Behavioral,False,3,27.666666666666668,83,0.14485165794066318,1.1162986061469622,0.13249257566340913
Gemma 4 4B,Stochastic,SocialJudgment,ClaimComparison,False,3,7.666666666666667,23,0.04013961605584642,0.7566829140114661,0.3097469244736468
Gemma 4 4B,Stochastic,SocialJudgment,Mechanical,False,3,4.333333333333333,13,0.022687609075043632,0.61837768951171,0.19610222343281725
Gemma 4 4B,Stochastic,SocialJudgment,Payoff,False,3,75.0,225,0.39267015706806285,1.2122672298284367,0.01936212860762156
Gemma 4 4B,Stochastic,SocialJudgment,SocialJudgment,True,3,97.66666666666667,293,0.5113438045375219,,
Gemma 4 4B,Stochastic,SocialJudgment,Testimony,False,3,62.0,186,0.32460732984293195,1.102655250337687,0.027786057466232323
Gemma 4 4B,Stochastic,SocialJudgment,Uncertainty,False,3,44.0,132,0.23036649214659688,0.7859911295907859,0.08029825018873707
Gemma 4 4B,Stochastic,Testimony,Behavioral,False,3,32.666666666666664,98,0.17102966841186737,1.1909093163026578,0.15641320214556598
Gemma 4 4B,Stochastic,Testimony,ClaimComparison,False,3,18.666666666666668,56,0.09773123909249563,1.6949363777566357,0.13260946967364126
Gemma 4 4B,Stochastic,Testimony,Mechanical,False,3,9.333333333333334,28,0.04886561954624782,1.156432310685869,0.1822683533425791
Gemma 4 4B,Stochastic,Testimony,Payoff,False,3,89.33333333333333,268,0.4677137870855148,1.2818147720868234,0.024525662911635156
Gemma 4 4B,Stochastic,Testimony,SocialJudgment,False,3,62.0,186,0.32460732984293195,1.102655250337687,0.027786057466232323
Gemma 4 4B,Stochastic,Testimony,Testimony,True,3,110.0,330,0.5759162303664921,,
Gemma 4 4B,Stochastic,Testimony,Uncertainty,False,3,43.666666666666664,131,0.2286212914485166,0.6898395699798381,0.08404031205204329
Gemma 4 4B,Stochastic,Uncertainty,Behavioral,False,3,24.666666666666668,74,0.12914485165794065,0.8949224962307748,0.061074922758279575
