model,decoding_group,pair,joint_prevalence_mean,prevalence_a_mean,prevalence_b_mean,support_mean,support_total,lift_mean,lift_sd,support_is_thin,min_support_threshold
Gemma 4 2B,Stochastic,Payoff + SocialJudgment,0.5360443964283406,0.8650285788156644,0.5956213006823826,102.0,306,1.0417890761649706,0.02927233764312731,False,10.0
Gemma 4 2B,Stochastic,Payoff + Testimony,0.5008633664829127,0.8650285788156644,0.553441000212379,95.33333333333333,286,1.0468107804563351,0.027588255529100044,False,10.0
Gemma 4 2B,Stochastic,Payoff + Uncertainty,0.4711210836865287,0.8650285788156644,0.5850208223681174,89.66666666666667,269,0.9317426475551231,0.014271039576909629,False,10.0
Gemma 4 2B,Stochastic,SocialJudgment + Uncertainty,0.30135645493411634,0.5956213006823826,0.5850208223681174,57.333333333333336,172,0.8626201769175689,0.004876713235682969,False,10.0
Gemma 4 2B,Stochastic,SocialJudgment + Testimony,0.2995373833070168,0.5956213006823826,0.553441000212379,57.0,171,0.909433346496752,0.028228194330655248,False,10.0
Gemma 4 2B,Stochastic,Testimony + Uncertainty,0.2750676380693833,0.553441000212379,0.5850208223681174,52.333333333333336,157,0.8480555697417195,0.04564003548239623,False,10.0
Gemma 4 2B,Stochastic,Behavioral + Payoff,0.12619001449716982,0.15422403205998317,0.8650285788156644,24.0,72,0.9452513150651008,0.04956714507199714,False,10.0
Gemma 4 2B,Stochastic,Behavioral + SocialJudgment,0.0964477317007858,0.15422403205998317,0.5956213006823826,18.333333333333332,55,1.0212435662589858,0.10237443743084262,False,10.0
Gemma 4 2B,Stochastic,Behavioral + Uncertainty,0.0910459200162516,0.15422403205998317,0.5850208223681174,17.333333333333332,52,1.0374141429213892,0.25250295476715956,False,10.0
Gemma 4 2B,Stochastic,Behavioral + Testimony,0.0788849183264541,0.15422403205998317,0.553441000212379,15.0,45,0.9168021286889211,0.04532397466244282,False,10.0
Gemma 4 2B,Stochastic,ClaimComparison + Testimony,0.07359391303544881,0.07359391303544881,0.553441000212379,14.0,42,1.8071480406386067,0.027144930917288906,False,10.0
Gemma 4 2B,Stochastic,ClaimComparison + Payoff,0.061340572684377224,0.07359391303544881,0.8650285788156644,11.666666666666666,35,0.9751107750777949,0.11534300444674218,False,10.0
Gemma 4 2B,Stochastic,ClaimComparison + Uncertainty,0.040287357913884964,0.07359391303544881,0.5850208223681174,7.666666666666667,23,0.9496544098446272,0.11236523413285925,True,10.0
Gemma 4 2B,Stochastic,Mechanical + Payoff,0.03499635262287967,0.041995623147455606,0.8650285788156644,6.666666666666667,20,0.9318539080201033,0.14729341808368007,True,10.0
Gemma 4 2B,Stochastic,ClaimComparison + SocialJudgment,0.03156135442348357,0.07359391303544881,0.5956213006823826,6.0,18,0.727264942236132,0.1198617862924579,True,10.0
Gemma 4 2B,Stochastic,Mechanical + Uncertainty,0.022743012271808083,0.041995623147455606,0.5850208223681174,4.333333333333333,13,0.9045784310880928,0.1117165232494113,True,10.0
Gemma 4 2B,Stochastic,Mechanical + Testimony,0.021034747038237437,0.041995623147455606,0.553441000212379,4.0,12,0.9505674487985809,0.4708160081002026,True,10.0
Gemma 4 2B,Stochastic,Behavioral + ClaimComparison,0.01581761267625142,0.15422403205998317,0.07359391303544881,3.0,9,1.1524999999999999,1.0411321962171758,True,10.0
Gemma 4 2B,Stochastic,Mechanical + SocialJudgment,0.014035476513661506,0.041995623147455606,0.5956213006823826,2.6666666666666665,8,0.5925463115177988,0.39424382363326493,True,10.0
Gemma 4 2B,Stochastic,ClaimComparison + Mechanical,0.0034904013961605585,0.07359391303544881,0.041995623147455606,0.6666666666666666,2,1.3927083333333334,1.628544145237123,True,10.0
Gemma 4 2B,Stochastic,Behavioral + Mechanical,0.0,0.15422403205998317,0.041995623147455606,0.0,0,0.0,0.0,True,10.0
Gemma 4 4B,Stochastic,Payoff + Testimony,0.4677137870855148,0.6335078534031414,0.5759162303664921,89.33333333333333,268,1.2818147720868234,0.024525662911635156,False,10.0
Gemma 4 4B,Stochastic,Payoff + SocialJudgment,0.39267015706806285,0.6335078534031414,0.5113438045375219,75.0,225,1.2122672298284367,0.01936212860762156,False,10.0
Gemma 4 4B,Stochastic,SocialJudgment + Testimony,0.32460732984293195,0.5113438045375219,0.5759162303664921,62.0,186,1.102655250337687,0.027786057466232323,False,10.0
Gemma 4 4B,Stochastic,Payoff + Uncertainty,0.2582897033158813,0.6335078534031414,0.5741710296684118,49.333333333333336,148,0.7116829071059801,0.052635658167703055,False,10.0
Gemma 4 4B,Stochastic,SocialJudgment + Uncertainty,0.23036649214659688,0.5113438045375219,0.5741710296684118,44.0,132,0.7859911295907859,0.08029825018873707,False,10.0
Gemma 4 4B,Stochastic,Testimony + Uncertainty,0.2286212914485166,0.5759162303664921,0.5741710296684118,43.666666666666664,131,0.6898395699798381,0.08404031205204329,False,10.0
Gemma 4 4B,Stochastic,Behavioral + Payoff,0.17626527050610818,0.25305410122164046,0.6335078534031414,33.666666666666664,101,1.1074220848510823,0.0844961358030191,False,10.0
Gemma 4 4B,Stochastic,Behavioral + Testimony,0.17102966841186737,0.25305410122164046,0.5759162303664921,32.666666666666664,98,1.1909093163026578,0.15641320214556598,False,10.0
Gemma 4 4B,Stochastic,Behavioral + SocialJudgment,0.14485165794066318,0.25305410122164046,0.5113438045375219,27.666666666666668,83,1.1162986061469622,0.13249257566340913,False,10.0
Gemma 4 4B,Stochastic,Behavioral + Uncertainty,0.12914485165794065,0.25305410122164046,0.5741710296684118,24.666666666666668,74,0.8949224962307748,0.061074922758279575,False,10.0
Gemma 4 4B,Stochastic,ClaimComparison + Testimony,0.09773123909249563,0.09947643979057592,0.5759162303664921,18.666666666666668,56,1.6949363777566357,0.13260946967364126,False,10.0
Gemma 4 4B,Stochastic,ClaimComparison + Payoff,0.07853403141361257,0.09947643979057592,0.6335078534031414,15.0,45,1.227663152053655,0.12453849527598186,False,10.0
Gemma 4 4B,Stochastic,Mechanical + Payoff,0.055846422338568937,0.07329842931937174,0.6335078534031414,10.666666666666666,32,1.2239104090198685,0.15674277134685588,False,10.0
Gemma 4 4B,Stochastic,Mechanical + Testimony,0.04886561954624782,0.07329842931937174,0.5759162303664921,9.333333333333334,28,1.156432310685869,0.1822683533425791,True,10.0
Gemma 4 4B,Stochastic,Behavioral + ClaimComparison,0.045375218150087264,0.25305410122164046,0.09947643979057592,8.666666666666666,26,1.903805172829361,0.5491319139580054,True,10.0
Gemma 4 4B,Stochastic,ClaimComparison + SocialJudgment,0.04013961605584642,0.09947643979057592,0.5113438045375219,7.666666666666667,23,0.7566829140114661,0.3097469244736468,True,10.0
Gemma 4 4B,Stochastic,ClaimComparison + Uncertainty,0.034904013961605584,0.09947643979057592,0.5741710296684118,6.666666666666667,20,0.618474500539718,0.03308034457836598,True,10.0
Gemma 4 4B,Stochastic,Mechanical + Uncertainty,0.0331588132635253,0.07329842931937174,0.5741710296684118,6.333333333333333,19,0.7967356386999245,0.04964319800386383,True,10.0
