decoding_group,model,category,n_outputs,n_present,n_absent,n_correct_present,n_correct_absent,p_correct_present,p_correct_absent,delta,ci_low,ci_high,ci_excludes_zero,n_valid_replicates,n_games,n_replicates,seed
Stochastic,Gemma 4 2B,Mechanical,573,24,549,7,224,0.2916666666666667,0.4080145719489982,-0.11634790528233152,-0.29912732349786975,0.10261181043455633,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,Testimony,573,316,257,128,103,0.4050632911392405,0.40077821011673154,0.004285081022508963,-0.09633718328493351,0.10248342496683197,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,SocialJudgment,573,340,233,153,78,0.45,0.33476394849785407,0.11523605150214594,0.016607406101582522,0.21571813170262907,True,10000,191,10000,20260826
Stochastic,Gemma 4 2B,Behavioral,573,88,485,37,194,0.42045454545454547,0.4,0.020454545454545447,-0.10098305741293431,0.14573626416017715,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,ClaimComparison,573,42,531,14,217,0.3333333333333333,0.4086629001883239,-0.07532956685499059,-0.2245090126446059,0.08422853450048735,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,Payoff,573,494,79,203,28,0.4109311740890688,0.35443037974683544,0.056500794342233374,-0.0724740909914261,0.18252600097752997,False,10000,191,10000,20260826
Stochastic,Gemma 4 2B,Uncertainty,573,334,239,111,120,0.3323353293413174,0.502092050209205,-0.16975672086788762,-0.2679665244191559,-0.0730233937773839,True,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Mechanical,573,42,531,10,206,0.23809523809523808,0.3879472693032015,-0.14985203120796342,-0.3021370940024059,0.015604324599551288,False,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Testimony,573,330,243,163,53,0.49393939393939396,0.21810699588477367,0.2758323980546203,0.1786380022263643,0.36709463399191405,True,10000,191,10000,20260826
Stochastic,Gemma 4 4B,SocialJudgment,573,293,280,132,84,0.45051194539249145,0.3,0.15051194539249146,0.04794203506358176,0.25082708937539294,True,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Behavioral,573,145,428,49,167,0.33793103448275863,0.3901869158878505,-0.05225588140509185,-0.1524821177434862,0.04822837385135183,False,10000,191,10000,20260826
Stochastic,Gemma 4 4B,ClaimComparison,573,57,516,26,190,0.45614035087719296,0.3682170542635659,0.08792329661362708,-0.0688161448104134,0.2506903629343917,False,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Payoff,573,363,210,157,59,0.4325068870523416,0.28095238095238095,0.15155450609996063,0.050688059225571236,0.2535610596577547,True,10000,191,10000,20260826
Stochastic,Gemma 4 4B,Uncertainty,573,329,244,89,127,0.270516717325228,0.5204918032786885,-0.24997508595346052,-0.3437801342592075,-0.1544823340872856,True,10000,191,10000,20260826
