model,k_correct_runs,category,n_games_in_group,mean_q,ci_low,ci_high,n_valid_replicates,n_replicates,seed
Gemma 4 2B,0,Mechanical,81,0.053497942386831275,0.023148148148148147,0.08943089430894308,10000,10000,20260826
Gemma 4 2B,1,Mechanical,38,0.043859649122807015,0.008130081300813007,0.09259259259259259,10000,10000,20260826
Gemma 4 2B,2,Mechanical,23,0.02898550724637681,0.0,0.07407407407407407,10000,10000,20260826
Gemma 4 2B,3,Mechanical,49,0.027210884353741496,0.006289308176100628,0.05555555555555555,10000,10000,20260826
Gemma 4 2B,0,Testimony,81,0.5473251028806584,0.4632034632034632,0.6313777089783281,10000,10000,20260826
Gemma 4 2B,1,Testimony,38,0.5614035087719298,0.44086021505376344,0.6851851851851852,10000,10000,20260826
Gemma 4 2B,2,Testimony,23,0.5507246376811594,0.38885135135135135,0.712121212121212,10000,10000,20260826
Gemma 4 2B,3,Testimony,49,0.5510204081632653,0.43971631205673756,0.6604938271604938,10000,10000,20260826
Gemma 4 2B,0,SocialJudgment,81,0.5390946502057614,0.45298913043478256,0.6224954764111391,10000,10000,20260826
Gemma 4 2B,1,SocialJudgment,38,0.5701754385964911,0.47474747474747475,0.6666666666666667,10000,10000,20260826
Gemma 4 2B,2,SocialJudgment,23,0.6521739130434783,0.5079365079365079,0.787878787878788,10000,10000,20260826
Gemma 4 2B,3,SocialJudgment,49,0.673469387755102,0.5736434108527131,0.7683655053358442,10000,10000,20260826
Gemma 4 2B,0,Behavioral,81,0.13580246913580246,0.08641612200435729,0.18859649122807015,10000,10000,20260826
Gemma 4 2B,1,Behavioral,38,0.18421052631578946,0.1176338102808691,0.25396825396825395,10000,10000,20260826
Gemma 4 2B,2,Behavioral,23,0.17391304347826086,0.09722222222222222,0.2549019607843137,10000,10000,20260826
Gemma 4 2B,3,Behavioral,49,0.14965986394557823,0.0880503144654088,0.21794871794871792,10000,10000,20260826
Gemma 4 2B,0,ClaimComparison,81,0.06584362139917695,0.0321285140562249,0.10588235294117647,10000,10000,20260826
Gemma 4 2B,1,ClaimComparison,38,0.14035087719298245,0.0808080808080808,0.20635714285714277,10000,10000,20260826
Gemma 4 2B,2,ClaimComparison,23,0.02898550724637681,0.0,0.07407407407407407,10000,10000,20260826
Gemma 4 2B,3,ClaimComparison,49,0.05442176870748299,0.022222222222222223,0.09166666666666666,10000,10000,20260826
Gemma 4 2B,0,Payoff,81,0.8683127572016462,0.8189300411522633,0.9146341463414634,10000,10000,20260826
Gemma 4 2B,1,Payoff,38,0.8157894736842105,0.7301587301587301,0.8918918918918919,10000,10000,20260826
Gemma 4 2B,2,Payoff,23,0.8405797101449275,0.7424242424242423,0.9247610513739541,10000,10000,20260826
Gemma 4 2B,3,Payoff,49,0.8979591836734694,0.8368794326241134,0.9523809523809523,10000,10000,20260826
Gemma 4 2B,0,Uncertainty,81,0.6502057613168725,0.5708333333333334,0.7288901098901099,10000,10000,20260826
Gemma 4 2B,1,Uncertainty,38,0.6578947368421053,0.5588235294117647,0.7549069627851139,10000,10000,20260826
Gemma 4 2B,2,Uncertainty,23,0.5217391304347826,0.34998015873015875,0.6863051470588231,10000,10000,20260826
Gemma 4 2B,3,Uncertainty,49,0.44217687074829926,0.34590051457975984,0.5388918439716311,10000,10000,20260826
Gemma 4 4B,0,Mechanical,79,0.08438818565400844,0.047008547008547,0.12698934837092724,10000,10000,20260826
Gemma 4 4B,1,Mechanical,43,0.09302325581395349,0.045454545454545456,0.14492753623188404,10000,10000,20260826
Gemma 4 4B,2,Mechanical,34,0.04901960784313725,0.01111111111111111,0.09195402298850575,10000,10000,20260826
Gemma 4 4B,3,Mechanical,35,0.047619047619047616,0.0,0.10859173126614892,10000,10000,20260826
Gemma 4 4B,0,Testimony,79,0.4599156118143459,0.3780487804878048,0.5421686746987951,10000,10000,20260826
Gemma 4 4B,1,Testimony,43,0.5116279069767442,0.40540540540540543,0.6228070175438597,10000,10000,20260826
Gemma 4 4B,2,Testimony,34,0.6862745098039216,0.5959595959595959,0.7701149425287356,10000,10000,20260826
Gemma 4 4B,3,Testimony,35,0.8095238095238095,0.68,0.9210526315789473,10000,10000,20260826
Gemma 4 4B,0,SocialJudgment,79,0.47679324894514774,0.3999806201550387,0.5555555555555555,10000,10000,20260826
