feature,block,total,player_games_gt0,pct_player_games_gt0,distinct_games_gt0,mean,median,sd,max
accusation,strategy,3433.0,739,86.43,188,4.015,3.0,3.398,22.0
defense,strategy,3232.0,706,82.57,185,3.78,3.0,3.823,24.0
interrogation,strategy,4043.0,793,92.75,188,4.729,4.0,3.722,24.0
evidence,strategy,2200.0,723,84.56,187,2.573,2.0,2.171,13.0
identity_declaration,strategy,1331.0,630,73.68,187,1.557,1.0,1.506,9.0
call_for_action,strategy,1377.0,550,64.33,178,1.611,1.0,1.89,11.0
werewolf_accusations_made,enriched,1183.0,447,52.28,170,1.384,1.0,2.012,15.0
deception_accusations_made,enriched,616.0,286,33.45,143,0.72,0.0,1.411,12.0
werewolf_accusations_received,enriched,1174.0,447,52.28,170,1.373,1.0,2.041,14.0
deception_accusations_received,enriched,616.0,296,34.62,143,0.72,0.0,1.392,13.0
claims_werewolf,enriched,159.0,95,11.11,75,0.186,0.0,0.656,7.0
claims_tanner,enriched,73.0,48,5.61,40,0.085,0.0,0.394,4.0
claims_night_action_role,enriched,837.0,456,53.33,179,0.979,1.0,1.232,8.0
