model,feature,column,beta_ci_lo,beta_ci_hi,odds_ratio_ci_lo,odds_ratio_ci_hi,n_boot_used,n_failures,beta,odds_ratio
2B,accusation,accusation_rate,-0.149171951745697,0.13826271904332094,0.8614209793220633,1.1482771849333522,1000,0,0.007451717553772167,1.0074795506929677
2B,defense,defense_rate,0.15913210600391628,0.4675204773457637,1.1724928297923622,1.5960318857142726,1000,0,0.3047541033995721,1.356291454540827
2B,interrogation,interrogation_rate,-0.14102857259659807,0.19768949108949996,0.868464497057426,1.218583953894322,1000,0,0.03670685637337227,1.0373888723244795
2B,evidence,evidence_rate,-0.2166241690216764,0.13647510291346895,0.8052325437777159,1.1462263397241472,1000,0,-0.01560691074791687,0.9845142459707072
2B,identity_declaration,identity_declaration_rate,-0.4536124314211071,0.1551295465113069,0.6353289190621936,1.1678092369188013,1000,0,-0.12865981042445923,0.8792730341929674
2B,call_for_action,call_for_action_rate,-0.24338817439320923,0.1690840235400918,0.783967138731707,1.1842196370699705,1000,0,-0.03805300882242357,0.9626619099644276
2B,werewolf_accusations_made,werewolf_accusations_made_rate,-0.0692389444378358,0.4290665598458013,0.9331036935010756,1.5358232551544537,1000,0,0.19718284936085068,1.2179667247836314
2B,deception_accusations_made,deception_accusations_made_rate,-0.1813598218485814,0.13445533381671543,0.834135164633932,1.143913563608392,1000,0,-0.040111421419139794,0.9606823925932688
2B,werewolf_accusations_received,werewolf_accusations_received_rate,0.5712429536112803,1.0629324489967447,1.7704662918447882,2.8948475474425863,1000,0,0.8060670334641702,2.2390844025934733
2B,deception_accusations_received,deception_accusations_received_rate,-0.11081440727705867,0.2287058151499628,0.8951048584621939,1.2569722024334737,1000,0,0.062031656499755936,1.0639960265848618
2B,claims_werewolf,claims_werewolf_rate,0.1415597510216552,0.5490340082041668,1.1520693395243535,1.7315795180956912,1000,0,0.3303492991269987,1.3914540772825439
2B,claims_tanner,claims_tanner_rate,-0.15403475110969603,0.14560378942926896,0.8572422303750478,1.1567377855066445,1000,0,-6.675303406440733e-05,0.9999332491938698
2B,claims_night_action_role,claims_night_action_role_rate,-0.2637376713449512,0.3269933717232325,0.7681750275493459,1.3867922851067536,1000,0,-0.01024931960727375,0.9898030256817599
4B,accusation,accusation_rate,-0.14270650180775266,0.010981080754641317,0.8670084969830983,1.0110415941197863,1000,0,-0.06672806195886721,0.9354495510700216
4B,defense,defense_rate,-0.022591124903655793,0.17188996504381318,0.9776621437654245,1.1875471543253189,1000,0,0.08135905287550851,1.084760312961645
4B,interrogation,interrogation_rate,-0.2038051206406407,0.07118954879790707,0.8156213034575778,1.073784741186609,1000,0,-0.05941418404811324,0.9423163959000351
4B,evidence,evidence_rate,-0.15991847091998337,0.06698362157930746,0.8522132662975406,1.069277964946834,1000,0,-0.0332197899382339,0.96732592771681
4B,identity_declaration,identity_declaration_rate,-0.048416810864731465,0.15184399982312466,0.9527365933425906,1.1639786413941149,1000,0,0.04588233812545302,1.0469512174666844
4B,call_for_action,call_for_action_rate,-0.08240038884789645,0.11257287755013279,0.9209031655134725,1.1191538151291314,1000,0,0.02121891117677868,1.0214456330299448
4B,werewolf_accusations_made,werewolf_accusations_made_rate,-0.18349512074029942,0.07099352445405356,0.8323559370087666,1.073574273866311,1000,0,-0.04901768970928587,0.9521642860401132
4B,deception_accusations_made,deception_accusations_made_rate,-0.13845470233018795,0.040191003641944605,0.870702691178851,1.0410095918276758,1000,0,-0.048403699803599244,0.9527490848121969
4B,werewolf_accusations_received,werewolf_accusations_received_rate,0.3125701193615353,0.560422252408883,1.3669337863378153,1.7514118820683977,1000,0,0.4388004457150668,1.55084577858645
4B,deception_accusations_received,deception_accusations_received_rate,0.03585246214138153,0.22212977069422374,1.0365029117893148,1.248733416352473,1000,0,0.12252354552562296,1.130345734345137
4B,claims_werewolf,claims_werewolf_rate,0.30322031435795427,0.5192803498180388,1.354212784099092,1.6808176136482715,1000,0,0.4168100671534553,1.517114335724474
4B,claims_tanner,claims_tanner_rate,-0.05484561056406577,0.0939109077874077,0.9466312865424334,1.098461877158482,1000,0,0.012516807882284636,1.0125954709830818
4B,claims_night_action_role,claims_night_action_role_rate,-0.20921079471864845,0.007901928335821677,0.8112242158386703,1.0079332309675966,1000,0,-0.10432290794313892,0.9009343315942263
