model,feature,column,beta,odds_ratio,selected_penalty
2B,accusation,accusation_rate,0.007451717553772167,1.0074795506929677,10.0
2B,defense,defense_rate,0.3047541033995721,1.356291454540827,10.0
2B,interrogation,interrogation_rate,0.03670685637337227,1.0373888723244795,10.0
2B,evidence,evidence_rate,-0.01560691074791687,0.9845142459707072,10.0
2B,identity_declaration,identity_declaration_rate,-0.12865981042445923,0.8792730341929674,10.0
2B,call_for_action,call_for_action_rate,-0.03805300882242357,0.9626619099644276,10.0
2B,werewolf_accusations_made,werewolf_accusations_made_rate,0.19718284936085068,1.2179667247836314,10.0
2B,deception_accusations_made,deception_accusations_made_rate,-0.040111421419139794,0.9606823925932688,10.0
2B,werewolf_accusations_received,werewolf_accusations_received_rate,0.8060670334641702,2.2390844025934733,10.0
2B,deception_accusations_received,deception_accusations_received_rate,0.062031656499755936,1.0639960265848618,10.0
2B,claims_werewolf,claims_werewolf_rate,0.3303492991269987,1.3914540772825439,10.0
2B,claims_tanner,claims_tanner_rate,-6.675303406440733e-05,0.9999332491938698,10.0
2B,claims_night_action_role,claims_night_action_role_rate,-0.01024931960727375,0.9898030256817599,10.0
4B,accusation,accusation_rate,-0.06672806195886721,0.9354495510700216,100.0
4B,defense,defense_rate,0.08135905287550851,1.084760312961645,100.0
4B,interrogation,interrogation_rate,-0.05941418404811324,0.9423163959000351,100.0
4B,evidence,evidence_rate,-0.0332197899382339,0.96732592771681,100.0
4B,identity_declaration,identity_declaration_rate,0.04588233812545302,1.0469512174666844,100.0
4B,call_for_action,call_for_action_rate,0.02121891117677868,1.0214456330299448,100.0
4B,werewolf_accusations_made,werewolf_accusations_made_rate,-0.04901768970928587,0.9521642860401132,100.0
4B,deception_accusations_made,deception_accusations_made_rate,-0.048403699803599244,0.9527490848121969,100.0
4B,werewolf_accusations_received,werewolf_accusations_received_rate,0.4388004457150668,1.55084577858645,100.0
4B,deception_accusations_received,deception_accusations_received_rate,0.12252354552562296,1.130345734345137,100.0
4B,claims_werewolf,claims_werewolf_rate,0.4168100671534553,1.517114335724474,100.0
4B,claims_tanner,claims_tanner_rate,0.012516807882284636,1.0125954709830818,100.0
4B,claims_night_action_role,claims_night_action_role_rate,-0.10432290794313892,0.9009343315942263,100.0
