repeat,fold,n_test_games,selected_penalty,mean_loss,mean_agreement,model,representation,block
0,0,39,1000.0,1.6099584244282021,0.19658119658119658,2B,count_overall,strategy
0,1,39,10000.0,1.6089214451285871,0.13675213675213674,2B,count_overall,strategy
0,2,37,100.0,1.8144230830546675,0.14414414414414414,2B,count_overall,strategy
0,3,37,100.0,1.8602181953495756,0.17117117117117114,2B,count_overall,strategy
0,4,37,1000.0,1.6652311844254981,0.1801801801801802,2B,count_overall,strategy
1,0,39,1000.0,1.7053312180854767,0.10256410256410256,2B,count_overall,strategy
1,1,38,10000.0,1.6614705169407087,0.2807017543859649,2B,count_overall,strategy
1,2,36,1000.0,1.705208516577625,0.19444444444444445,2B,count_overall,strategy
1,3,38,100.0,1.8106214427192626,0.12280701754385963,2B,count_overall,strategy
1,4,38,100.0,1.6841946580751468,0.22807017543859648,2B,count_overall,strategy
2,0,40,100.0,1.8469246498810492,0.14166666666666666,2B,count_overall,strategy
2,1,47,100.0,1.6905507610120085,0.19148936170212763,2B,count_overall,strategy
2,2,32,100.0,1.727812730797777,0.19791666666666666,2B,count_overall,strategy
2,3,34,10000.0,1.642228917271145,0.17647058823529413,2B,count_overall,strategy
2,4,36,1000.0,1.6272350694153859,0.25,2B,count_overall,strategy
3,0,41,100.0,1.6603797449551645,0.16260162601626016,2B,count_overall,strategy
3,1,37,1000.0,1.6445591441334406,0.13513513513513514,2B,count_overall,strategy
3,2,37,100.0,1.6471215484032418,0.3063063063063063,2B,count_overall,strategy
3,3,35,100.0,1.721620953663001,0.16190476190476188,2B,count_overall,strategy
3,4,39,10.0,1.8336734677068556,0.1623931623931624,2B,count_overall,strategy
4,0,37,100.0,1.7476895750107742,0.10810810810810811,2B,count_overall,strategy
4,1,40,100.0,1.7754331424393885,0.15,2B,count_overall,strategy
4,2,33,100.0,1.8045051881654706,0.1313131313131313,2B,count_overall,strategy
4,3,42,100.0,1.6165689086449002,0.22222222222222224,2B,count_overall,strategy
4,4,37,1000.0,1.677439428667346,0.25225225225225223,2B,count_overall,strategy
0,0,39,10.0,1.4119384882110428,0.4444444444444444,2B,count_overall,enriched
0,1,39,10.0,1.4214699861428788,0.5470085470085468,2B,count_overall,enriched
0,2,37,10.0,1.5056482472888533,0.4504504504504504,2B,count_overall,enriched
0,3,37,10.0,1.5761504381380114,0.3153153153153153,2B,count_overall,enriched
0,4,37,10.0,1.3728039379220813,0.4234234234234234,2B,count_overall,enriched
1,0,39,100.0,1.4465266889669648,0.4358974358974359,2B,count_overall,enriched
1,1,38,10.0,1.4267259101978211,0.47368421052631576,2B,count_overall,enriched
1,2,36,10.0,1.5952731545954986,0.32407407407407407,2B,count_overall,enriched
1,3,38,10.0,1.5919532960420235,0.3508771929824561,2B,count_overall,enriched
1,4,38,10.0,1.3479571815258546,0.5701754385964912,2B,count_overall,enriched
2,0,40,10.0,1.6411028249250883,0.3,2B,count_overall,enriched
2,1,47,10.0,1.4801668804657508,0.4184397163120567,2B,count_overall,enriched
2,2,32,10.0,1.4576357602208634,0.38541666666666663,2B,count_overall,enriched
2,3,34,10.0,1.3990182995308063,0.5196078431372548,2B,count_overall,enriched
2,4,36,10.0,1.3924830687185408,0.45370370370370366,2B,count_overall,enriched
3,0,41,1.0,1.4508270727613102,0.5203252032520325,2B,count_overall,enriched
3,1,37,10.0,1.6357905456743498,0.3153153153153153,2B,count_overall,enriched
3,2,37,100.0,1.4306944681014406,0.47747747747747743,2B,count_overall,enriched
3,3,35,10.0,1.3791596541694333,0.5619047619047618,2B,count_overall,enriched
3,4,39,10.0,1.6377793754827898,0.39316239316239315,2B,count_overall,enriched
4,0,37,10.0,1.5074882711715967,0.37837837837837834,2B,count_overall,enriched
4,1,40,10.0,1.38144640154522,0.525,2B,count_overall,enriched
4,2,33,10.0,1.5546453320870222,0.3737373737373737,2B,count_overall,enriched
4,3,42,10.0,1.4572069668513603,0.4285714285714285,2B,count_overall,enriched
4,4,37,10.0,1.38755742842282,0.5045045045045045,2B,count_overall,enriched
0,0,39,10.0,1.3993050021264002,0.47863247863247865,2B,count_overall,combined
0,1,39,10.0,1.4377082828754908,0.5726495726495725,2B,count_overall,combined
0,2,37,10.0,1.5344401216505248,0.38738738738738737,2B,count_overall,combined
0,3,37,10.0,1.5976542497841615,0.32432432432432434,2B,count_overall,combined
0,4,37,10.0,1.364885607541637,0.46846846846846846,2B,count_overall,combined
1,0,39,10.0,1.4417556423288846,0.49572649572649563,2B,count_overall,combined
1,1,38,100.0,1.4555603239588861,0.45614035087719307,2B,count_overall,combined
1,2,36,10.0,1.5765571481205771,0.35185185185185186,2B,count_overall,combined
1,3,38,100.0,1.6157826561794342,0.3245614035087719,2B,count_overall,combined
1,4,38,10.0,1.3449608850232764,0.5175438596491228,2B,count_overall,combined
2,0,40,10.0,1.6451674406244705,0.3083333333333333,2B,count_overall,combined
2,1,47,10.0,1.479350465490252,0.46808510638297873,2B,count_overall,combined
2,2,32,10.0,1.4875030017688804,0.36458333333333326,2B,count_overall,combined
2,3,34,10.0,1.4236353075312245,0.5392156862745098,2B,count_overall,combined
2,4,36,100.0,1.4141148152817407,0.4444444444444444,2B,count_overall,combined
3,0,41,10.0,1.4398325096036357,0.47154471544715443,2B,count_overall,combined
3,1,37,10.0,1.6179855418663054,0.34234234234234234,2B,count_overall,combined
3,2,37,100.0,1.4303678101588877,0.46846846846846846,2B,count_overall,combined
3,3,35,10.0,1.4252792710440958,0.4761904761904761,2B,count_overall,combined
3,4,39,10.0,1.6531852044716744,0.358974358974359,2B,count_overall,combined
