model,representation,block,mean_loss,mean_agreement,null_loss,delta_loss_vs_null,delta_loss_ci_lo,delta_loss_ci_hi,improves_over_null
2B,count_overall,combined,1.4871803992713395,0.43386243386243384,1.7070534080567945,0.21987300878545524,0.14905706130877533,0.2877660893490535,True
2B,count_overall,enriched,1.4757888599406823,0.435978835978836,1.7070534080567945,0.23126454811611288,0.15436603736256202,0.29914563155823115,True
2B,count_overall,strategy,1.7109147666031637,0.1802469135802469,1.7070534080567945,-0.003861358546368767,-0.02232994985709826,0.014148030441689503,False
2B,count_temporal,combined,1.5019432679841307,0.4366843033509701,1.7070534080567945,0.2051101400726642,0.14134719938746526,0.26804601873489053,True
2B,count_temporal,enriched,1.5001855869588232,0.42469135802469143,1.7070534080567945,0.2068678210979715,0.137296552737965,0.2702128412937987,True
2B,count_temporal,strategy,1.6995682726131756,0.21340388007054673,1.7070534080567945,0.0074851354436191635,-0.016346156327603795,0.033518751915197625,False
2B,rate_overall,combined,1.4961795193795369,0.4119929453262787,1.7070534080567945,0.21087388867725806,0.13215341848299755,0.29387145341524123,True
2B,rate_overall,enriched,1.4951368840278676,0.4134038800705467,1.7070534080567945,0.21191652402892677,0.1285413556572749,0.30249793284123533,True
2B,rate_overall,strategy,1.7104140412656128,0.18236331569664904,1.7070534080567945,-0.003360633208818077,-0.018320500771208826,0.008267060538687648,False
2B,rate_temporal,combined,1.5142070527933775,0.39858906525573196,1.7070534080567945,0.19284635526341715,0.10936276687753745,0.28305238662193927,True
2B,rate_temporal,enriched,1.5193976581219366,0.39400352733686067,1.7070534080567945,0.18765574993485823,0.09612560564567896,0.2842018416463171,True
2B,rate_temporal,strategy,1.707322181533081,0.20105820105820105,1.7070534080567945,-0.00026877347628643264,-0.016034243228946376,0.011975567881612947,False
4B,count_overall,combined,1.4451535641589812,0.42081128747795415,1.6736479309898087,0.2284943668308274,0.13941830464818036,0.3252533835064611,True
4B,count_overall,enriched,1.4358436354680324,0.417636684303351,1.6736479309898087,0.23780429552177626,0.14557937405625793,0.33717788586636727,True
4B,count_overall,strategy,1.6543511715626242,0.28888888888888886,1.6736479309898087,0.01929675942718435,-0.011065368620234703,0.05474875942730891,False
4B,count_temporal,combined,1.451974776650642,0.4123456790123457,1.6736479309898087,0.22167315433916687,0.14280085382144964,0.31151155948131615,True
4B,count_temporal,enriched,1.4518451627266955,0.4102292768959436,1.6736479309898087,0.2218027682631133,0.13941585106863796,0.31132643793220127,True
4B,count_temporal,strategy,1.647206261943651,0.2927689594356261,1.6736479309898087,0.026441669046157735,-0.010835194293190215,0.06522577438522785,False
4B,rate_overall,combined,1.4683480887546874,0.3954144620811287,1.6736479309898087,0.20529984223512118,0.11948688028108224,0.3071305199475019,True
4B,rate_overall,enriched,1.4646883038885248,0.41128747795414455,1.6736479309898087,0.2089596271012839,0.11382399555334209,0.31820170696781663,True
4B,rate_overall,strategy,1.6776489757929833,0.27019400352733686,1.6736479309898087,-0.004001044803174807,-0.026666137412147507,0.014112060104552597,False
4B,rate_temporal,combined,1.470362229063907,0.3936507936507937,1.6736479309898087,0.2032857019259018,0.1313861172486138,0.29192280061080317,True
4B,rate_temporal,enriched,1.4770221315823324,0.39717813051146383,1.6736479309898087,0.19662579940747638,0.11709754770991608,0.29065654711804845,True
4B,rate_temporal,strategy,1.6653033386376113,0.2776014109347443,1.6736479309898087,0.008344592352197198,-0.02396898483728179,0.039530202182890814,False
