model,block,kind,temporal_loss,overall_loss,delta_temporal_minus_overall,ci_lo,ci_hi,excludes_zero
2B,strategy,counts,1.6995682726131756,1.7109147666031637,-0.011346493989987931,-0.024631612200488467,0.0031060250159095117,False
2B,strategy,rates,1.707322181533081,1.7104140412656128,-0.0030918597325316445,-0.007599817400034929,0.0019484073507644774,False
2B,enriched,counts,1.5001855869588232,1.4757888599406823,0.02439672701814135,0.0073172997940855935,0.041723906223985516,True
2B,enriched,rates,1.5193976581219366,1.4951368840278676,0.02426077409406853,-0.005943319828267927,0.060264149194121,False
2B,combined,counts,1.5019432679841307,1.4871803992713395,0.014762868712791009,-0.009571019696979289,0.03705204429273916,False
2B,combined,rates,1.5142070527933775,1.4961795193795369,0.01802753341384088,-0.013699025362205224,0.055647247915083756,False
4B,strategy,counts,1.647206261943651,1.6543511715626242,-0.007144909618973386,-0.024228845827017655,0.014688528522140894,False
4B,strategy,rates,1.6653033386376113,1.6776489757929833,-0.012345637155372005,-0.031460395283844325,0.006165150431188893,False
4B,enriched,counts,1.4518451627266955,1.4358436354680324,0.016001527258662954,0.0005387478293369306,0.03369092619642889,True
4B,enriched,rates,1.4770221315823324,1.4646883038885248,0.01233382769380749,-0.018036440559386933,0.04098519100726578,False
4B,combined,counts,1.451974776650642,1.4451535641589812,0.006821212491660544,-0.012851028246040033,0.027616538601093667,False
4B,combined,rates,1.470362229063907,1.4683480887546874,0.002014140309219364,-0.024208846928941725,0.027086813409104002,False
