model,metric,level,n_games,base,ft,delta,ci_low,ci_high,ci_excludes_zero
Gemma 4 2B,All relations,overall,190,3.3200701558382524,3.792413047771492,0.47234289193323953,0.26605786833184236,0.6772702468842333,True
Gemma 4 2B,Contingency,top_level,190,1.1383656624795961,1.282090156608913,0.14372449412931676,0.027878028983495378,0.26190872965004447,True
Gemma 4 2B,Comparison,top_level,190,0.9385472850141742,0.9686720482587576,0.030124763244583463,-0.07122218867508269,0.12801429024499256,False
Gemma 4 2B,Expansion,top_level,190,0.9707625598976882,1.1895428515087108,0.21878029161102253,0.08356387663709805,0.3542676353752997,True
Gemma 4 2B,Temporal,top_level,190,0.27239464844679406,0.352107991395111,0.07971334294831695,0.0018694880491781029,0.1589415907668466,True
Gemma 4 31B,All relations,overall,188,3.5471171532961954,3.6262069250166,0.07908977172040466,-0.11073941640183195,0.272943961020832,False
Gemma 4 31B,Contingency,top_level,188,1.0743520269334277,1.0140169687706384,-0.06033505816278928,-0.17135341222405126,0.050095695440910665,False
Gemma 4 31B,Comparison,top_level,188,0.6899080501583343,0.7158945326278093,0.025986482469474992,-0.06347193108190036,0.11930345037060898,False
Gemma 4 31B,Expansion,top_level,188,1.0228549652176036,1.1206739827083259,0.0978190174907223,-0.017679889386336925,0.21087951421608409,False
Gemma 4 31B,Temporal,top_level,188,0.7600021109868301,0.775621440909827,0.01561932992299686,-0.10199657554628411,0.13703656310621404,False
Gemma 4 4B,All relations,overall,191,2.8009710237396654,2.5157559141179253,-0.2852151096217401,-0.44631565882599417,-0.12345260636553972,True
Gemma 4 4B,Contingency,top_level,191,0.5091709372414551,0.3966240713941613,-0.11254686584729384,-0.1960298894204817,-0.030195063112012175,True
Gemma 4 4B,Comparison,top_level,191,1.2012175249567936,1.059722106226042,-0.14149541873075155,-0.22955689873934862,-0.05409754303447032,True
Gemma 4 4B,Expansion,top_level,191,0.6516963297248429,0.7371585965466942,0.08546226682185132,-0.015754681872703933,0.1848898508503119,False
Gemma 4 4B,Temporal,top_level,191,0.43888623181657355,0.32225113995102755,-0.11663509186554599,-0.1999603991887999,-0.0350980925204466,True
