model,semantic_category,discourse_relation,metric,n_games,base,ft,delta,ci_low,ci_high,ci_excludes_zero,base_support_per_run,ft_support_per_run,low_support_diagnostic,n_valid_replicates,n_replicates,seed
Gemma 4 2B,Mechanical,Contingency,category_prevalence,190,2.9824561403508767,2.982456140350877,4.440892098500626e-16,-2.105263157894737,2.1052631578947376,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency,conditional_prevalence,190,84.12698412698414,86.66666666666667,2.5396825396825307,-22.222222222222214,28.57142857142857,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency,conditional_density,190,1.563644104636966,1.704755900356193,0.14111179571922694,-0.6054524310639925,0.8482239828656009,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency,baseline_density,190,1.1383656624795961,1.282090156608913,0.14372449412931676,0.027878028983495378,0.26190872965004447,True,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency,localization,190,36.111111111111114,38.88888888888889,2.7777777777777786,-30.158730158730155,36.9047619047619,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency,lift,190,1.425448868071819,1.2824349187707966,-0.1430139493010223,-0.54504561710804,0.28901341989325213,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency,category_prevalence,188,53.36879432624113,49.46808510638298,-3.9007092198581503,-9.042553191489361,1.2411347517730462,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency,conditional_prevalence,188,73.0924092409241,69.46944694469447,-3.6229622962296304,-9.91826850554896,2.5181978173401705,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency,conditional_density,188,1.3855240026422198,1.3909759353436248,0.005451932701405093,-0.14662658343528667,0.15572564711159662,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency,baseline_density,188,1.0743520269334277,1.0140169687706384,-0.06033505816278928,-0.17135341222405126,0.050095695440910665,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency,localization,188,80.42795535261288,73.19295101553165,-7.235004337081236,-14.62146634810973,0.2525608751149312,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency,lift,188,1.249715023733265,1.320088173343903,0.0703731496106379,-0.03067769909477086,0.17876553294638736,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency,category_prevalence,191,6.980802792321117,7.853403141361256,0.8726003490401393,-1.5706806282722505,3.31588132635253,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency,conditional_prevalence,191,49.743589743589745,40.0,-9.743589743589745,-29.722222222222214,11.626583792024979,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency,conditional_density,191,0.7177084506645647,0.6611980205190239,-0.0565104301455408,-0.41795158592353143,0.2936738578221145,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency,baseline_density,191,0.5091709372414551,0.3966240713941613,-0.11254686584729384,-0.1960298894204817,-0.030195063112012175,True,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency,localization,191,37.301587301587304,35.714285714285715,-1.5873015873015888,-35.27895021645022,36.16477272727267,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency,lift,191,1.4545650943000579,1.489034230713562,0.03446913641350413,-0.6015260233280301,0.7240049257132417,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Cause,category_prevalence,190,2.9824561403508767,2.982456140350877,4.440892098500626e-16,-2.105263157894737,2.1052631578947376,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Cause,conditional_prevalence,190,78.57142857142857,86.66666666666667,8.095238095238102,-16.66666666666667,33.33333333333333,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Cause,conditional_density,190,1.2147792091085823,1.1756406981396397,-0.03913851096894261,-0.5603690415197616,0.45651964054427513,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Cause,baseline_density,190,0.9576034434393229,1.1048961585515709,0.14729271511224795,0.047338257517221385,0.24910790143802233,True,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Cause,localization,190,30.555555555555557,27.777777777777782,-2.777777777777775,-37.5,32.938492063492035,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 2B,Mechanical,Contingency.Cause,lift,190,1.393049093049093,1.3203689626300017,-0.07268013041909138,-0.4933074521080373,0.3725897187906606,False,5.666666666666667,5.666666666666667,True,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Cause,category_prevalence,188,53.36879432624113,49.46808510638298,-3.9007092198581503,-9.042553191489361,1.2411347517730462,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Cause,conditional_prevalence,188,47.508250825082506,41.146031269793646,-6.36221955528886,-13.671485050974436,0.8815984912492013,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Cause,conditional_density,188,0.7295275339650731,0.6263475002271292,-0.10318003373794393,-0.21784483644261154,0.013881726024167998,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Cause,baseline_density,188,0.5910819970355884,0.5467498470966704,-0.044332149938917986,-0.12862773350827056,0.040541278601785954,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Cause,localization,188,55.92494089834516,42.08187645687645,-13.843064441468712,-25.339350376007935,-1.941651161898439,True,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 31B,Mechanical,Contingency.Cause,lift,188,1.218551983527245,1.1631954379479132,-0.05535654557933167,-0.20015057552381854,0.09198458460596604,False,100.33333333333333,93.0,False,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Cause,category_prevalence,191,6.980802792321117,7.853403141361256,0.8726003490401393,-1.5706806282722505,3.31588132635253,False,13.333333333333334,15.0,True,10000,10000,20260826
Gemma 4 4B,Mechanical,Contingency.Cause,conditional_prevalence,191,47.52136752136752,33.154761904761905,-14.366605616605618,-34.37130425617268,7.748196520255332,False,13.333333333333334,15.0,True,10000,10000,20260826
