feature,block,total,player_games_gt0,pct_player_games_gt0,distinct_games_gt0,mean,median,sd,max
accusation,strategy,3385.0,729,86.27,186,4.006,3.0,3.4,22.0
defense,strategy,3141.0,698,82.6,183,3.717,3.0,3.757,24.0
interrogation,strategy,3999.0,784,92.78,186,4.733,4.0,3.708,24.0
evidence,strategy,2181.0,713,84.38,185,2.581,2.0,2.18,13.0
identity_declaration,strategy,1317.0,623,73.73,185,1.559,1.0,1.509,9.0
call_for_action,strategy,1354.0,544,64.38,177,1.602,1.0,1.875,11.0
werewolf_accusations_made,enriched,1154.0,436,51.6,168,1.366,1.0,2.007,15.0
deception_accusations_made,enriched,605.0,284,33.61,141,0.716,0.0,1.396,12.0
werewolf_accusations_received,enriched,1145.0,438,51.83,168,1.355,1.0,2.026,14.0
deception_accusations_received,enriched,605.0,293,34.67,141,0.716,0.0,1.377,13.0
claims_werewolf,enriched,159.0,95,11.24,75,0.188,0.0,0.659,7.0
claims_tanner,enriched,72.0,47,5.56,39,0.085,0.0,0.395,4.0
claims_night_action_role,enriched,821.0,447,52.9,177,0.972,1.0,1.232,8.0
