model,decoding_group,marker_category,n_games_herded,n_games_independent,n_instances_herded,n_instances_independent,mean_herded,mean_independent,diff,ci_low,ci_high,excludes_zero,inconclusive_at_this_n
2B,Greedy,Contingency,17,12,17,12,3.399,2.515,0.883,-0.281,2.072,False,True
2B,Stochastic,Contingency,28,19,57,35,3.042,3.09,-0.048,-0.845,0.77,False,True
31B,Greedy,Contingency,19,12,19,12,2.43,2.148,0.282,-0.948,1.611,False,True
31B,Stochastic,Contingency,29,15,67,26,2.736,2.645,0.091,-0.858,1.079,False,True
4B,Greedy,Contingency,19,11,19,11,2.063,3.083,-1.02,-2.154,0.116,False,True
4B,Stochastic,Contingency,25,17,58,36,1.89,2.62,-0.73,-1.439,-0.031,True,False
2B,Greedy,Temporal,17,12,17,12,0.716,0.434,0.283,-0.599,1.152,False,True
2B,Stochastic,Temporal,28,19,57,35,0.816,0.765,0.051,-0.485,0.579,False,True
31B,Greedy,Temporal,19,12,19,12,1.94,2.926,-0.986,-2.565,0.48,False,True
31B,Stochastic,Temporal,29,15,67,26,2.009,2.558,-0.549,-1.789,0.593,False,True
4B,Greedy,Temporal,19,11,19,11,1.095,1.01,0.084,-0.492,0.711,False,True
4B,Stochastic,Temporal,25,17,58,36,1.113,1.682,-0.569,-1.142,-0.001,True,False
