marker_category,decoding_group,model_a,model_b,n_games,mean_a,mean_b,diff,ci_low,ci_high,excludes_zero,inconclusive_at_this_n
rate_role_name,Stochastic,31B,2B,191,8.363,5.63,2.733,2.415,3.065,True,False
rate_role_name,Stochastic,31B,4B,191,8.363,4.456,3.907,3.613,4.192,True,False
rate_role_name,Stochastic,4B,2B,191,4.456,5.63,-1.174,-1.407,-0.935,True,False
rate_card_mechanic,Stochastic,31B,2B,191,1.823,0.699,1.124,0.928,1.336,True,False
rate_card_mechanic,Stochastic,31B,4B,191,1.823,0.363,1.461,1.27,1.663,True,False
rate_card_mechanic,Stochastic,4B,2B,191,0.363,0.699,-0.337,-0.445,-0.229,True,False
rate_night_order_mechanic,Stochastic,31B,2B,191,0.31,0.143,0.167,0.088,0.251,True,False
rate_night_order_mechanic,Stochastic,31B,4B,191,0.31,0.107,0.203,0.127,0.286,True,False
rate_night_order_mechanic,Stochastic,4B,2B,191,0.107,0.143,-0.036,-0.088,0.016,False,True
rate_night_order_mechanic_noNight,Stochastic,31B,2B,191,0.145,0.035,0.11,0.062,0.16,True,False
rate_night_order_mechanic_noNight,Stochastic,31B,4B,191,0.145,0.043,0.102,0.053,0.156,True,False
rate_night_order_mechanic_noNight,Stochastic,4B,2B,191,0.043,0.035,0.008,-0.02,0.037,False,True
rate_role_name,Greedy,31B,2B,191,8.453,5.605,2.848,2.4,3.297,True,False
rate_role_name,Greedy,31B,4B,191,8.453,4.308,4.145,3.73,4.551,True,False
rate_role_name,Greedy,4B,2B,191,4.308,5.605,-1.297,-1.652,-0.932,True,False
rate_card_mechanic,Greedy,31B,2B,191,1.701,0.849,0.852,0.582,1.12,True,False
rate_card_mechanic,Greedy,31B,4B,191,1.701,0.371,1.33,1.101,1.552,True,False
rate_card_mechanic,Greedy,4B,2B,191,0.371,0.849,-0.478,-0.649,-0.309,True,False
rate_night_order_mechanic,Greedy,31B,2B,191,0.292,0.158,0.134,0.018,0.251,True,False
rate_night_order_mechanic,Greedy,31B,4B,191,0.292,0.122,0.17,0.063,0.277,True,False
rate_night_order_mechanic,Greedy,4B,2B,191,0.122,0.158,-0.036,-0.129,0.054,False,True
rate_night_order_mechanic_noNight,Greedy,31B,2B,191,0.132,0.016,0.115,0.052,0.185,True,False
rate_night_order_mechanic_noNight,Greedy,31B,4B,191,0.132,0.057,0.074,0.012,0.137,True,False
rate_night_order_mechanic_noNight,Greedy,4B,2B,191,0.057,0.016,0.041,0.001,0.085,True,False
