model,decoding_group,pillar,n_games,n_instances,pct_mentioning,ci_low,ci_high
2B,Greedy,accusation_pillar,66,66,100.0,100.0,100.0
2B,Stochastic,accusation_pillar,95,199,97.9,94.7,100.0
31B,Greedy,accusation_pillar,69,69,100.0,100.0,100.0
31B,Stochastic,accusation_pillar,96,225,100.0,100.0,100.0
4B,Greedy,accusation_pillar,78,78,100.0,100.0,100.0
4B,Stochastic,accusation_pillar,101,220,100.0,100.0,100.0
2B,Greedy,self_claim_pillar,45,45,100.0,100.0,100.0
2B,Stochastic,self_claim_pillar,57,136,100.0,100.0,100.0
31B,Greedy,self_claim_pillar,33,33,100.0,100.0,100.0
31B,Stochastic,self_claim_pillar,50,121,98.0,94.0,100.0
4B,Greedy,self_claim_pillar,55,55,100.0,100.0,100.0
4B,Stochastic,self_claim_pillar,70,170,99.5,98.6,100.0
